COLLECTION_OBJECT_ID,ENTEREDBY,CAT_NUM,OTHER_ID_NUM_1,OTHER_ID_NUM_TYPE_1,OTHER_ID_REFERENCES_1,ACCN,TAXON_NAME,NATURE_OF_ID,ID_MADE_BY_AGENT,MADE_DATE,IDENTIFICATION_REMARKS,VERBATIM_DATE,BEGAN _DATE,ENDED_DATE,HIGHER_GEOG,SPEC_LOCALITY,VERBATIM_LOCALITY,EVENT_ASSIGNED_BY_AGENT,EVENT_ASSIGNED_DATE,VERIFICATIONSTATUS,HABITAT,COLL_EVENT_REMARKS,COLLECTOR_AGENT_1,COLLECTOR_ROLE_1,COLLECTOR_AGENT_2,COLLECTOR_ROLE_2,COLLECTOR_AGENT_3,COLLECTOR_ROLE_3,GUID_PREFIX,COLL_OBJ_REMARKS,OTHER_ID_NUM_2,OTHER_ID_NUM_TYPE_2,OTHER_ID_REFERENCES_2,OTHER_ID_NUM_3,OTHER_ID_NUM_TYPE_3,OTHER_ID_REFERENCES_3,OTHER_ID_NUM_4,OTHER_ID_NUM_TYPE_4,OTHER_ID_REFERENCES_4,PART_NAME_1,PART_CONDITION_1,PART_LOC_1,PART_LOT_COUNT_1,PART_DISPOSITION_1,PART_REMARK_1,PART_NAME_2,PART_CONDITION_2,PART_LOC_2,PART_LOT_COUNT_2,PART_DISPOSITION_2,PART_REMARK_2,ATTRIBUTE_1,ATTRIBUTE_VALUE_1,ATTRIBUTE_DETERMINER_1,ATTRIBUTE_2,ATTRIBUTE_VALUE_2,ATTRIBUTE_DETERMINER_2,ATTRIBUTE_3,ATTRIBUTE_VALUE_3,ATTRIBUTE_DETERMINER_3,ATTRIBUTE_4,ATTRIBUTE_VALUE_4,ATTRIBUTE_DET_METHOD_4,ATTRIBUTE_DETERMINER_4,SPECIMEN_EVENT_REMARK,SPECIMEN_EVENT_TYPE
11,ekrimmel,2250,85b74ae8-9aaf-4251-a275-84b8542d197f,UUID,self,[CHAS:Mamm]accession unknown,Accipiter cooperii,ID of kin,Dwight W. Cusack,1899-05-17,Cooper's Hawk. Bird on nest. Verbatim AOU Number: 333.,5/17/1899,1899-05-17,1899-05-17,"North America, United States, Minnesota, Brown County",Sleepy Eye,"Sleepy Eye, Brown County, Minnesota",Pat Munroe,2011-06-01,unverified,Placed in vertical fork of basswood tree; 25' from the ground.,,Dwight W. Cusack,collector,,,,,CHAS:Egg,"DISPLAY NOTES: .30, 1.50. DATA HISTORY: Date listed as verified/cataloged is 1988-03-01. Record last updated in Excel (prior to Arctos migration) by Pat Munroe (2011-06-01).",18C-5,original identifier,self,,,,,,,egg,unchecked,RVWD: 302: Ool Cab 02: M,5,in collection,,,,,,,,verbatim collector,Dwight W. Cusack,Erica Krimmel,incubation stage,had not begun,Dwight W. Cusack,nest description,"Contained ""the usual material""",Dwight W. Cusack,,,,,,accepted place of collection
12,ekrimmel,2316,b870f4a1-3433-448c-8c3a-bb695da8ebac,UUID,self,[CHAS:Mamm]accession unknown,Accipiter cooperii,ID of kin,Dwight W. Cusack,1899-05-11,Cooper's Hawk. Bird on nest. Verbatim AOU Number: 333.,5/11/1899,1899-05-11,1899-05-11,"North America, United States, Minnesota, Brown County",Sleepy Eye,"Sleepy Eye, Brown County, Minnesota",Pat Munroe,2011-06-01,unverified,25' from the ground in ash tree.,,Dwight W. Cusack,collector,,,,,CHAS:Egg,"DISPLAY NOTES: .30, 1.20. DATA HISTORY: Date listed as verified/cataloged is 1988-03-03. Record last updated in Excel (prior to Arctos migration) by Pat Munroe (2011-06-01).",12c-2,original identifier,self,,,,,,,egg,unchecked,RVWD: 302: Ool Cab 02: M,4,in collection,,,,,,,,verbatim collector,Dwight W. Cusack,Erica Krimmel,incubation stage,had not begun,Dwight W. Cusack,nest description,Constructed of sticks and twigs and was unlined. This nest was built over an old nest,Dwight W. Cusack,,,,,,accepted place of collection
13,ekrimmel,2248,cb09e415-3a73-49e5-b180-05a686519633,UUID,self,[CHAS:Mamm]accession unknown,Accipiter cooperii,ID of kin,Dwight W. Cusack,1899-05-26,Cooper's Hawk. Bird on nest. Verbatim AOU Number: 333.,5/26/1899,1899-05-26,1899-05-26,"North America, United States, Minnesota, Brown County",Sleepy Eye,"Sleepy Eye, Brown County, Minnesota",Pat Munroe,2011-06-01,unverified,Placed in boxwood tree 25' from the ground.,,Dwight W. Cusack,collector,,,,,CHAS:Egg,"DISPLAY NOTES: .30, .90. DATA HISTORY: Date listed as verified/cataloged is 1988-03-01. Record last updated in Excel (prior to Arctos migration) by Pat Munroe (2011-06-01).",36C-7,original identifier,self,,,,,,,egg,unchecked,RVWD: 302: Ool Cab 02: M,3,in collection,,,,,,,,verbatim collector,Dwight W. Cusack,Erica Krimmel,incubation stage,had slightly commenced,Dwight W. Cusack,nest description,Constructed  of sticks and twigs and had no lining,Dwight W. Cusack,,,,,,accepted place of collection
14,ekrimmel,2219,f4b06516-37a8-42f9-8fcb-f945c27389b9,UUID,self,[CHAS:Mamm]accession unknown,Accipiter cooperii,ID of kin,Edward R. Ford,1892-05-12,Cooper's Hawk. Saw bird fly from nest. Verbatim AOU Number: 333.,5/12/1892,1892-05-12,1892-05-12,"North America, United States, Illinois, Kankakee County",Waldron,"near Waldron, Kanakee County, Illinois",Pat Munroe,2011-06-01,unverified,15' up in main fork of small oak.  The nest tree was situated in a tract of fire-scathed woodland of which most of the trees had been killed.,,Edward R. Ford,collector,,,,,CHAS:Egg,"INTERNAL NOTES: ""12"" in LRC of Egg Card [A. King]. DISPLAY NOTES: Diameter: exterior-14""; Depth: 8 ."" DATA HISTORY: Date listed as verified/cataloged is 1988-03-11. Record last updated in Excel (prior to Arctos migration) by Pat Munroe (2011-06-01).",333/1,original identifier,self,,,,,,,egg,unchecked,RVWD: 302: Ool Cab 02: M,3,in collection,,,,,,,,verbatim collector,E.R. Ford,Erica Krimmel,incubation stage,fresh,Edward R. Ford,nest description,"Of sticks, grass, skeletonized leaves, no lining save a few fragments of coarse bark",Edward R. Ford,,,,,Notes page 115.,accepted place of collection
15,ekrimmel,1959.2.1,94411728-1a69-41c5-8e7d-94b96a91420c,UUID,self,[CHAS:Mamm]1959.2,Accipiter cooperii,legacy,unknown,1959-10-25,Cooper's Hawk. Verbatim AOU Number: 333.,[no date recorded],1879-03-24,1959-10-25,no higher geography recorded,,[no locality recorded],Amber King,2008-11-10,unverified,,,unknown,collector,,,,,CHAS:Egg,"INTERNAL NOTES: Originally from the Cusack Collection. Egg marked: ""Coopers Hawk."" Catalog number assigned (based on accession information) on 2016-01-30 by E. Krimmel in preparation for Arctos migration. DATA HISTORY: Record last updated in Excel (prior to Arctos migration) by Amber King (2008-11-10).",43 1/2,original identifier,self,,,,,,,egg,unchecked,RVWD: 302: Ool Cab 05: G,1,in collection,,,,,,,,,,,,,,,,,,,,,,accepted place of collection
16,ekrimmel,1968.25.1,c5ca6a16-8fed-4bd2-8cb2-3a640e0c20ea,UUID,self,[CHAS:Mamm]1968.25,Accipiter cooperii,legacy,unknown,2008-12-31,Cooper's Hawk. Verbatim AOU Number: 333.,[no date recorded],1800,2008-12-31,no higher geography recorded,,[no locality recorded],Amber King,2008-11-10,unverified,,,unknown,collector,,,,,CHAS:Egg,INTERNAL NOTES: Originally from the Sears Collection. Catalog number assigned (based on accession information) on 2016-01-30 by E. Krimmel in preparation for Arctos migration. DATA HISTORY: Record last updated in Excel (prior to Arctos migration) by Amber King (2008-11-10).,,,,,,,,,,egg,unchecked,RVWD: 302: Ool Cab 05: G,2,in collection,,,,,,,,,,,,,,,,,,,,,,accepted place of collection
17,ekrimmel,1959.2.2,041de49d-3fee-4f51-bfff-48fdae592167,UUID,self,[CHAS:Mamm]1959.2,Accipiter cooperii,legacy,unknown,1959-10-25,Cooper's Hawk. Verbatim AOU Number: 333.,[no date recorded],1879-03-24,1959-10-25,no higher geography recorded,,[no locality recorded],Amber King,2008-11-10,unverified,,,unknown,collector,,,,,CHAS:Egg,INTERNAL NOTES: Originally from the Cusack Collection. Catalog number assigned (based on accession information) on 2016-01-30 by E. Krimmel in preparation for Arctos migration. DATA HISTORY: Record last updated in Excel (prior to Arctos migration) by Amber King (2008-11-10).,7c,original identifier,self,,,,,,,egg,unchecked,RVWD: 302: Ool Cab 05: G,3,in collection,,,,,,,,,,,,,,,,,,,,,,accepted place of collection
18,ekrimmel,1951.5279.1,a7a1b782-21ac-468a-85fd-5e9d9df7876b,UUID,self,[CHAS:Mamm]5279,Accipiter cooperii,legacy,unknown,1950-09-29,Cooper's Hawk. Verbatim AOU Number: 333.,[no date recorded],1885-10-25,1950-09-29,no higher geography recorded,,[no locality recorded],Amber King,2008-11-10,unverified,,,unknown,collector,,,,,CHAS:Egg,INTERNAL NOTES: Originally from the Hammond Collection. Catalog number assigned (based on accession information) on 2016-01-30 by E. Krimmel in preparation for Arctos migration. DATA HISTORY: Record last updated in Excel (prior to Arctos migration) by Amber King (2008-11-10).,,,,,,,,,,egg,unchecked,RVWD: 302: Ool Cab 05: G,3,in collection,,,,,,,,,,,,,,,,,,,,,,accepted place of collection
19,ekrimmel,1959.2.3,e9760b8e-14e9-4d29-91b6-cb34b48b13dd,UUID,self,[CHAS:Mamm]1959.2,Accipiter cooperii,legacy,unknown,1959-10-25,Cooper's Hawk. Verbatim AOU Number: 333.,[no date recorded],1879-03-24,1959-10-25,no higher geography recorded,,[no locality recorded],Amber King,2008-11-10,unverified,,,unknown,collector,,,,,CHAS:Egg,INTERNAL NOTES: Originally from the Cusack Collection. Catalog number assigned (based on accession information) on 2016-01-30 by E. Krimmel in preparation for Arctos migration. DATA HISTORY: Record last updated in Excel (prior to Arctos migration) by Amber King (2008-11-10).,19c 333-3/4,original identifier,self,,,,,,,egg,unchecked,RVWD: 302: Ool Cab 05: G,4,in collection,,,,,,,,,,,,,,,,,,,,,,accepted place of collection
20,ekrimmel,1951.5279.2,735dd20d-b7ba-424b-9f78-27130d187313,UUID,self,[CHAS:Mamm]5279,Accipiter cooperii,legacy,unknown,1950-09-29,Cooper's Hawk. Verbatim AOU Number: 333.,[no date recorded],1885-10-25,1950-09-29,no higher geography recorded,,[no locality recorded],Amber King,2008-11-10,unverified,,,unknown,collector,,,,,CHAS:Egg,INTERNAL NOTES: Originally from the Hammond Collection. Catalog number assigned (based on accession information) on 2016-01-30 by E. Krimmel in preparation for Arctos migration. DATA HISTORY: Record last updated in Excel (prior to Arctos migration) by Amber King (2008-11-10).,,,,,,,,,,egg,unchecked,RVWD: 302: Ool Cab 05: G,4,in collection,,,,,,,,,,,,,,,,,,,,,,accepted place of collection
21,ekrimmel,1057,3fa1c27d-0ba4-4c7e-91d4-a6a038602e9a,UUID,self,[CHAS:Mamm]4232,Accipiter cooperii,ID of kin,Austin Paul Smith,1915-04-27,Cooper's Hawk. Female parent collected. Verbatim AOU Number: 333.,1915-04-27,1915-04-27,1915-04-27,"North America, United States, Texas, Kerr County",Ingram,"Ingram, Kerr Co., Texas",Dawn R. Roberts,2014-12-10,unverified,"Placed in live oak, growing in partly wood pasture, 20' above ground.",,Austin Paul Smith,collector,,,,,CHAS:Egg,INTERNAL NOTES: 'April 1924 - placed with other boxed eggs on 3rd floor but kept separately' [egg catalog]. Purchased from the Armstrong-Pearsall Collection. DATA HISTORY: Date listed as verified/cataloged is 1988-06-07. Record last updated in Excel (prior to Arctos migration) by Dawn R. Roberts (2014-12-10).,E. E. Armstrong 1313,collector number,self,333 x4,original identifier,self,,,,egg,Dermestid casings found in packing material [10/1/2008].,RVWD: 302: Ool Cab 06: E,3,in collection,,,,,,,,verbatim collector,Austin Paul Smith,Erica Krimmel,incubation stage,well advanced,Austin Paul Smith,nest description,Nest est [well?] made and thickly lined with fresh leaves,Austin Paul Smith,,,,,,accepted place of collection
22,ekrimmel,2016.2.1,a462dce5-e305-4685-82e4-2ba8a8f0ed09,UUID,self,[CHAS:Mamm]accession unknown,Accipiter cooperii,legacy,unknown,2015-11-24,Cooper's Hawk. Verbatim AOU Number: 333; Verbatim Ridgway Number: 431.,[no date recorded],1800,2015-11-24,no higher geography recorded,,[no locality recorded],Amber King,2009-08-26,unverified,,,unknown,collector,,,,,CHAS:Egg,INTERNAL NOTES: Catalog number assigned (based on accession information) on 2016-01-30 by E. Krimmel in preparation for Arctos migration. DATA HISTORY: Record last updated in Excel (prior to Arctos migration) by Amber King (2009-08-26).,,,,,,,,,,egg,Fair. Egg broke into two pieces.,RVWD: 302: Ool Cab 07: D,1,in collection,,,,,,,,,,,,,,,,,,,,,,accepted place of collection
23,ekrimmel,2451,fdb95b3f-12f3-49c3-be7c-8faee2d8aa8b,UUID,self,[CHAS:Mamm]accession unknown,Accipiter striatus,legacy,unknown,2015-11-24,Sharp-shinned Hawk. Verbatim AOU Number: 332.,[no date recorded],1800,2015-11-24,no higher geography recorded,,[no locality recorded],Pat Munroe,2011-06-01,unverified,,,unknown,collector,,,,,CHAS:Egg,DATA HISTORY: Date listed as verified/cataloged is 1989-12-18. Record last updated in Excel (prior to Arctos migration) by Pat Munroe (2011-06-01).,,,,,,,,,,egg,unchecked,RVWD: 302: Ool Cab 02: L,4,in collection,,,,,,,,,,,,,,,,,,,,,,accepted place of collection
