KEY_TO_RAW,HIGHER_GEOG,municipality
Ottawa Canada,"North America, Canada, Ontario",Ottawa
Ottawa Ontario,"North America, Canada, Ontario",Ottawa
Otter Island,"North America, United States, Alaska, Aleutian Islands",
Otter Island South Carolina.,"North America, United States, South Carolina, Colleton County",
"Ottowa, Cananda","North America, Canada, Ontario",Ottawa
"Oued (sp?), Krib, Morocco","Africa, Morocco",
"Ouray, Colo.","North America, United States, Colorado, Ouray County",Ouray
out on water off San Pedro,"North America, United States, California, Los Angeles County",Los Angeles
Pacheco,"North America, Mexico, Chihuahua",Pacheco
"Pacific Beach, S.D. Co., Calif.","North America, United States, California, San Diego County",San Diego
Pacific Coast,"North America, United States",
Pacific Grove,"North America, United States, California, Monterey County",Pacific Grove
"Paicines, Calif. [California]","North America, United States, California, San Benito County",Paicines
Pallas Park District,"North America, United States, Illinois, Cook County",Palos Park
Palmer Lake,"North America, United States, Colorado, El Paso County",Palmer Lake
"Palmerlee, Cochise Co. Ariz.","North America, United States, Arizona, Cochise County",
"Palm Springs, Calif Riverside Co.","North America, United States, California, Riverside County",Palm Springs
"Palo Alto, Santa Clara Co. Calif [California]","North America, United States, California, Santa Clara County",Palo Alto
"Palos Division - Head Quart[ers?], Cook County Forest Preserve, 2 miles south of Willow Springs","North America, United States, Illinois, Cook County",Willow Springs
"Palos Park, Ill.","North America, United States, Illinois, Cook County",Palos Park
"Palos Park, Ill. [Illinois]","North America, United States, Illinois, Cook County",Palos Park
Paredon Chis. Mexico,"North America, Mexico, Chiapas",ParedÃ³n
Parry Sound,"North America, Canada, Ontario",Parry Sound
"Pasadena, Calif.","North America, United States, California, Los Angeles County",Pasadena
"Patagonia, Ariz.","North America, United States, Arizona, Santa Cruz County",Patagonia
"Patagonia, Ariz. Santa Cruz Co.","North America, United States, Arizona, Santa Cruz County",Patagonia
"Patagonia, Arizona","North America, United States, Arizona, Santa Cruz County",Patagonia
Patos,"North America, Mexico, Durango",Patos
P Calif.,"North America, United States, California, Los Angeles County",Pasadena
"Pekasko Cr. 28 mi W (alt) 4,300'","North America, Canada, Alberta, Calgary Region",High River
Pekisko Cove; 28 miles west of High River. Canada: Alberta,"North America, Canada, Alberta, Calgary Region",High River
"Pekisko Creek, 28 mi W High River","North America, Canada, Alberta, Calgary Region",High River
"Pembina, N.D.","North America, United States, North Dakota, Pembina County",Pembina
"Pembroke, Ontario","North America, Canada, Ontario",Pembroke
"Pembroke Township, Section 33, nr. St Anne","North America, United States, Illinois, Kankakee County",Saint Anne
"Pennsylvania, Pennsylvania game farm","North America, United States, Pennsylvania",
Pennsylvania game farm,"North America, United States, Pennsylvania",
"Pensacola, Florida","North America, United States, Florida, Escambia County",Pensacola
Perth?,"North America, United States, Colorado",
"Petroleum, W. Va.","North America, United States, West Virginia, Ritchie County",Petroleum
"Petroleum, W. Va. [West Virginia]","North America, United States, West Virginia, Ritchie County",Petroleum
"Pheonix [sic], Arizona","North America, United States, Arizona, Maricopa County",Phoenix
"Phillip, Wisc.","North America, United States, Wisconsin, Price County",Phillip
"Phoenix, Ariz.","North America, United States, Arizona, Maricopa County",Phoenix
"Phoenix, Ariz. [Arizona]","North America, United States, Arizona, Maricopa County",Phoenix
"Phoenix, Arizona","North America, United States, Arizona, Maricopa County",Phoenix
"Phoenix, AZ","North America, United States, Arizona, Maricopa County",Phoenix
"Phoenix, AZ, Maricopa Co.","North America, United States, Arizona, Maricopa County",Phoenix
Piatt Co. Ill.,"North America, United States, Illinois, Piatt County",Monticello
picked up dead on Blvd,"North America, United States, Illinois, DuPage County",Glen Ellyn
"Pierce Co., Wash","North America, United States, Washington, Pierce County",
Pigeon Cove,"North America, United States, Massachusetts, Essex County",Rockport
Pikes Peak foothills,"North America, United States, Colorado, El Paso County",
"Pilot Town, LA","North America, United States, Louisiana, Plaquemines Parish",Pilottown
"Pilot Town, La.","North America, United States, Louisiana, Plaquemines Parish",Pilottown
"Pilot Town, Louisiana","North America, United States, Louisiana, Plaquemines Parish",Pilottown
Pinal Col. Ariz.,"North America, United States, Arizona, Pinal County",
"Pine Grove, near Sevierville, Great Smoky Mountains [National Park], Sevier Co., Tenn","North America, United States, Tennessee, Sevier County",Sevierville
"Pine Grove, nr Sevierville, Great Smoky Mts NP, Tenn","North America, United States, Tennessee, Sevier County",Pine Grove
"Pine Grove, Tenn.","North America, United States, Tennessee, Sevier County",Pine Grove
"Pine Grove, Tenn. Great Smokey Mts, Pine Grove near Sevierville","North America, United States, Tennessee, Sevier County",Sevierville
"Pinery Canon; Chiricuhua Mountains, Alt. 6000 ft, Cochise Co. Ariz.","North America, United States, Arizona, Cochise County",
Pinery Canyon,"North America, United States, Arizona, Cochise County",
"Pinery Canyon, 5000', Chiricahua Mts, Cochise Co. Ariz.","North America, United States, Arizona, Cochise County",
"Pinery Canyon, 6000', Chiricahua Mts, Cochise Co. Ariz.","North America, United States, Arizona, Cochise County",
"Pinery Canyon, 6500', Chiricahua Mts, Ariz, Cochise Co.","North America, United States, Arizona, Cochise County",
Pinol Co. Ariz.,"North America, United States, Arizona, Pinal County",
"Pinos Altos, Chihuahua, Mexico","North America, Mexico, Chihuahua, Ocampo",Pinos Altos
Pistakee Lake,"North America, United States, Illinois, Lake County",
"Pistakee Lake, Ill McHenry","North America, United States, Illinois, McHenry County",
"Pistakee Lake, Wisc.","North America, United States, Wisconsin",
"Pitman Center, Tenn.","North America, United States, Tennessee, Marion County",Shellmound
Plant City,"North America, United States, Florida, Hillsborough County",Plant City
"Plant City, Fla","North America, United States, Florida, Hillsborough County",Plant City
"Plant City, Florida","North America, United States, Florida, Hillsborough County",Plant City
"Plant City, Hillsborough County, Florida","North America, United States, Florida, Hillsborough County",Plant City
Platte,"North America, United States, California",
Platte Canyon,"North America, United States, Colorado, Jefferson County",
Platte River,"North America, United States, Colorado",
"Platte River, Nebraska","North America, United States, Nebraska",
playero grande [large beach],"South America, Ecuador, Los Rios",Quito
Plum Creek,"North America, United States, Colorado, Arapahoe County",Littleton
PNNM E Side,"North America, United States, Illinois, Cook County",Chicago
Point Barrow,"North America, United States, Alaska","North Slope Borough, Barrow"
"Point Isabel, Texas","North America, United States, Texas, Cameron County",Point Isabel
Point Isabel Tex.,"North America, United States, Texas, Cameron County",Point Isabel
"Point Rey, Calif.","North America, United States, California, Marin County",
"Point Reye, Calif.","North America, United States, California, Marin County",
"Point Sur, Calif.","North America, United States, California, Monterey County",
"Polk City, Polk County, Florida","North America, United States, Florida, Polk County",Polk City
Polos Park [Palso Park?] Cook Co. Ill [Illinois],"North America, United States, Illinois, Cook County",Palos Park
"Pomona, Los Angeles Co. Calif.","North America, United States, California, Los Angeles County",Pomona
Porcher's Island Field. Mt. Pleasant S.C.,"North America, United States, South Carolina, Charleston County",Mount Pleasant
Porsher's Island Field,"North America, United States, South Carolina, Charleston County",Mount Pleasant
"Portage, Ind. [Indiana]","North America, United States, Indiana, Porter County",Portage
"Portland, Oreg.","North America, United States, Oregon, Mulnomah County",Portland
"Port Lavaca, Tex. [Texas]","North America, United States, Texas, Calhoun County",Port Lavaca
"Port Lavaco, Tex.","North America, United States, Texas, Calhoun County",Port Lavaca
"Port St. Joe, Fla","North America, United States, Florida, Gulf County",Port Saint Joe
"Port St. Joe, Gulf co. Fla","North America, United States, Florida, Gulf County",Port Saint Joe
"Port St. Joe, Gulf Co. Fla","North America, United States, Florida, Gulf County",Port Saint Joe
"Port St. Joe, Gulf County, Florida","North America, United States, Florida, Gulf County",Port Saint Joe
"Portuguese Bend, Calif.","North America, United States, California, Los Angeles County",
"Poygan Lake, Tustin, Wisc.","North America, United States, Wisconsin, Winnebago County",Tustin
"Poygan Lake, Wisc.","North America, United States, Wisconsin",
"Prairie Bend, Lake Co., Ind","North America, United States, Indiana, Lake County",Prairie Bend
"Prairie du Sac, Wisconsin","North America, United States, Wisconsin, Sauk County",Prairie du Sac
Prairie Mer Rouge,"North America, United States, Louisiana, Morehouse Parish",
"Prescott, Ariz","North America, United States, Arizona, Yavapai County",Prescott
"Prescott, Ariz.","North America, United States, Arizona, Yavapai County",Prescott
"Price, Utah","North America, United States, Utah, Carbon County",Price
Price Utah,"North America, United States, Utah, Carbon County",Price
"Prien-Obb, Germany","Europe, Germany, Bavaria, Upper Bavaria",Prien am Chiemsee
Prien-Obb Germany,"Europe, Germany, Bavaria, Upper Bavaria",Prien am Chiemsee
"Princeton, N.J.","North America, United States, New Jersey, Mercer County",Princeton
"Princeton, New Jersey","North America, United States, New Jersey, Mercer County",Princeton
Princeton Calif.,"North America, United States, California, Colusa County",Princeton
Prisoners Harbor,"North America, United States, California, Santa Cruz County",Santa Cruz
Prospect Park,"North America, United States, Illinois, Cook County",Clarendon Hills
"Providence, R. Isl.","North America, United States, Rhode Island, Providence County",Providence
"Province County, Rhode Island","North America, United States, Rhode Island, Providence County",
Pt. Barrow,"North America, United States, Alaska","North Slope Borough, Barrow"
"Pt. Barrow, Alaska","North America, United States, Alaska","North Slope Borough, Barrow"
"Public hunting area, cover of 4 birds near river","North America, United States, Illinois, Cook County",Des Plaines
"Pueblo City, Colo. [Colorado]","North America, United States, Colorado, Pueblo County",Pueblo
Puerto Rico?,"West Indies, United States, Puerto Rico, Greater Antilles",
"Puget Sound; Northwest Boundary Survey [no longer in existance; nearest city is Bellingham, Washington]","North America, United States, Washington, Whatcom County",Bellingham
"Puyallup, Wash.","North America, United States, Washington, Pierce County",Puyallup
Puyallup Wash,"North America, United States, Washington, Pierce County",Puyallup
Quarantine,"North America, United States, Louisiana, Plaquemines Parish",Quarantine
"Quarantine [Guarantine?], La.","North America, United States, Louisiana",Quarantine
"Quebec, Can. [Canada]","North America, Canada, Quebec",
"Quebec, Quebec","North America, Canada, Quebec",Quebec City
"Quincy, Mass. [Massachusetts]","North America, United States, Massachusetts, Norfolk County",Quincy
"Rainy River District, Nester Falls, Log River","North America, Canada, Ontario",Sioux Narrows-Nestor Falls
"Raleigh, N.C.","North America, United States, North Carolina, Wake County",Raleigh
"Raleigh, N.C. [North Carolina]","North America, United States, North Carolina, Wake County",Raleigh
"Raleigh, SC [North Carolina, no listing for Raleigh, SC]","North America, United States, North Carolina, Wake County",Raleigh
Rancher's Ranch; 90 miles south of F. Huachuca Ariz.,"North America, United States, Arizona, Cochise County",Sierra Vista
"Raske Canyon, Colton Calif.","North America, United States, California, San Bernardino County",Colton
"Ravine, CAS/PNNM, 2430 N. Cannon Dr., Chicago, IL 60614","North America, United States, Illinois, Cook County",Chicago
"Ravine, CAS/PNNM, 2430 N. Cannon Drive, Chicago, IL 60614","North America, United States, Illinois, Cook County",Chicago
"Ravine, Nature Museum, 2430 North Cannon Drive, Chicago IL 60614","North America, United States, Illinois, Cook County",Chicago
"Ravine, site #1, Nature Museum, 2430 North Cannon Drive, Chicago IL 60614","North America, United States, Illinois, Cook County",Chicago
"Ravine, site #4, Nature Museum, 2430 North Cannon Drive, Chicago IL 60614","North America, United States, Illinois, Cook County",Chicago
Ravine at the Nature Museum,"North America, United States, Illinois, Cook County",Chicago
Ravinia,"North America, United States, Illinois, Lake County",Highland Park
"Ravinia, IL","North America, United States, Illinois, Lake County",Highland Park
"Ravinia, Ill. [Illinois]","North America, United States, Illinois, Lake County",Highland Park
"Ravinia, Lake, Co., Ill.","North America, United States, Illinois, Lake County",Highland Park
"Realito/Bralita, Tamps. Realito, Mex.","North America, Mexico, Tamaulipas",El Realito
"Reche (sp?) Canyon, Colton, Calif.","North America, United States, California, San Bernardino County",Colton
"Red Bay, Labrador","North America, Canada, Newfoundland and Labrador",Red Bay
"Red Deer, NW Canada","North America, Canada, Alberta",Red Deer
"Red Oak , Lake Co, Ind.","North America, United States, Indiana, Lake County",Red Oak
Red River basin of the North,"North America, Canada",
Red River of North,"North America, Canada",
Red River of the North,"North America, Canada",
"Regina, Saskatchewan","North America, Canada, Saskatchewan",Regina
Regnier,"North America, United States, Colorado, Baca County",Regnier
"Regnier, Baca. Co., Colo [Colorado]","North America, United States, California, Baca County",
"removed from CAS roof, Lincoln Park","North America, United States, Illinois, Cook County",Chicago
"Renfrew County, Ontario","North America, Canada, Ontario, Renfrew County",
"Rest Lake, Manitowish, Wisc.","North America, United States, Wisconsin, Iron County",Manitowish
"Rich Canyon, S of Colton, Calif.","North America, United States, California, San Bernardino County",Colton
Riche Canyon,"North America, United States, California, San Bernardino County",Colton
"Riley Ramp Row, Medina Co., Tex.","North America, United States, Texas, Medina County",Riley
"Riley Ramp Row, Riley, Medina Co., Tex.","North America, United States, Texas, Medina County",Riley
Rio Colorado,"North America, Mexico",Potholos
"Rio Colorado (Colorado River), Mex.","North America, Mexico",
"Rio Cruz (?), Tamps Mex.","North America, Mexico, Tamaulipas",
Rio Grande,"North America, Mexico, Tamaulipas",Matamoros
"Rio Harda, La Haida (?) Calif.","North America, United States, California, San Mateo County",La Honda
"Rio Martinez, Tamps.","North America, Mexico, Tamaulipas",
Rio San Antonio,"North America, United States, Texas, Bexar County",San Antonio
"Rio Sestin, alt. 7500 feet, NW Mexico","North America, Mexico, Durango",
Risers Hatchery,"North America, United States, Colorado",
"Riv. Co., Calif.","North America, United States, California, Riverside County",
"River Forest, Cook Co., Ill","North America, United States, Illinois, Cook County",River Forest
"River Forest, Cook Co., Illinois","North America, United States, Illinois, Cook County",River Forest
"River Forest, Cook Co. Ill.","North America, United States, Illinois, Cook County",River Forest
"River Forest, Cook County, Illinois","North America, United States, Illinois, Cook County",River Forest
"River Forest, Ill.","North America, United States, Illinois, Cook County",River Forest
"River Forest, Ill. [Illinois]","North America, United States, Illinois, Cook County",River Forest
"River Forest, Ill. Trailside Mus.","North America, United States, Illinois, Cook County",River Forest
"River Forest, Illinois","North America, United States, Illinois, Cook County",River Forest
Riverforest Ill.,"North America, United States, Illinois, Cook County",River Forest
Riverside,"North America, United States, California, Riverside County",Riverside
"Riverside, CA, Riverside Co.","North America, United States, California, Riverside County",Riverside
"Riverside, Calif.","North America, United States, California, Riverside County",Riverside
"Riverside, California","North America, United States, California, Riverside County",Riverside
"Riverside, Colo.","North America, United States, Colorado, Chaffee County",Riverside
Riverside Co. Calif.,"North America, United States, California, Riverside County",
"Roan Mt, N.C.","North America, United States, North Carolina, Mitchell County",
"Robey, Ind.","North America, United States, Illinois, Christian County",Roby
"Robey, Ind. [Indiana]","North America, United States, Indiana, Lake County",Roby
Roby,"North America, United States, Indiana, Lake County",Hammond
"Roby, Ill","North America, United States, Illinois, Christian County",Roby
"Roby, Ill.","North America, United States, Illinois, Christian County",Roby
"Roby, Ill. [Illinois]","North America, United States, Illinois, Christian County",Roby
"Roby, Ill [Illinois]","North America, United States, Illinois, Christian County",Roby
"Roby, Ind. [Indiana]","North America, United States, Illinois, Christian County",Roby
"Rock Bluff, Fla","North America, United States, Florida, Liberty County",Rock Bluff
"Rock Bluff, Liberty Co., Fla.","North America, United States, Florida, Liberty County",Rock Bluff
"Rock Canon, NE of Tucson","North America, United States, Arizona, Pima County",Tucson
"Rock Canon, NE Tuscon","North America, United States, Arizona, Pima County",Tucson
Rock Canon; Las Vegus (sic),"North America, United States, New Mexico, San Miguel County",Las Vegas
Rock Canyon,"North America, United States, Arizona, Pima County",Tucson
"Rock Canyon, N.E. [North East] of Tuscon","North America, United States, Arizona, Pima County",Tucson
Rock Canyon N.E. [North East] of Tuscon,"North America, United States, Arizona, Pima County",Tucson
"Rockport, Refugio Co., Tex [Texas]","North America, United States, Texas, Aransas County",Rockport
Rocky Mountains,"North America, United States",Rocky Mountains
"Rocky Mountains, Arizona, New Mexico","North America, United States",
Rocky Mts.,"North America, United States",
"Roger's Park, Evanston, Ill.","North America, United States, Illinois, Cook County",Chicago and Evanston
Rogue-Elk-Jackson Co. Oreg.,"North America, United States, Oregon, Jackson County",Rogue Elk
Rolling Lake,"North America, Canada, British Columbia",
Rollings Lake,"North America, Canada, British Columbia",
Romanof Mt,"North America, United States, Alaska",North Slope Borough
"Romeo, IL, Will Co.","North America, United States, Illinois, Will County",Romeoville
"Romeo, Ill","North America, United States, Illinois, Will County",Romeoville
"Romeo,Ill.","North America, United States, Illinois, Will County",Romeoville
"Romeo, Ill.","North America, United States, Illinois, Will County",Romeoville
"Romeo, Ill., Will Co.","North America, United States, Illinois, Will County",Romeoville
"Romeo, Ill. Will Co.","North America, United States, Illinois, Will County",Romeoville
"Romeo, Ill.  Will Co.","North America, United States, Illinois, Will County",Romeoville
"Romeo, Ill. Will Co., Will Co.","North America, United States, Illinois, Will County",Romeoville
"Romeo, Ill Will Co.","North America, United States, Illinois, Will County",Romeoville
"Romeo, Will. Co. Ill.","North America, United States, Illinois, Will County",Romeoville
"Romeo, Will Co., Ill","North America, United States, Illinois, Will County",Romeoville
"Romeo, Will Co., Ill.","North America, United States, Illinois, Will County",Romeoville
"Romeo, Will Co., Ill [Illinois]","North America, United States, Illinois, Will County",Romeoville
"Romeo, Will Co., Illinois`","North America, United States, Illinois, Will County",Romeoville
"Romeo, Will Co. Ill.","North America, United States, Illinois, Will County",Romeoville
"Romeo, Will County, Illinois","North America, United States, Illinois, Will County",Romeoville
Romeo Ill.,"North America, United States, Illinois, Will County",Romeoville
Romeo Ill Will Co.,"North America, United States, Illinois, Will County",Romeoville
Romeo-Will Co. Ill.,"North America, United States, Illinois, Will County",Romeoville
"Rondout, Ill.","North America, United States, Illinois, Lake County",Rondout
"Rondout (sic), Ill.","North America, United States, Illinois, Lake County",Rondout
"Rose Lawn, Ind","North America, United States, Indiana, Jasper County",Roselawn
Rose Lawn Ind,"North America, United States, Indiana, Jasper County",Roselawn
"Roundout, Ill [Illinois]","North America, United States, Illinois, Lake County",Rondout
"Roundout[Rondout?], Ill [Illinois]","North America, United States, Illinois, Lake County",Rondout
"Rowe, N. Mex.","North America, United States, New Mexico, San Miguel County",Rowe
"Rowe, N. Mex. [New Mexico]","North America, United States, New Mexico, San Miguel County",Rowe
Rush & Bitter Lakes.  South Dakota: Webster,"North America, United States, South Dakota, Day County",Webster
Rush Lake,"North America, United States, South Dakota, Day County",Webster
"Ruskin, Fla","North America, United States, Florida, Hillsborough County",Ruskin
"Russell's Field, Tenn.","North America, United States, Tennessee, Sevier County",
"Russell Field, Tenn.  5000' Great Smoky Mountains Natl. Park","North America, United States, Tennessee, Blount County",Russell Field
"Russellville, Ky. [Kentucky]","North America, United States, Kentucky, Logan County",Russellville
"Russelville, Kentucky","North America, United States, Kentucky, Logan County",Russellville
Ruth Lake,"North America, United States, Illinois, Cook County",Hinsdale
S. Chicago,"North America, United States, Illinois, Cook County",Chicago
"Salt Lake County, Utah","North America, United States, Utah, Salt Lake County",
Samana,"West Indies, Dominican Republic, Provincia Santo Domingo, Greater Antilles, Hispaniola",Santa Domingo
"San Antonio, Tex.","North America, United States, Texas, Bexar County",San Antonio
"San Antonio, Texas","North America, United States, Texas, Bexar County",San Antonio
"San Antonio Canyon, 2000'","North America, United States, California, Los Angeles County",
"San Antonio Canyon, Los Angeles County, California","North America, United States, California, Los Angeles County",
"San Benito Isl, Lower Calif. Mex.","North America, Mexico, Baja California",
San Bernadino Co. Calif.,"North America, United States, California, San Bernardino County",
San Bernadino Mountains,"North America, United States, California, San Bernardino County",Big Bear Lake
"San Bernardino, Calif.","North America, United States, California, San Bernardino County",San Bernardino
San Bernardino Mountains,"North America, United States, California, San Bernardino County",
San Bernardino Mts,"North America, United States, California, San Bernardino County",San Bernardino
"San Bernardino Mts, Cal. [California]","North America, United States, California, San Bernardino County",
"San Bernardino Mts, Calif.","North America, United States, California, San Bernardino County",
"San Diego, Calif.","North America, United States, California, San Diego County",San Diego
"San Diego, Calif. [California]","North America, United States, California, San Diego County",San Diego
San Diego Bay,"North America, United States, California, San Diego County",San Diego
"San Diego Bay, Cal., San Diego Co.","North America, United States, California, San Diego County",San Diego
San Diego Co. Preston,"North America, United States, California, San Diego County",
"San Dimas Canyon, alt. 1300'","North America, United States, California, Los Angeles County",San Dimas
sand pit east of Pt. Barrow,"North America, United States, Alaska","North Slope Borough, Barrow"
Sand Point Alaska,"North America, United States, Alaska, Aleutian Islands",Sand Point
"San Fernando, L.A.Co., Calif.","North America, United States, California, Los Angeles County",San Fernando
"San Francisco, Calif.","North America, United States, California, San Francisco County",San Francisco
"San Geromino, Calif.","North America, United States, California, Marin County",San Geronimo
San Geromino Calif. [California],"North America, United States, California, Marin County",San Geronimo
"San Geronimo, Calif. [California]","North America, United States, California, Marin County",San Geronimo
"San Geronimo Canyon 25mi W of city, San Antonio Tex.","North America, United States, Texas, Bexar County",San Antonio
"San Geronomo, Nicaragua (Chinandago)","Central America, Nicaragua, Chinandega",San Gianomo
San Gorgonio Pass,"North America, United States, California, Riverside County",
"San Grego[ria], San Mateo Co. Calif.","North America, United States, California, San Mateo County",San Gregorio
"San Jacinto Mts, Calif.","North America, United States, California, Riverside County",
"San Jose, C.R. [Costa Rica]","Central America, Costa Rica, San Jose",San JosÃ©
"San Jose, Fecate, (Calif)?","North America, United States, California, Santa Clara County",San Jose
San Jose del Cabo,"North America, Mexico, Baja California Sur",San Jose del Cabo
San Luis Lakes,"North America, United States, Colorado, Alamosa County",
"San Luis Obispo, San Luis Obispo Co., Calif. [California]","North America, United States, California, San Luis Obispo County",San Luis Obispo
"San Mateo, Mex.","North America, Mexico",
"San Rafael, Calif.","North America, United States, California, Marin County",San Rafael
San Rafael Marshes,"North America, United States, California, Marin County",San Rafael
"Santa Ana Valley, Calif [California]","North America, United States, California, Orange County",
Santa Anna Valley,"North America, United States, California, Orange County",
Santa Barbara Calif.,"North America, United States, California, Santa Barbara County",Santa Barbara
"Santa Clara, Calif.","North America, United States, California, Santa Clara County",Santa Clara
Santa Clara Calif.,"North America, United States, California, Santa Clara County",Santa Clara
"Santa Cruz, CA, Santa Cruz Co.","North America, United States, California, Santa Cruz County",Santa Cruz
"Santa Cruz, Calif.","North America, United States, California, Santa Cruz County",Santa Cruz
Santa Cruz Calif.,"North America, United States, California, Santa Cruz County",Santa Cruz
"Santa Cruz Isl, Calif.","North America, United States, California, Santa Barbara County",
Santa Cruz Island,"North America, United States, California, Santa Barbara County",
"Santa Cruz Island, Calif.","North America, United States, California, Santa Barbara County",
"Santa Cruz Island, California","North America, United States, California, Santa Barbara County",
Santa Cruz Island Calif.,"North America, United States, California, Santa Barbara County",
Santa Cruz Mountains,"North America, United States, California, Santa Cruz County",
"Santa Cruz mountains, Calif., Santa Cruz Co., Glenwood","North America, United States, California, Santa Cruz County",
"Santa Cruz Mtns., Glenwood, Calif.","North America, United States, California, Santa Cruz County",Scotts Valley
Santa Cruz Mts,"North America, United States, California",
"Santa Cruz Valley, Santa Cruz Co. Calif.","North America, United States, California, Santa Cruz County",
"Santa Paula, Calif.","North America, United States, California, Ventura County",Santa Paula
Santa Rita Mountains,"North America, United States, Arizona, Pima County",
"Santa Rita Mountains, Ariz.","North America, United States, Arizona, Pima County",
Santa Rita Mts,"North America, United States, Arizona, Pima County",
"Santa Rita Mts, Ariz.","North America, United States, Arizona, Pima County",
"Santa Rita Mts, north base, Madera Canyon, Pima Co, Arizona","North America, United States, Arizona, Pima County",
"Santa Rita Mts, north base, Madera Canyon, Pima Co, Arizona; 10 mi SE Continental, Santa Rita Mountains","North America, United States, Arizona, Pima County",
Santa Rita Mts Ariz.,"North America, United States, Arizona, Pima County",
Santa Rita Mts Ariz. [Arizona],"North America, United States, Arizona, Pima County",
"Santa Rita River, NE of Tucson, Ariz","North America, United States, Arizona, Pima County",Tucson
"Santa Rosa, Isl. Fla","North America, United States, Florida, Escambia County",
"Santa Rosa Isl, Santa Rosa Co., Florida","North America, United States, Florida, Escambia County",
Santa Rosa Isl. Fla,"North America, United States, Florida, Escambia County",
"Santa Rosa Island, Florida","North America, United States, Florida, Escambia County",
"Santiago, K, Cakuf,","North America, Mexico, Baja California Sur",Santiago
Sapelo Island,"North America, United States, Georgia, McIntosh County",
Saratoga Unit of Big Thicket,"North America, United States, Texas, Jefferson County",Beaumont
Sargent Calif.,"North America, United States, California, Santa Clara County",Sargent
"Sascatchewan, British Col.","North America, Canada",
Saskatchewan,"North America, Canada, Saskatchewan",
"Savage Mountain, near Finzel, Md. [Finzel is in Somerset County, Pennsylvania, part of Savage Mountain chain extends into this state]","North America, United States, Maryland, Somerset County",Finzel
"Savannah River, Hardeeville, Beaufort Co., S.C.","North America, United States, South Carolina, Beaufort County",Hardeeville
"Saven Rock, near Haven, Conn.","North America, United States, Connecticut, New Haven County",West Haven
Scarboro,"North America, United States, Maine, Cumberland County",Scarborough
S Chicago,"North America, United States, Illinois, Cook County",Chicago
"S Chicago, Ill [Illinois]","North America, United States, Illinois, Cook County",Chicago
"Scio, Linn Co., Oregon","North America, United States, Oregon, Linn County",Scio
"Scott's Valley, Glenwood, Calif.","North America, United States, California, Santa Cruz County",Scotts Valley
"Scott's Valley, Glenwood Calif.","North America, United States, California, Santa Cruz County",Scotts Valley
"Scott's Valley, Santa Cruz Co., Calif.","North America, United States, California, Santa Cruz County",Scotts Valley
"Seagull, N.C.","North America, United States, North Carolina, Currituck County",Seagull
Sea Island,"North America, United States, Alaska",
"Seattle, King Co., Washington","North America, United States, Washington, King County",Seattle
Sebastapol Sonoma Co. Calif.,"North America, United States, California, Sonoma County",Sebastopol
"Sebastopol, Calif.","North America, United States, California, Sonoma County",Sebastopol
Section: B.H.,no higher geography recorded,
Section: Barn,no higher geography recorded,
Section: Ducky avd(?),no higher geography recorded,
Section: Zoo rookery,no higher geography recorded,
"Section 36, York Township","North America, United States, Illinois, Cook County",York Township
"see remarks, Tillamook Oreg.","North America, United States, Oregon, Tillamook County",Tillamook
Seminole Indian Reservation,"North America, United States, Florida, Broward County",
Sena Key,"North America, United States, Florida",
"Sena Key, Fla","North America, United States, Florida",
Shading Club?,"North America, United States, Indiana, Starke County",English Lake
"Shedd Aquarium, 12 st. beach","North America, United States, Illinois, Cook County",Chicago
Sheffield,"North America, United States, Indiana, Lake County",Sheffield
"Shellmound, Marion Co., Tenn.","North America, United States, Tennessee, Marion County",Shellmound
"Shellmound, Tenn.","North America, United States, Tennessee, Marion County",Shellmound
"Shellmound, Tenn. Marion Co.","North America, United States, Tennessee, Marion County",Shellmound
Shelter Isl. N.Y.,"North America, United States, New York, Suffolk County, Long Island, Shelter Island",Shelter Island
Shelter Island,"North America, United States, New York, Suffolk County, Long Island, Shelter Island",Shelter Island
"Shelter Island, New York","North America, United States, New York, Suffolk County, Long Island, Shelter Island",Shelter Island
"Shelter Isle [Island], N.Y. [New York]","North America, United States, New York, Suffolk County, Long Island, Shelter Island",Shelter Island
Shelton Isl,"North America, United States, New York, Suffolk County, Long Island, Shelter Island",Shelter Island
Sherwood Plantation,"North America, United States, Georgia, Grady County",
"Shirley's Bay, Ottawa, Ontario","North America, Canada, Ontario",Ottawa
Shoalwater Bay,"North America, United States, Washington, Pacific County",
shot at Key West,"North America, United States, Florida, Monroe County, Florida Keys, Key West",Key West
shot by swampy aspen thicket,"North America, United States, Wisconsin, Vilas County",Saint Germain
shot flying over poplar woods,"North America, United States, Wisconsin, Vilas County",Saint Germain
"shot from a cottonwood tree on Verde River, 3,000 ft","North America, United States, Arizona, Yavapai County",Camp Verde
shot from huge migratory flock,"North America, United States, Illinois, Will County",Mokena
"shot from roost of 2,000 ft in oak tree over a graveyard at night ; Ill [Illinois Will Co., New Lenox]","North America, United States, Illinois, Will County",New Lenox
shot from willow tree along cornfield Ill [Illinois] Mokena,"North America, United States, Illinois, Will County",Mokena
shot in birch woods,"North America, United States, Wisconsin, Vilas County",Saint Germain
shot in center of 45 acre cornfield Ill [Illinois] Mokena,"North America, United States, Illinois, Will County",Mokena
Shot in Log River northwest end of Caliper Lake,"North America, Canada, Ontario",Sioux Narrows-Nestor Falls
