status - sam,accn_number,received_from,received_year,received_month,received_day,nature_of_material,remarks,estimated_count
Done,361,William Stimpson,1893,,,"Malacology: Gastropods, Pteropods [Bivalves], Scaphopods. Number of species: 92",Probably dredged after the big Chicago fire and just before the death of Mr. Stimpson.  Sent to the Smithsonian Institution for naming. Information from accession book. Verbatim received from agent: William Stimpson,600
Done,362,William Stimpson,1893,,,Malacology: Marine mollusks [molluscs].,Information from accession book. Verbatim received from agent: William Stimpson,25
Done,372,Frank Collins Baker,1893,,,Malacology: Marine mollusks [molluscs].,Information from accession book. Verbatim received from agent: F.C. Baker Frank C.,25
Done,373,George H. Laflin,1893,,,Malacology: Muricidae.,Information from accession book. Verbatim received from agent: George H. Laflin,150
Done,374,S. C. Clark,1893,,,Malacology: Mollusks [Molluscs].,Information from accession book. Verbatim received from agent: S.C. Clark,30
Done,375,John S. Kendall,1893,,,Malacology: Marine mollusks [molluscs].,Information from accession book. Verbatim received from agent: John S. Kendall,5
Done,376,H. C. Ford,1893,,,Malacology: Marine mollusks [molluscs].,Information from accession book. Verbatim received from agent: H.C. Ford,400
Done,378,W. A. White,1893,,,Malacology: Helix pomatia.,Information from accession book. Verbatim received from agent: W.A. White,2
Done,379,Robert Kennicott,1893,,,Malacology: Mollusks [Molluscs].,Information from accession book. Verbatim received from agent: Robert Kennicott,20
Done,380,E. A. Turner,1893,,,Malacology: Mollusks [Molluscs].,Information from accession book. Verbatim received from agent: E.A. Turner,30
Done,385,E. W. Nelson,1893,,,Malacology: Mollusks [Molluscs].,Information from accession book. Verbatim received from agent: E.W. Nelson,200
Done,393,,1893,,,Malacology: Mollusks [Molluscs].,"Information from accession book.. Verbatim agency associated with: Washington Commission, W.C.E",200
Done,394,John Dreuth,1893,,,Malacology: Pearl oyster.,Cut for buttons. Information from accession book. Verbatim received from agent: John Dreuth,1
Done,395,Andrew Bolter,1893,,,Malacology: Mollusks [Molluscs].,Information from accession book. Verbatim received from agent: Andrew Bolter,3
Done,397,W. W. Cooper,1893,,,"Malacology: Mollusks [molluscs], freshwater.",Information from accession book. Verbatim received from agent: W.W. Cooper,25
Done,398,H. H. Hill,1893,,,Malacology: Unionidae.,Information from accession book. Verbatim received from agent: H.H. Hill,12
Done,400,Victor Sterki,1893,,,Malacology: Land shells. Number of species: 5,Information from accession book. Verbatim received from agent: Dr. V. Sterki Victor,40
Done,412,Frank M. Woodruff,1894,11,27,Malacology: Mixed shells.,Information from accession book. Verbatim received from agent: F.M. Woodruff,100
Done,446,E. W. Engleholm,1895,1,11,Malacology: Mixed shells.,Information from accession book. Verbatim received from agent: E.W. Engleholm,150
Done,507,John S. Kendall,1895,5,4,Malacology: Mixed shells.,Information from accession book. Verbatim received from agent: John S. Kendall,35
Done,543,Joseph R. Putnam,1895,6,15,Malacology: Mixed shells.,Information from accession book. Verbatim received from agent: J.R. Putnam,300
Done,563,E. W. Engleholm,1895,6,26,Malacology: Shells.,Information from accession book. Verbatim received from agent: Mr. Engleholm,5
Done,564,Clarence Johnson,1895,6,26,Malacology: Shells.,Information from accession book. Verbatim received from agent: Clarence Johnson,4
Done,589,George H. Laflin,1895,8,7,Malacology: Echinoderms.,Information from accession book. Verbatim received from agent: George H. Laflin,3
Done,590,George H. Laflin,1895,8,7,Malacology: Corals.,Information from accession book. Verbatim received from agent: George H. Laflin,11
Done,592,George H. Laflin,1895,8,7,Malacology: Mollusks [Molluscs].,Information from accession book. Verbatim received from agent: George H. Laflin,160
Done,593,George H. Laflin,1895,8,7,Malacology: Cypraeas.,"Information from accession book. Letter in Accession file and copy in Purchases-1895 (from 1951) in which a visiting researcher sends a citation taken from The Nautilus. Vol IX, No. 5, 1895: p. 55, ""The Chicago Academy of Sciences has recently purchased of Mt. John Walton of Rochester his collection of Cypraeidae."" This reference is supported by a reference in the 38th Annual Report of the Chicago Academy of Sciences, p. 6 citing the monetary support of George H. Laflin to the Curator, Frank C. Baker for a collecting trip in the East in July where he brought back, "".a large number of finely mounted birds and mammals, besides shells, corals and minerals."". [A. King]. Verbatim received from agent: George H. Laflin",540
Done,607,J. M. Wiers,1895,8,21,Malacology: Mixed shells.,Information from accession book. Verbatim received from agent: J.M. Wiers,310
Done,643,J. F. Porter,1895,9,21,Malacology: Mixed shells.,Information from accession book. Verbatim received from agent: J.F. Porter,629
Done,644,J. F. Porter,1895,9,21,"Malacology: Sponges, etc.",Information from accession book. Verbatim received from agent: J.F. Porter,89
Done,657,Maud W. Morey,1895,10,26,Malacology: Starfish.,Information from accession book. Verbatim received from agent: Mand W. Morey,3
Done,666,W. S. Christopher,1895,11,14,Malacology: Shells.,Information from accession book. Verbatim received from agent: Dr. W.S. Christopher,156
Done,674,Virginia Chase,1895,11,20,Malacology: Mixed shells.,Information from accession book. Verbatim received from agent: Mrs. Virginia Chase,40
Done,675,Frank M. Woodruff,1895,11,20,Malacology: Mixed shells.,Information from accession book. Verbatim received from agent: F.M. Woodruff,166
Done,678,A. W. Conner,1895,11,30,"Malacology: Unionidae, and other invertebrates.",Information from accession book. Verbatim received from agent: A.W. Conner,100
Done,685,Joseph R. Putnam,1895,12,3,Malacology: Alchohol specimens and Echinoderms.,Information from accession book. Verbatim received from agent: J.R. Putnam,50
Done,716,George H. Laflin,1896,1,14,Malacology: Mixed shells.,Information from accession book. Verbatim received from agent: George H. Laflin,365
Done,726,Graham Davis,1896,1,25,Malacology: Shells.,Information from accession book. Verbatim received from agent: Graham Davis,2
Done,735,Agnes Chase,1896,1,28,"Botany, Malacology: Fungus and Unio. Number of species: 2",Information from accession book. Verbatim received from agent: Mrs. Agnes Chase,2
Done,738,Maude E. Hall,1896,1,28,Malacology: Mixed shells.,Information from accession book. Verbatim received from agent: Maude E. Hall,150
Done,739,Harry S. Hall,1896,1,28,Malacology: Mixed shells.,Information from accession book. Verbatim received from agent: Harry S. Hall,100
Done,747,Thomas Swick,1896,2,4,Malacology: Unios.,Information from accession book. Verbatim received from agent: Thomas Swick,129
Done,748,unknown,1896,2,5,Malacology: Shells with pearls attached.,Information from accession book. Verbatim received from agent: Mr. Barton,2
Done,753,C. M. Higginson,1896,2,13,Malacology: Shells.,Information from accession book. Verbatim received from agent: C.M. Higginson,35
Done,780,Frank M. Woodruff,1896,4,16,Malacology: Mixed shells.,Information from accession book. Verbatim received from agent: F.M. Woodruff,30
Done,781,Paul Favour,1896,4,16,Malacology: Mixed shells.,Information from accession book. Verbatim received from agent: Paul Favour,15
Done,782,,1896,4,23,Malacology: Shells.,Information from accession book.. Verbatim agency associated with: Natural Hist. History Survey,200
Done,783,William K. Higley,1896,4,23,Malacology: Shells.,Information from accession book. Verbatim received from agent: William K. Higley,500
Done,797,Carl Dilg,1896,5,20,Malacology: Shells.,Information from accession book. Verbatim received from agent: Carl Dilg,14
Done,819,J. M. Wiers,1896,6,8,Malacology: Corals.,Information from accession book. Verbatim received from agent: J.M. Wiers,6
Done,820,J. M. Wiers,1896,6,8,Malacology: Starfish.,Information from accession book. Verbatim received from agent: J.M. Wiers,1
Done,833,Otto Speidel,1896,7,7,Malacology: Mixed mollusk [molluscs].,Information from accession book. Verbatim received from agent: Otto Speidel,10
Done,834,Strombach,1896,7,7,Malacology: Mixed mollusks [molluscs].,Information from accession book. Verbatim received from agent: Mr. Strombach,25
Done,838,T. Jensen,1896,7,13,Malacology: Shells.,Information from accession book. Verbatim received from agent: T. Jensen,9
Done,840,,1896,7,13,Malacology: Mixed Mollusks [molluscs].,Information from accession book.. Verbatim agency associated with: Nat. Natural History Survey,25
Done,842,John Henry,1896,7,13,Malacology: Mollusk [Mollusc]. Number of species: 1,Information from accession book. Verbatim received from agent: John Henry,1
Done,846,Frank M. Woodruff,1896,7,20,Malacology: Mollusks [Molluscs].,Information from accession book. Verbatim received from agent: F.M. Woodruff,10
Done,849,Benjamin T. Gault,1896,7,25,Malacology: Mixed Mollusks [Molluscs].,Information from accession book. Verbatim received from agent: B.T. Gault,75
Done,850,,1896,7,25,Malacology: Mixed Mollusks [Molluscs].,Information from accession book.. Verbatim agency associated with: Nat. Natural History Survey,150
Done,852,Oliver Marcy,1896,7,25,Malacology: Mixed Mollusks [Molluscs].,Information from accession book. Verbatim received from agent: Dr. Oliver Marcy,50
Done,855,C. M. Higginson,1896,7,29,Malacology: Mixed mollusks [molluscs].,Information from accession book. Verbatim received from agent: C.M. Higginson,25
Done,856,,1896,8,3,Malacology: Mixed mollusks [molluscs].,Information from accession book.. Verbatim agency associated with: Nat. Natural History Survey,150
Done,859,Henry A. Pilsbry,1896,8,7,Malacology: Mollusks [Molluscs]. Number of species: 1,Information from accession book. Verbatim received from agent: Henry A. Pilsbry,50
Done,875,Frank M. Woodruff,1896,8,29,Malacology: Mollusks [Molluscs].,Information from accession book. Verbatim received from agent: F.M. Woodruff,25
Done,876,T. Jensen,1896,8,31,Malacology: Mollusks [Molluscs].,Information from accession book. Verbatim received from agent: T. Jensen,25
Done,882,E. W. Fowler,1896,9,5,Malacology: Mollusk [Mollusc]. Number of species: 1,Information from accession book. Verbatim received from agent: E.W. Fowler,1
Done,885,T. Jensen,1896,9,10,Malacology: Mollusks [Molluscs].,Information from accession book. Verbatim received from agent: T. Jensen,12
Done,887,Mrs. F. E. Baker,1896,9,10,Malacology: Mollusks [Molluscs].,Information from accession book. Verbatim received from agent: Mrs. F.E. Baker,26
Done,891,Mrs. P. J. Shepstone,1896,9,12,Malacology: Mollusks [Molluscs].,Information from accession book. Verbatim received from agent: Mrs. P.J. Shipston,4
Done,898,,1896,9,22,Malacology: Mixed mollusks [Molluscs].,Information from accession book.. Verbatim agency associated with: Nat. Natural History Survey,50
Done,908,Frank M. Woodruff,1896,10,5,Malacology: Mollusks [Molluscs].,Information from accession book. Verbatim received from agent: F.M. Woodruff,25
Done,912,C. M. Higginson,1896,10,5,Malacology: Barnacles.,Information from accession book. Verbatim received from agent: C.M. Higginson,8
Done,941,Mrs. E. C. Wiswall,1896,12,14,Malacology: Mixed mollusks [Molluscs].,Information from accession book. Verbatim received from agent: Mrs. E.C. Wiswall,500
Done,951,T. Jensen,1897,1,13,Malacology: Mixed mollusks [Molluscs].,Information from accession book. Verbatim received from agent: T. Jensen,30
Done,954,T. Jensen,1897,1,25,Malacology: Mollusks [Molluscs].,Information from accession book. Verbatim received from agent: T. Jensen,10
Done,966,James H. Ferriss,1897,2,16,Malacology: Mixed mollusks [Molluscs].,Information from accession book. Verbatim received from agent: J.H. Ferriss,600
Done,968,E. H. Draper,1897,2,16,Malacology: Starfishes and crabs.,Information from accession book. Verbatim received from agent: E.H. Draper,10
Done,969,Mrs. F. B. Sheldon,1897,2,18,Malacology: Mollusks [Molluscs].,Information from accession book. Verbatim received from agent: Mrs. Sheldon,10
Done,978,Sidney S. Chisholm,1897,3,22,Malacology: Mollusks [Molluscs].,Information from accession book. Verbatim received from agent: Sidney S. Chisholm,10
Done,981,James H. Ferriss,1897,4,2,Malacology: Mixed mollusks [Molluscs].,Information from accession book. Verbatim received from agent: J.H. Ferriss,112
Done,982,J. H. Handwerk,1897,4,2,Malacology: Mixed mollusks [Molluscs].,Information from accession book. Verbatim received from agent: J.H. Handwerk,350
Done,983,James H. Ferriss,1897,4,3,Malacology: Mixed mollusks [Molluscs].,Information from accession book. Verbatim received from agent: J.H. Ferriss,208
Done,985,Mrs. Wilson L. Mead,1897,4,16,Malacology: Mixed mollusks [Molluscs].,Information from accession book. Verbatim received from agent: Mrs. Wilson L. Mead,475
Done,986,Mrs. Wilson L. Mead,1897,4,16,Malacology: Sea-urchins.,Information from accession book. Verbatim received from agent: Mrs. Wilson L. Mead,3
Done,991,C. W. Parker,1897,4,21,Malacology: Mixed mollusks [Molluscs].,Information from accession book. Verbatim received from agent: C.W. Parker,128
Done,1003,C. M. Higginson,1897,5,17,Malacology: Mixed mollusks [Molluscs].,Information from accession book. Verbatim received from agent: C.M. Higginson,200
Done,1012,Frank M. Woodruff,1897,5,28,Malacology: Mixed mollusks [Molluscs].,Information from accession book. Verbatim received from agent: F.M. Woodruff,20
Done,1016,T. Jensen,1897,6,1,Malacology: Mixed mollusks [Molluscs].,Information from accession book. Verbatim received from agent: T. Jensen,85
Done,1032,Olaf F. Nylander,1897,7,31,Malacology: Mixed mollusks [Molluscs].,Information from accession book. Verbatim received from agent: Olaf Nylander,550
Done,1044,T. Jensen,1897,8,2,Malacology: Mollusk [Mollusc]. Number of species: 1,Information from accession book. Verbatim received from agent: T. Jensen,1
Done,1053,William C. Egan,1897,8,10,Malacology: Mixed mollusks [Molluscs].,Information from accession book. Verbatim received from agent: W.C. Egan,37
Done,1060,Frank M. Woodruff,1897,8,18,Malacology: Mixed mollusks [Molluscs].,Information from accession book. Verbatim received from agent: F.M. Woodruff,100
Done,1063,Harry S. Hall,1897,8,19,Malacology: Mixed mollusks [Molluscs].,Information from accession book. Verbatim received from agent: Harry S. Hall,50
Done,1067,Frank Collins Baker,1897,8,28,Malacology: Mixed mollusks [Molluscs].,Information from accession book. Verbatim received from agent: F.C. Baker,1000
Done,1070,W. S. Strode,1897,8,28,Malacology: Mollusks [Molluscs].,Information from accession book. Verbatim received from agent: Dr. W.S. Strode,20
Done,1085,Mrs. George B. Reeve,1897,9,20,Malacology: Starfishes.,Information from accession book. Verbatim received from agent: Mrs. George B. Reeve,31
Done,1088,Mrs. George B. Reeve,1897,9,20,Malacology: Mixed shells.,Information from accession book. Verbatim received from agent: Mrs. George B. Reeve,500
Done,1089,Mrs. George B. Reeve,1897,9,20,Malacology: Mixed shells.,Information from accession book. Verbatim received from agent: Mrs. George B. Reeve,100
Done,1096,T. Jensen,1897,10,1,Malacology: Mollusks [Molluscs].,Information from accession book. Verbatim received from agent: T. Jensen,2
Done,1107,Edward H. Baker,1897,10,12,Malacology: Mixed mollusks [Molluscs].,Information from accession book. Verbatim received from agent: Edward H. Baker,50
Done,1117,H. B. Derr,1897,10,21,Malacology: Mollusks [Molluscs].,Information from accession book. Verbatim received from agent: H.B. Derr,4
Done,1120,James H. Ferriss,1897,10,28,Malacology: Mixed mollusks [Molluscs].,Information from accession book. Verbatim received from agent: J.H. Ferriss,97
Done,1159,Lorraine S. Frierson,1898,1,17,Malacology: Unionidae. Number of species: 26,Information from accession book. Verbatim received from agent: Lorraine S. Frierson,132
Done,1167,James H. Ferriss,1898,2,5,Malacology: Mollusks [Molluscs]. Number of species: 28,Information from accession book. Verbatim received from agent: J.H. Ferriss,102
Done,1193,E. H. Draper,1898,3,26,Malacology: Echinoids. Number of species: 4,Information from accession book. Verbatim received from agent: E.H. Draper,20
Done,1194,E. H. Draper,1898,3,26,Malacology: Asteroids. Number of species: 6,Information from accession book. Verbatim received from agent: E.H. Draper,42
Done,1213,L. E. Daniels,1898,5,6,Malacology: Mollusks [Molluscs]. Number of species: 4,Information from accession book. Verbatim received from agent: L.E. Daniels,60
Done,1225,Mrs. Nicholas Senn,1898,6,7,Malacology: Shells.,Information from accession book. Verbatim received from agent: Mrs. Nicholas Senn,100
Done,1231,Mrs. Nicholas Senn,1898,6,7,Malacology: Corals.,Information from accession book. Verbatim received from agent: Mrs. Nicholas Senn,42
Done,1239,Frank M. Woodruff,1898,6,10,Malacology: Mollusks [Molluscs].,Information from accession book. Verbatim received from agent: F.M. Woodruff,10
Done,1242,L. E. Daniels,1898,6,10,Malacology: Mollusks [Molluscs]. Number of species: 5,Information from accession book. Verbatim received from agent: L.E. Daniels,100
Done,1248,Frank Collins Baker,1898,7,2,Malacology: Mollusks [Molluscs]. Number of species: 1,Information from accession book. Verbatim received from agent: F.C. Baker,5
Done,1261,Frank Collins Baker,1898,7,19,Malacology: Mollusks [Molluscs]. Number of species: 4,Information from accession book. Verbatim received from agent: F.C. Baker,6
Done,1274,Frank Collins Baker,1898,8,3,Malacology: Mixed mollusks [Molluscs].,Information from accession book. Verbatim received from agent: F.C. Baker,247
Done,1282,Frank M. Woodruff,1898,8,29,Malacology: Mollusks [Molluscs].,Information from accession book. Verbatim received from agent: F.M. Woodruff,150
Done,1285,Frank Collins Baker,1898,8,31,Malacology: Mollusks [Molluscs]. Number of species: 13,Information from accession book. Verbatim received from agent: F.C. Baker,15
Done,1286,J. H. Handwerk,1898,8,31,Malacology: Mixed mollusks [Molluscs].,Information from accession book. Verbatim received from agent: J.H. Handwerk,200
Done,1294,Howard N. Lyon,1898,9,19,Malacology: Mixed mollusks [Molluscs].,Information from accession book. Verbatim received from agent: Dr. Howard N. Lyon,10000
Done,1304,Sister Kostka,1898,9,30,Malacology: Mollusks [Molluscs].,Information from accession book. Verbatim received from agent: Sister Kostka,29
Done,1334,R. L. Rea,1898,12,31,Malacology: Mixed mollusks [Molluscs].,Information from accession book. Verbatim received from agent: Dr. R.L. Rea,825
Done,1338,L. E. Daniels,1899,1,10,Malacology: Unionidae. Number of species: 30,Information from accession book. Verbatim received from agent: L.E. Daniels,93
Done,1339,L. E. Daniels,1899,1,10,Malacology: Gastropods. Number of species: 1,Information from accession book. Verbatim received from agent: L.E. Daniels,2
Done,1343,Oliver S. Westcott,1899,1,16,Malacology: Gastropoda. Number of species: 4,Information from accession book. Verbatim received from agent: Prof. O.S. Westcott,12
Done,1362,P. B. Randolph,1899,4,4,Malacology: Mollusks [Molluscs]. Number of species: 8,Information from accession book. Verbatim received from agent: P.B. Randolph,150
Done,1401,Mrs. Buford Kennedy,1899,5,1,Malacology: Mollusk [Mollusc] . Number of species: 1,Information from accession book. Verbatim received from agent: Mrs. Buford Kennedy,1
Done,1402,I. A. McCord,1899,6,1,Malacology: Mollusks [Molluscs].,Information from accession book. Verbatim received from agent: I.A. McCord,4
Done,1410,T. Jensen,1899,8,1,Malacology: Mollusks [Molluscs]. Number of species: 2,Information from accession book. Verbatim received from agent: T. Jensen,3
Done,1411,Frank M. Woodruff,1899,9,1,Malacology: Mollusks [Molluscs]. Number of species: 7,Information from accession book. Verbatim received from agent: F.M. Woodruff,8
Done,1420,A. R. Bodley,1899,11,1,Malacology: Mollusk [Mollusc]. Number of species: 1,"Information from accession book. Taken in with accession #1419, Correspondence in Accesion file and copy in Gifts-1899 [A. King] Verbatim received from agent: A.R. Bodley",1
Done,1430,Mrs. I. H. Hyde,1899,11,1,Malacology: Mollusks [Molluscs]. Number of species: 3,Information from accession book. Verbatim received from agent: Mrs. I.H. Hyde,6
Done,1435,Frank Collins Baker,1899,11,1,Malacology: Mollusks [Molluscs]. Number of species: 42,Information from accession book. Verbatim received from agent: F.C. Baker,712
Done,1436,Frank Collins Baker,1899,11,1,Malacology: Crustaceans . Number of species: 6,Information from accession book. Verbatim received from agent: F.C. Baker,29
Done,1437,Frank Collins Baker,1899,11,1,Malacology: Echinoderms. Number of species: 1,Information from accession book. Verbatim received from agent: F.C. Baker,8
Done,1456,Charles F. Gunther,1900,1,1,Malacology: Corals. Number of species: 10,Information from accession book. Verbatim received from agent: C.F. Gunther,32
Done,1469,Virginius H. Chase,1900,4,1,Malacology: Mollusks [Molluscs]. Number of species: 2,Information from accession book. Correspondence in Accession file and copy in Gifts-1900 [A. King]. Verbatim received from agent: Virginius H. Chase,75
Done,1470,Grace M. Hall,1900,4,1,Malacology: Mollusks [Molluscs]. Number of species: 1,Information from accession book. Verbatim received from agent: Grace M. Hall,10
Done,1474,Frank Collins Baker,1900,5,1,Malacology: Shells. Number of species: 22,Information from accession book. Verbatim received from agent: F.C. Baker,350
Done,1478,unknown,1900,6,1,Malacology: Mollusks [Molluscs].,Information from accession book. Verbatim received from agent: Mr. Chadwick,9
Done,1498,Edward H. Baker,1900,9,1,Malacology: Mollusks [Molluscs].,Information from accession book. Verbatim received from agent: E.H. Baker,29
Done,1500,E. L. Moseley,1900,10,1,Malacology: Shells. Number of species: 25,Information from accession book. Verbatim received from agent: E.L. Moseley,84
Done,1504,E. H. King,1900,10,1,Malacology: Unios. Number of species: 13,Information from accession book. Verbatim received from agent: E.H. King,17
Done,1505,Frank Collins Baker,1900,10,1,Malacology: Mollusks [Molluscs]. Number of species: 30,Information from accession book. Verbatim received from agent: F.C. Baker,200
Done,1524,unknown,1900,11,1,Malacology: Mollusks [Molluscs]. Number of species: 10,Information from accession book. Verbatim received from agent: Mr. Chamberlain,100
Done,1531,,1901,2,1,Malacology: Mollusks [Molluscs].,Purchased. Information from accession book.. Verbatim agency associated with: Wards Natural Science Establishment,6
Done,1542,"California Expedition, Frank M. Woodruff",1901,4,1,Malacology: Corals. Number of species: 1,Information from accession book. Verbatim received from agent: California Expedition. Verbatim agency associated with: Chicago Academy of Sciences,15
Done,1543,"California Expedition, Frank M. Woodruff",1901,4,1,Malacology: Echinoderms. Number of species: 5,Information from accession book. Verbatim received from agent: California Expedition. Verbatim agency associated with: Chicago Academy of Sciences,500
Done,1545,"California Expedition, Frank M. Woodruff",1901,4,1,Malacology: Mollusca. Number of species: 95,Information from accession book. Verbatim received from agent: California Expedition. Verbatim agency associated with: Chicago Academy of Sciences,1000
Done,1568,Charles S. Raddin,1901,5,1,Malacology: Starfishes.,Information from accession book. Verbatim received from agent: Charles S. Raddin,24
Done,1607,,1901,7,1,Malacology: Mollusks [Molluscs]. Number of species: 20,Information from accession book.. Verbatim agency associated with: Field Columbian Mus. Museum,100
Done,1611,W. J. Laurence,1901,7,1,Malacology: Mollusks [Molluscs].,Information from accession book. Verbatim received from agent: Dr. W.J. Laurence,30
