GUID,ACCN,TAXON_NAME,IDENTIFICATION_REMARKS,VERBATIM_DATE,BEGAN_DATE,ENDED_DATE,HIGHER_GEOG,SPEC_LOCALITY,VERBATIM_LOCALITY,COLLECTOR_AGENT_1,COLLECTOR_AGENT_2,PART_LOT_COUNT_1,PART_DISPOSITION_1,Identification 1,Identification 2,Identification 3,Type status (not on Arctos),Reference (not on Arctos),Figured Specimens (not on Arctos)
CHAS:Inv:5081,[CHAS:Mamm]200,Ashmunella pseudodonta,Gastropod.,[no date recorded],1800,2017-07-01,"North America, United States, New Mexico, Lincoln County",White Oaks,"FROM SPECIMEN: White Oaks; FROM ORIGINAL CATALOG BOOK: White Oaks, New Mexico",E. H. Ashmum,,2,in collection,,,,topotype,,
CHAS:Inv:5073,[CHAS:Mamm]200,Ashmunella pseudodonta,Gastropod.,[no date recorded],1800,2017-07-01,"North America, United States, New Mexico",Sierra Blanca Mountains,"FROM SPECIMEN: Sierra Blanca Mountains; FROM ORIGINAL CATALOG BOOK: Sierra Blanca Mts. [Mountains], N. Mex. [New Mexico]",E. H. Ashmum,,1,in collection,Ashmunella pseudodonta capitanensis,,,topotype,,
CHAS:Inv:5077,[CHAS:Mamm]200,Ashmunella rhyssa,Gastropod.,[no date recorded],1800,2017-07-01,"North America, United States, New Mexico",Sierra Blanca Mountains,"FROM SPECIMEN: Sierra Blanca Mountains; FROM ORIGINAL CATALOG BOOK: Sierra Blanca Mts. [Mountains], N. Mex. [New Mexico]",E. H. Ashmum,,2,in collection,Ashmunella rhyssa {Ashmunella rhyssa miorhyssa},,,topotype,,
CHAS:Inv:20786,[CHAS:Mamm]1975,Ashmunella walkeri,Gastropod.,[no date recorded],1800,2017-07-01,"North America, United States, New Mexico, Luna County",Florida Mountains,"FROM SPECIMEN: Florida Mountains; FROM ORIGINAL CATALOG BOOK: Florida Mts. [Mountains], Luna Co., N. [New] Mexico",James H. Ferriss,,2,in collection,,,,topotype,,
CHAS:Inv:17681,[CHAS:Mamm]accession unknown,Astarte castanea,Bivalve.,[no date recorded],1800,2017-07-01,no higher geography recorded,no specific locality recorded,[no locality recorded],unknown,,1,in collection,,,,,,FIGURE. Specimen has glue on both valves.
CHAS:Inv:5810,[CHAS:Mamm]10,Astarte montagui,Striated Astarte.,[no date recorded],1800,2017-07-01,"North America, Greenland",no specific locality recorded,FROM SPECIMEN: Greenland; FROM ORIGINAL CATALOG BOOK: Greenland,unknown,,1,in collection,Astarte striata,,,,"Possibly referred to in Stimpson 1863: 142, from the Arctic Expedition of I.I. Hayes",
CHAS:Inv:17588,[CHAS:Mamm]accession unknown,Dipsastraea pallida,Invertebrate.,[no date recorded],1800,2017-07-01,"Asia, Singapore",no specific locality recorded,FROM SPECIMEN: Singapore; FROM ORIGINAL CATALOG BOOK: Singapore,unknown,,1,in collection,Animalia {Asterea denticulata},Astraea (Fissicella) denticulata,,,,"FIGURE. Star Coral, with polyps expanded. Some of the dome shaped masses of Asterea are twenty feet in diameter"
CHAS:Inv:17723,[CHAS:Mamm]accession unknown,Atrina rigida,Bivalve.,[no date recorded],1800,2017-07-01,no higher geography recorded,no specific locality recorded,[no locality recorded],unknown,,1,in collection,,,,,,FIGURE. Glue residue on one valve. Some chipping on both valves.
CHAS:Inv:17724,[CHAS:Mamm]accession unknown,Atrina serrata,Bivalve.,[no date recorded],1800,2017-07-01,no higher geography recorded,no specific locality recorded,[no locality recorded],unknown,,1,in collection,,,,,,FIGURE. Glue residue on one valve; both valves missing upper 1/3
CHAS:Inv:23094,[CHAS:Mamm]1751,Bulimnea megasoma,Gastropod.,[no date recorded],1800,2017-07-01,"North America, United States, Wisconsin, Douglas County",St. Croix River,FROM SPECIMEN: St. Croix River,S. Graemicher,,1,in collection,Lymnaeidae {Blumula megasoma},,,,,"plate 25, figure 4"
CHAS:Inv:23100,[CHAS:Mamm]accession unknown,Bulimnea megasoma,Gastropod.,[no date recorded],1800,2017-07-01,"North America, United States, Wisconsin, Manetowoc County",Moles Creek between Zero Rivers and 2nd Creeks,FROM SPECIMEN: Moles Creek between Zero Rivers and 2nd Creeks,H. D. Hamelton,,1,in collection,Buliminea {Buliminea megaroma},,,,,"plate 25, figure 5"
CHAS:Inv:23096,[CHAS:Mamm]accession unknown,Bulimnea megasoma,Gastropod.,[no date recorded],1800,2017-07-01,"North America, United States, Minnesota",no specific locality recorded,[transcribed directly into formatted locality fields],unknown,,2,in collection,Buliminea {Buliminea megasoma},,,,,"plate 25, figure 6"
CHAS:Inv:23097,[CHAS:Mamm]accession unknown,Bulimnea megasoma,Gastropod.,[no date recorded],1800,2017-07-01,no higher geography recorded,no specific locality recorded,[no locality recorded],unknown,,1,in collection,Buliminea {Buliminea megasoma},,,,,"plate 18, figure 8, also plate 29, figure 8"
CHAS:Inv:23718,[CHAS:Mamm]accession unknown,Bulimnea {Bulimnea apicina},Gastropod.,[no date recorded],1800,2017-07-01,North America,Lake Superior,FROM SPECIMEN: L. Superior [Lake Superior],unknown,,4,in collection,,,,,,"plate 47, figure 19-22"
CHAS:Inv:23716,[CHAS:Mamm]accession unknown,Bulimnea {Bulimnea binglei},Gastropod.,[no date recorded],1800,2017-07-01,North America,Lake Superior,FROM SPECIMEN: Lake Superior,unknown,,7,in collection,,,,,,"plate 47, figures 11-12, 14-17"
CHAS:Inv:23811,[CHAS:Mamm]accession unknown,Bulimnea {Bulimnea decellata},Gastropod.,[no date recorded],1800,2017-07-01,"North America, United States, Maine, Waldo County",Unity,FROM SPECIMEN: Unity,unknown,,2,in collection,,,,,,"plate 42, figure 26"
CHAS:Inv:23676,[CHAS:Mamm]accession unknown,Ladislavella emarginata,Gastropod.,[no date recorded],1800,2017-07-01,"North America, United States, Michigan, Mackinac County",Mackinac Island,FROM SPECIMEN: Machinac Id.,unknown,,2,in collection,Bulimnea {Bulimnea emarginata},Lymnaea emarginata,,,,plate 41 figures 19-20
CHAS:Inv:23678,[CHAS:Mamm]1294,Ladislavella emarginata,Gastropod.,[no date recorded],1800,2017-07-01,"North America, United States, New York, Cayuga County",Owasco Lake,FROM SPECIMEN: owasco Lake,unknown,,10,in collection,Bulimnea {Bulimnea emarginata},Lymnaea emarginata,,,,"plate 45, figure 2-10"
CHAS:Inv:2017.13.241,[CHAS:Mamm]2017.13,Bulimnea {Bulimnea pribeii},Gastropod.,[no date recorded],1800,2017-07-01,no higher geography recorded,no specific locality recorded,FROM SPECIMEN: Pla la Crone Ailiatabha,Nason Kennicott,,2,in collection,,,,,,"plate 25, figure 7-8"
CHAS:Inv:23760,[CHAS:Mamm]accession unknown,Bulimnea sp.,Gastropod.,[no date recorded],1800,2017-07-01,"North America, United States, Michigan, Charlevoix County","Lake Charlevoix, Oyster Bay",FROM SPECIMEN: Oyster Bay,unknown,,5,in collection,,,,,,"plate 40, figure 17-19"
CHAS:Inv:24615,[CHAS:Mamm]859,Bulimnea sp.,Gastropod.,[no date recorded],1800,2017-07-01,"North America, United States, Pennsylvania, Philadelphia County","Philadelphia, Delaware River",FROM SPECIMEN: Delaware River,unknown,,6,in collection,Lymnaea bulimoides,,,topotype,,
CHAS:Inv:23698,[CHAS:Mamm]accession unknown,Bulimnea sp.,Gastropod.,[no date recorded],1800,2017-07-01,no higher geography recorded,no specific locality recorded,[no locality recorded],unknown,,8,in collection,,,,,,"CHAS number is from section in CHAS catalog book marked reserved for Baker.CHAS Numberone specimen (broken) has been taped into the specimen tray with green tape, indicating that it is a figured specimen (the taping is what damaged the specimen- there is a hole now where there the specimen came in contact with the tape. The other specimens have glue residue. 3 specimens added fromanother vial with same CHAS #"
CHAS:Inv:21112,[CHAS:Mamm]accession unknown,Cancellaria reticulata,Gastropod.,[no date recorded],1800,2017-07-01,no higher geography recorded,no specific locality recorded,[no locality recorded],unknown,,1,in collection,,,,,,"FIGURE. Two specimens missing from card. Only specimen of Cancellaria reticulata is present. Specimen has glue residue, an the body whorl has been cut open to reveal the columella."
CHAS:Inv:17683,[CHAS:Mamm]accession unknown,Cardites floridanus,Bivalve.,[no date recorded],1800,2017-07-01,no higher geography recorded,no specific locality recorded,[no locality recorded],unknown,,1,in collection,Cardita {Cardita floridana},Cardita floridanus,,,,FIGURE. Specimen has glue on both valves.
CHAS:Inv:17728,[CHAS:Mamm]accession unknown,Cardites floridanus,Bivalve.,[no date recorded],1800,2017-07-01,no higher geography recorded,no specific locality recorded,[no locality recorded],unknown,,1,in collection,Cardita {Cardita floridana},Cardita floridanus,,,,FIGURE. Glue residue on specimen
CHAS:Inv:16025,[CHAS:Mamm]accession unknown,Laevicardium mortoni,Bivalve.,[no date recorded],1800,2017-07-01,no higher geography recorded,no specific locality recorded,[no locality recorded],unknown,,1,in collection,Cardium mortoni,,,,,"Figure showing animal of CARDIUM MORTONI Conrad, with foot and siphons extended"
CHAS:Inv:17687,[CHAS:Mamm]accession unknown,Dinocardium robustum,Bivalve.,[no date recorded],1800,2017-07-01,no higher geography recorded,no specific locality recorded,[no locality recorded],unknown,,1,in collection,Cardium robustum,,,,,Figure. Specimen with glue residue on both valves. One valve has labels cardinal and posterior' glued ont.
CHAS:Inv:17716,[CHAS:Mamm]accession unknown,Dinocardium robustum,Bivalve.,[no date recorded],1800,2017-07-01,no higher geography recorded,no specific locality recorded,[no locality recorded],unknown,,1,in collection,Cardium robustum,,,,,FIGURE.Glue residue on one valve
CHAS:Inv:22076,[CHAS:Mamm]2746,Carychium nannodes,Gastropod.,[no date recorded],1800,2017-07-01,"North America, United States, Alabama, Madison County","Huntsville, Monte Sano Mountain","FROM SPECIMEN: Monte Sano, near Huntsville, Ala; FROM ORIGINAL CATALOG BOOK: Monte Sano, near Huntsville, Ala. [Alabama]",T. H. Aldrich,,6,in collection,,,,cotype,Publication: The Nautilus: Volume 19 (May 1905) pg. 91,T.H. Aldrich (Exchange). plate 3 Figs. 7-9
CHAS:Inv:22158,[CHAS:Mamm]2495,Cecilioides {Cecilioides jod},Gastropod.,[no date recorded],1800,2017-07-01,"North America, Mexico, Tamaulipas",Tampico,"FROM SPECIMEN: Tampico; FROM ORIGINAL CATALOG BOOK: Tampico, Mexico",A. A. Hinkley,,22,in collection,,,,paratype / from type lot,"From type lot. In drift. Nautilus XXI p. 28, 1907",
CHAS:Inv:20080,[CHAS:Mamm]1973,Cerithium {Cerithium albocoopertum},Gastropod.,[no date recorded],1800,2017-07-01,"West Indies, United Kingdom, Bermuda, Bermuda",no specific locality recorded,FROM SPECIMEN: Bermuda; FROM ORIGINAL CATALOG BOOK: Bermuda,unknown,,4,in collection,,,,cotype,"Publication: The Nautilus: Volume 17 (May 1903) pg. 129-130, ","C.Abbot Davis (exchange) plate IV, Figs. 32, 33"
CHAS:Inv:17725,[CHAS:Mamm]accession unknown,Arcinella arcinella,Bivalve.,[no date recorded],1800,2017-07-01,no higher geography recorded,no specific locality recorded,[no locality recorded],unknown,,1,in collection,Chama arcinella,,,,,FIGURE. Red sealing wax residue on specimen; specimen glued shut
CHAS:Inv:17675,[CHAS:Mamm]accession unknown,Chlamys {Chlamys irradians},Bivalve.,[no date recorded],1800,2017-07-01,no higher geography recorded,no specific locality recorded,[no locality recorded],unknown,,1,in collection,,,,,,FIGURE.one valve of specimen has printed labels with 1 on them glued to the auricular crura. Glue residue on both valve.
CHAS:Inv:18340.20,[CHAS:Mamm]accession unknown,Chlorostoma sp.,Gastropod.,[no date recorded],1800,2017-07-01,no higher geography recorded,no specific locality recorded,[no locality recorded],unknown,,1,in collection,,,,,,FIGURE. See also 18340. Top part of label ripped off- text for numbers x- 20 missing. # 26
CHAS:Inv:2017.13.432,[CHAS:Mamm]2017.13,Circinaria {Circinaria concava},Gastropod.,[no date recorded],1800,2017-07-01,"North America, United States, Illinois, Cook County","Chicago, Bowmanville",[transcribed directly into formatted locality fields],unknown,,2,in collection,,,,,,"No CHAS number; X.18.03 on original tag, not sure if this is a date or reference to figure"
CHAS:Inv:21014,[CHAS:Mamm]2262,Clappia umbilicata,Gastropod.,[1904],1904-01-01,1904-12-31,"North America, United States, Alabama, Elmore County",Wetumpka,"FROM SPECIMEN: Wetumpka; FROM ORIGINAL CATALOG BOOK: Wetumpka, Alabama",unknown,,2,in collection,Clappia {Clappia umbilicatus},Hydrobiidae {S. umbilicatus},,topotype,,
CHAS:Inv:18342,[CHAS:Mamm]accession unknown,Crepidula fornicata,Gastropod.,[no date recorded],1800,2017-07-01,no higher geography recorded,no specific locality recorded,[no locality recorded],unknown,,1,in collection,,,,,,FIGURE (in original catalog). Larger oyster has red sealing wax on bottom valve.
CHAS:Inv:18343,[CHAS:Mamm]accession unknown,Crepidula plana,Gastropod.,[no date recorded],1800,2017-07-01,no higher geography recorded,no specific locality recorded,[no locality recorded],unknown,,3,in collection,,,,,,"FIGURE (in original catalog). Three C. plana specimens, no longer attached to each other. Glue residue on all three."
CHAS:Inv:20275,[CHAS:Mamm]1996,Margaritifera monodonta,Freshwater Mussel.,"""July, 1904""",1904-07-01,1904-07-31,"North America, United States, Iowa, Clayton County","McGregor, Mississippi River","FROM SPECIMEN: Mississippi River; FROM ORIGINAL CATALOG BOOK: McGregor, Iowa",Chicago Academy of Sciences,,2,in collection,Cumberlandia monodonta,Margaritana sp.,,,,plate88 fig.1; plate88 fig.2
CHAS:Inv:18340.23,[CHAS:Mamm]accession unknown,Cyclotus sp.,Gastropod.,[no date recorded],1800,2017-07-01,no higher geography recorded,no specific locality recorded,[no locality recorded],unknown,,1,in collection,,,,,,FIGURE. See also 18340
CHAS:Inv:17682,[CHAS:Mamm]accession unknown,Corbicula sp.,Bivalve.,[no date recorded],1800,2017-07-01,no higher geography recorded,no specific locality recorded,[no locality recorded],unknown,,1,in collection,Cyrena {Cyrena carolinensis},,,,,FIGURE. Specimen has glue on both valves. Both valves have labels with c' and L on them
CHAS:Inv:5987,[CHAS:Mamm]20,Dosinia discus,Bivalve.,1877,1877-01-01,1877-12-31,"North America, United States, Florida",no specific locality recorded,FROM ORIGINAL CATALOG BOOK: Florida,unknown,,1,in collection,,,,,,FIGURE. Glue residue on both valves. One valve is labeled with nympha and the other has 1 and 2 on it.
CHAS:Inv:2017.13.651,[CHAS:Mamm]2017.13,Dosinia sp.,Bivalve.,[no date recorded],1800,2017-07-01,no higher geography recorded,no specific locality recorded,[no locality recorded],unknown,,1,in collection,,,,,,Specimen has label D. Muscle scar is outlined. Does not correspond to any labels for figures in this drawer
CHAS:Inv:2017.13.712,[CHAS:Mamm]2017.13,Elliptio sp.,Bivalve.,[no date recorded],1800,2017-07-01,no higher geography recorded,no specific locality recorded,[no locality recorded],unknown,,1,in collection,,,,,,specimen has two pearly masses (both numbered)- specimen probably has a CHAS number or a figure number.
CHAS:Inv:21993,[CHAS:Mamm]2749,Euchemotrema {Euchemotrema monodon alicia},Gastropod.,[no date recorded],1800,2017-07-01,"North America, United States, Alabama, Perry County",Marion,"FROM SPECIMEN: Marion; FROM ORIGINAL CATALOG BOOK: Marion, Alabama",Herbert Smith,,2,in collection,Polygyra {Polygyra monodon aliciae},,,cotype (paratype),Publication: The Nautilus: Volume 11 (May 1897) pg. 105,T.H. Aldrich (Exchange)
CHAS:Inv:2017.13.746,[CHAS:Mamm]2017.13,Spongia sp.,Invertebrate.,[no date recorded],1800,2017-07-01,no higher geography recorded,no specific locality recorded,[no locality recorded],unknown,,1,in collection,Euspongia sp.,,,,,FIGURE. Both pieces have little labels glued on.
CHAS:Inv:18340.22,[CHAS:Mamm]accession unknown,Fasciolaria sp.,Gastropod.,[no date recorded],1800,2017-07-01,no higher geography recorded,no specific locality recorded,[no locality recorded],unknown,,1,in collection,,,,,,FIGURE. See also 18340
CHAS:Inv:23973,[CHAS:Mamm]accession unknown,Fossaria exigua,Gastropod.,[no date recorded],1800,2017-07-01,"North America, United States, Iowa, Polk County","Des Moines, above dam, pond No. 3","FROM SPECIMEN: Pond no. 3 above dam, DesMoines",unknown,,3,in collection,,,,,,"plate 32, figure 10-12"
CHAS:Inv:23311,[CHAS:Mamm]accession unknown,Fossaria galbana,Gastropod.,[no date recorded],1800,2017-07-01,"North America, United States, New Jersey, Bergen County","Waldwick, White's Pond",FROM SPECIMEN: White Pond,unknown,,3,in collection,,,,,,"plate 32, figure 25-27"
CHAS:Inv:23313,[CHAS:Mamm]accession unknown,Fossaria galbana,Gastropod.,[no date recorded],1800,2017-07-01,"North America, United States",Unity Island,FROM SPECIMEN: Squaw Id.,unknown,,9,in collection,,,,,,"plate 32, figure 28-36"
CHAS:Inv:23201,[CHAS:Mamm]accession unknown,Galba obrussa,Gastropod.,[no date recorded],1800,2017-07-01,"North America, United States, Colorado, Boulder County",Boulder,FROM SPECIMEN: Boulder,unknown,,1,in collection,Fossaria obrussa,,,,,"plate 31, figure 33"
CHAS:Inv:23197,[CHAS:Mamm]accession unknown,Galba obrussa,Gastropod.,[no date recorded],1800,2017-07-01,"North America, United States, Illinois, Will County",Joliet,FROM SPECIMEN: Joliet,unknown,,6,in collection,Fossaria obrussa,,,,,"plate 31, figure 26-31"
CHAS:Inv:23967,[CHAS:Mamm]783,Galba obrussa,Gastropod.,[no date recorded],1800,2017-07-01,"North America, United States, Illinois, Cook County",Lamont,FROM SPECIMEN: Lemont,unknown,,8,in collection,Fossaria obrussa,,,,,"plate 31, figure 20-24"
CHAS:Inv:24633,[CHAS:Mamm]2767,Galba obrussa,Gastropod.,[no date recorded],1800,2017-07-01,"North America, United States, Pennsylvania, Lehigh County",Bethlehem,FROM SPECIMEN: Bethlehem,unknown,,4,in collection,Fossaria obrussa,,,,,"palte 26, figures 8-10"
CHAS:Inv:24630,[CHAS:Mamm]2767,Galba obrussa,Gastropod.,[no date recorded],1800,2017-07-01,"North America, United States, Pennsylvania, Lebanon County",Lebanon,FROM SPECIMEN: Lebanon,unknown,,2,in collection,Fossaria obrussa,,,,,"plate 26, figure 11-13"
CHAS:Inv:23293,[CHAS:Mamm]1032,Fossaria {Fossaria plica},Gastropod.,[no date recorded],1800,2017-07-01,"North America, United States, Maine, Aroostook County",no specific locality recorded,[transcribed directly into formatted locality fields],unknown,,5,in collection,,,,,,"plate 32, figure 7-9"
CHAS:Inv:2017.13.797,[CHAS:Mamm]2017.13,Fusconaia lananensis,Bivalve.,[no date recorded],1800,2017-07-01,"North America, United States, Texas, Nacogdoches County","Nacogdoches, Lanana Creek","FROM SPECIMEN: Lanana Creek, Nacogdoches",unknown,,1,in collection,,,,cotype,"No published records specific to this specimen. The holotype record, however, references the same locality information that is on the specimen label. Publication and plate for holotype is in The Nautilus, Volume XV (November 1901), No. 7, pages 75-76 and Plate IV",
CHAS:Inv:24506,[CHAS:Mamm]accession unknown,Galba {Galba axis obrussa},Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,no higher geography recorded,no specific locality recorded,[no locality recorded],unknown,,1,in collection,,,,,,"plate 18, figure 2"
CHAS:Inv:23330,[CHAS:Mamm]accession unknown,Galba {Galba bryanti},Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,"North America, United States, California, Alameda County",no specific locality recorded,[transcribed directly into formatted locality fields],unknown,,1,in collection,,,,cotype,"Publication: The Lymnaeidae of North and Middle America, recent and fossil, by Frank Collins Baker (Chicago Academy of Sciences, special publication no. 3), pg. 211","plate XXVII, Fig. 20 "
CHAS:Inv:23945,[CHAS:Mamm]2761,Galba bulimoides {Galba bulimoides cockerelli},Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,"North America, United States, California, Ventura County",Bardsdale,FROM SPECIMEN: Bardsdale,Stillman S. Berry,,4,in collection,,,,,,"plate 28, figure 6-7"
CHAS:Inv:23946.1,[CHAS:Mamm]2761,Galba bulimoides {Galba bulimoides techella},Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,"North America, United States, California, Ventura County",Bardsdale,FROM SPECIMEN: Barnsdale,Stillman S. Berry,,1,in collection,,,,,,"plate 27, figure 31"
CHAS:Inv:24509,[CHAS:Mamm]accession unknown,Galba bulimoides {Galba bulimoides techella},Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,"North America, United States, California, Los Angeles County","Long Beach, Bixby Knolls",FROM SPECIMEN: Bixby,Harold Hannibal,,1,in collection,,,,,,"plate 27, figure 30"
CHAS:Inv:23948.2,[CHAS:Mamm]2698,Galba bulimoides {Galba bulimoides cassi},Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,"North America, United States, California, Monterey County","Pacific Grove, Rose Canyon","FROM SPECIMEN: Rose Canyon, Near Pacific grove",unknown,,6,in collection,,,,syntype,,"plate 28, figs. 9-11"
CHAS:Inv:24536,[CHAS:Mamm]accession unknown,Galba bulimoides,Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,"North America, United States, California, Santa Clara County",Menton Ranch,FROM SPECIMEN: Menton Ranch,Harold Hannibal,,6,in collection,,,,,,"plate 27, figure 21-24"
CHAS:Inv:24567,[CHAS:Mamm]accession unknown,Galba bulimoides,Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,"North America, United States, California",Pajas Valley,FROM SPECIMEN: Pajas Valley,Stillman S. Berry,,1,in collection,,,,,,"plate 27, figure 29"
CHAS:Inv:23325,[CHAS:Mamm]accession unknown,Galba bulimoides {Galba bulimoides cockerelli},Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,"North America, United States, Nebraska, Keith County",Ogalalla,FROM SPECIMEN: Ogalalla,James H. Ferriss,,1,in collection,,,,,,"plate 28, figur3 4"
CHAS:Inv:23222,[CHAS:Mamm]accession unknown,Galba bulimoides {Galba bulimoides leconteii},Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,"North America, United States, New Mexico, Bernalillo County",Albuquerque,FROM SPECIMEN: Albuquerque,unknown,,1,in collection,,,,,,"plate 28, figure 8"
CHAS:Inv:23328,[CHAS:Mamm]accession unknown,Galba bulimoides {Galba bulimoides cockerelli},Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,"North America, United States, New Mexico",Chaco Canyon,FROM SPECIMEN: Chaco Canyon,George N. Clapp,,1,in collection,,,,,,"plate 28, figure 5"
CHAS:Inv:23948.1,[CHAS:Mamm]2698,Galba bulimoides {Galba bulimoides cassi},Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,no higher geography recorded,no specific locality recorded,[no locality recorded],unknown,,1,in collection,,,,lectotype,,
CHAS:Inv:24704,[CHAS:Mamm]accession unknown,Galba {Galba caperata},Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,"North America, Canada, Yukon Territory","Marsh Lake, near Dyea Valley","FROM SPECIMEN: Marsh Lake, Yukon Terr. / Brit. Am?",unknown,,2,in collection,,,,,,"plate 29, figure 1-2"
CHAS:Inv:23866,[CHAS:Mamm]accession unknown,Galba {Galba caperata},Freshwater Pond Snail.,[no date recorded],1800,2017-07-01,"North America, Canada, Manitoba",Emerson,FROM SPECIMEN: Emerson,unknown,,2,in collection,,,,,,"plate 28, fgure 26-27"
