GUID_PREFIX,ACCN_NUMBER,TRANS_AGENT_1,TRANS_AGENT_ROLE_1
CHAS:Mamm,2815,Frank Morley Woodruff,received from
CHAS:Mamm,2816,Frank Morley Woodruff,received from
CHAS:Mamm,2818,Frank Morley Woodruff,received from
CHAS:Mamm,2819,Frank Morley Woodruff,received from
CHAS:Mamm,2820,Frank Morley Woodruff,received from
CHAS:Mamm,2832,Frank Morley Woodruff,received from
CHAS:Mamm,2836,Frank Morley Woodruff,received from
CHAS:Mamm,2840,Frank Morley Woodruff,received from
CHAS:Mamm,2845,Frank Morley Woodruff,received from
CHAS:Mamm,2846,Frank Morley Woodruff,received from
CHAS:Mamm,2848,Frank Morley Woodruff,received from
CHAS:Mamm,2851,Frank Morley Woodruff,received from
CHAS:Mamm,2899,Frank Morley Woodruff,received from
CHAS:Mamm,2901,Frank Morley Woodruff,received from
CHAS:Mamm,2902,Frank Morley Woodruff,received from
CHAS:Mamm,2905,Frank Morley Woodruff,received from
CHAS:Mamm,2907,Frank Morley Woodruff,received from
CHAS:Mamm,2910,Frank Morley Woodruff,received from
CHAS:Mamm,2912,Frank Morley Woodruff,received from
CHAS:Mamm,2916,Frank Morley Woodruff,received from
CHAS:Mamm,2917,Frank Morley Woodruff,received from
CHAS:Mamm,2918,Frank Morley Woodruff,received from
CHAS:Mamm,2919,Frank Morley Woodruff,received from
CHAS:Mamm,2920,Frank Morley Woodruff,received from
CHAS:Mamm,2926,Frank Morley Woodruff,received from
CHAS:Mamm,2928,Frank Morley Woodruff,received from
CHAS:Mamm,2929,Frank Morley Woodruff,received from
CHAS:Mamm,2930,Frank Morley Woodruff,received from
CHAS:Mamm,2931,Frank Morley Woodruff,received from
CHAS:Mamm,2932,Frank Morley Woodruff,received from
CHAS:Mamm,2933,Frank Morley Woodruff,received from
CHAS:Mamm,2935,Frank Morley Woodruff,received from
CHAS:Mamm,2936,Frank Morley Woodruff,received from
CHAS:Mamm,2937,Frank Morley Woodruff,received from
CHAS:Mamm,2938,Frank Morley Woodruff,received from
CHAS:Mamm,2939,Frank Morley Woodruff,received from
CHAS:Mamm,2940,Frank Morley Woodruff,received from
CHAS:Mamm,2941,Frank Morley Woodruff,received from
CHAS:Mamm,2942,Frank Morley Woodruff,received from
CHAS:Mamm,2975,Frank Morley Woodruff,received from
CHAS:Mamm,2977,Frank Morley Woodruff,received from
CHAS:Mamm,2978,Frank Morley Woodruff,received from
CHAS:Mamm,2981,Frank Morley Woodruff,received from
CHAS:Mamm,2982,Frank Morley Woodruff,received from
CHAS:Mamm,2983,Frank Morley Woodruff,received from
CHAS:Mamm,2984,Frank Morley Woodruff,received from
CHAS:Mamm,2985,Frank Morley Woodruff,received from
CHAS:Mamm,2986,Frank Morley Woodruff,received from
CHAS:Mamm,2987,Frank Morley Woodruff,received from
CHAS:Mamm,2992,Frank Morley Woodruff,received from
CHAS:Mamm,2993,Frank Morley Woodruff,received from
CHAS:Mamm,2994,Frank Morley Woodruff,received from
CHAS:Mamm,2995,Frank Morley Woodruff,received from
CHAS:Mamm,3002,Frank Morley Woodruff,received from
CHAS:Mamm,3003,Frank Morley Woodruff,received from
CHAS:Mamm,3004,Frank Morley Woodruff,received from
CHAS:Mamm,3008,Frank Morley Woodruff,received from
CHAS:Mamm,3011,Frank Morley Woodruff,received from
CHAS:Mamm,3019,Frank Morley Woodruff,received from
CHAS:Mamm,3020,Frank Morley Woodruff,received from
CHAS:Mamm,3021,Frank Morley Woodruff,received from
CHAS:Mamm,3037,Frank Morley Woodruff,received from
CHAS:Mamm,3041,Frank Morley Woodruff,received from
CHAS:Mamm,3074,Frank Morley Woodruff,received from
CHAS:Mamm,3083,Frank Morley Woodruff,received from
CHAS:Mamm,3084,Frank Morley Woodruff,received from
CHAS:Mamm,3085,Frank Morley Woodruff,received from
CHAS:Mamm,3105,Frank Morley Woodruff,received from
CHAS:Mamm,3106,Frank Morley Woodruff,received from
CHAS:Mamm,3112,Frank Morley Woodruff,received from
CHAS:Mamm,3114,Frank Morley Woodruff,received from
CHAS:Mamm,3115,Frank Morley Woodruff,received from
CHAS:Mamm,3127,Frank Morley Woodruff,received from
CHAS:Mamm,3128,Frank Morley Woodruff,received from
CHAS:Mamm,3130,Frank Morley Woodruff,received from
CHAS:Mamm,3138,Frank Morley Woodruff,received from
CHAS:Mamm,3141,Frank Morley Woodruff,received from
CHAS:Mamm,3142,Frank Morley Woodruff,received from
CHAS:Mamm,3144,Frank Morley Woodruff,received from
CHAS:Mamm,3145,Frank Morley Woodruff,received from
CHAS:Mamm,3148,Frank Morley Woodruff,received from
CHAS:Mamm,3149,Frank Morley Woodruff,received from
CHAS:Mamm,3150,Frank Morley Woodruff,received from
CHAS:Mamm,3151,Frank Morley Woodruff,received from
CHAS:Mamm,3152,Frank Morley Woodruff,received from
CHAS:Mamm,3153,Frank Morley Woodruff,received from
CHAS:Mamm,3155,Frank Morley Woodruff,received from
CHAS:Mamm,3156,Frank Morley Woodruff,received from
CHAS:Mamm,3157,Frank Morley Woodruff,received from
CHAS:Mamm,3164,Frank Morley Woodruff,received from
CHAS:Mamm,3168,Frank Morley Woodruff,received from
CHAS:Mamm,3177,Frank Morley Woodruff,received from
CHAS:Mamm,3178,Frank Morley Woodruff,received from
CHAS:Mamm,3179,Frank Morley Woodruff,received from
CHAS:Mamm,3183,Frank Morley Woodruff,received from
CHAS:Mamm,3190,Frank Morley Woodruff,received from
CHAS:Mamm,3206,Frank Morley Woodruff,received from
CHAS:Mamm,3208,Frank Morley Woodruff,received from
CHAS:Mamm,3213,Frank Morley Woodruff,received from
CHAS:Mamm,3214,Frank Morley Woodruff,received from
CHAS:Mamm,3327,Frank Morley Woodruff,received from
CHAS:Mamm,3328,Frank Morley Woodruff,received from
CHAS:Mamm,3332,Frank Morley Woodruff,received from
CHAS:Mamm,3260,Frank Morley Woodruff,received from
CHAS:Mamm,3261,Frank Morley Woodruff,received from
CHAS:Mamm,3315,Frank Morley Woodruff,received from
CHAS:Mamm,3337,Frank Morley Woodruff,received from
CHAS:Mamm,3500,Frank Morley Woodruff,received from
CHAS:Mamm,3449,Frank Morley Woodruff,received from
CHAS:Mamm,3450,Frank Morley Woodruff,received from
CHAS:Mamm,3453,Frank Morley Woodruff,received from
CHAS:Mamm,3454,Frank Morley Woodruff,received from
CHAS:Mamm,3455,Frank Morley Woodruff,received from
CHAS:Mamm,3456,Frank Morley Woodruff,received from
CHAS:Mamm,3461,Frank Morley Woodruff,received from
CHAS:Mamm,3462,Frank Morley Woodruff,received from
CHAS:Mamm,3463,Frank Morley Woodruff,received from
CHAS:Mamm,3464,Frank Morley Woodruff,received from
CHAS:Mamm,3465,Frank Morley Woodruff,received from
CHAS:Mamm,3466,Frank Morley Woodruff,received from
CHAS:Mamm,3467,Frank Morley Woodruff,received from
CHAS:Mamm,3561,Frank Morley Woodruff,received from
CHAS:Mamm,3562,Frank Morley Woodruff,received from
CHAS:Mamm,3563,Frank Morley Woodruff,received from
CHAS:Mamm,3564,Frank Morley Woodruff,received from
CHAS:Mamm,3565,Frank Morley Woodruff,received from
CHAS:Mamm,3566,Frank Morley Woodruff,received from
CHAS:Mamm,3567,Frank Morley Woodruff,received from
CHAS:Mamm,3570,Frank Morley Woodruff,received from
CHAS:Mamm,3571,Frank Morley Woodruff,received from
CHAS:Mamm,3572,Frank Morley Woodruff,received from
CHAS:Mamm,3573,Frank Morley Woodruff,received from
CHAS:Mamm,3574,Frank Morley Woodruff,received from
CHAS:Mamm,3575,Frank Morley Woodruff,received from
CHAS:Mamm,3576,Frank Morley Woodruff,received from
CHAS:Mamm,3577,Frank Morley Woodruff,received from
CHAS:Mamm,3578,Frank Morley Woodruff,received from
CHAS:Mamm,3579,Frank Morley Woodruff,received from
CHAS:Mamm,3580,Frank Morley Woodruff,received from
CHAS:Mamm,3581,Frank Morley Woodruff,received from
CHAS:Mamm,3582,Frank Morley Woodruff,received from
CHAS:Mamm,3583,Frank Morley Woodruff,received from
CHAS:Mamm,3584,Frank Morley Woodruff,received from
CHAS:Mamm,3585,Frank Morley Woodruff,received from
CHAS:Mamm,3586,Frank Morley Woodruff,received from
CHAS:Mamm,3587,Frank Morley Woodruff,received from
CHAS:Mamm,3588,Frank Morley Woodruff,received from
CHAS:Mamm,3589,Frank Morley Woodruff,received from
CHAS:Mamm,3590,Frank Morley Woodruff,received from
CHAS:Mamm,3591,Frank Morley Woodruff,received from
CHAS:Mamm,3592,Frank Morley Woodruff,received from
CHAS:Mamm,3593,Frank Morley Woodruff,received from
CHAS:Mamm,3594,Frank Morley Woodruff,received from
CHAS:Mamm,3595,Frank Morley Woodruff,received from
CHAS:Mamm,3596,Frank Morley Woodruff,received from
CHAS:Mamm,3597,Frank Morley Woodruff,received from
CHAS:Mamm,3598,Frank Morley Woodruff,received from
CHAS:Mamm,3599,Frank Morley Woodruff,received from
CHAS:Mamm,3600,Frank Morley Woodruff,received from
CHAS:Mamm,3601,Frank Morley Woodruff,received from
CHAS:Mamm,3602,Frank Morley Woodruff,received from
CHAS:Mamm,3603,Frank Morley Woodruff,received from
CHAS:Mamm,3604,Frank Morley Woodruff,received from
CHAS:Mamm,3605,Frank Morley Woodruff,received from
CHAS:Mamm,3606,Frank Morley Woodruff,received from
CHAS:Mamm,3607,Frank Morley Woodruff,received from
CHAS:Mamm,3608,Frank Morley Woodruff,received from
CHAS:Mamm,3609,Frank Morley Woodruff,received from
CHAS:Mamm,3610,Frank Morley Woodruff,received from
CHAS:Mamm,3611,Frank Morley Woodruff,received from
CHAS:Mamm,3612,Frank Morley Woodruff,received from
CHAS:Mamm,3613,Frank Morley Woodruff,received from
CHAS:Mamm,2014.3,Frank Morley Woodruff,received from
CHAS:Mamm,3522,Frank S. Wright,received from
CHAS:Mamm,4202,Franklin O. Wyatt,received from
CHAS:Mamm,2849,G. A. Abbott,received from
CHAS:Mamm,4045,G. D. Smooker,received from
CHAS:Mamm,4046,G. D. Smooker,received from
CHAS:Mamm,1986.2,Gardner Larned,received from
CHAS:Mamm,4356a,George B. Badger,received from
CHAS:Mamm,2735,H. H. Kimball,received from
CHAS:Mamm,4827,Harrold Gregory,received from
CHAS:Mamm,5380,Hazel Sorenson,received from
CHAS:Mamm,2749,Herbert H. Smith,received from
CHAS:Mamm,3311,Herbert Hahn,received from
CHAS:Mamm,3312,Herbert Hahn,received from
CHAS:Mamm,3313,Herbert Hahn,received from
CHAS:Mamm,3314,Herbert Hahn,received from
CHAS:Mamm,3322,Herbert Hahn,received from
CHAS:Mamm,4953,Howard K. Gloyd,received from
