COLLECTION_OBJECT_ID,ENTEREDBY,CAT_NUM,OTHER_ID_NUM_1,OTHER_ID_NUM_TYPE_1,OTHER_ID_REFERENCES_1,ACCN,TAXON_NAME,NATURE_OF_ID,ID_MADE_BY_AGENT,MADE_DATE,IDENTIFICATION_REMARKS,VERBATIM_DATE,BEGAN_DATE,ENDED_DATE,HIGHER_GEOG,SPEC_LOCALITY,VERBATIM_LOCALITY,EVENT_ASSIGNED_BY_AGENT,EVENT_ASSIGNED_DATE,VERIFICATIONSTATUS,COLLECTOR_AGENT_1,COLLECTOR_ROLE_1,GUID_PREFIX,COLL_OBJECT_REMARKS,OTHER_ID_NUM_2,OTHER_ID_NUM_TYPE_2,OTHER_ID_REFERENCES_2,OTHER_ID_NUM_3,OTHER_ID_NUM_TYPE_3,OTHER_ID_REFERENCES_3,PART_NAME_1,PART_CONDITION_1,PART_LOT_COUNT_1,PART_DISPOSITION_1,part_loc_1,PART_REMARK_1,ATTRIBUTE_1,ATTRIBUTE_VALUE_1,ATTRIBUTE_DETERMINER_1,ATTRIBUTE_DATE_1,ATTRIBUTE_2,ATTRIBUTE_VALUE_2,ATTRIBUTE_REMARKS_2,ATTRIBUTE_DETERMINER_2,ATTRIBUTE_DATE_2,ATTRIBUTE_3,ATTRIBUTE_VALUE_3,ATTRIBUTE_DETERMINER_3,ATTRIBUTE_DATE_3,ATTRIBUTE_4,ATTRIBUTE_VALUE_4,ATTRIBUTE_DETERMINER_4,ATTRIBUTE_DATE_4,ATTRIBUTE_5,ATTRIBUTE_VALUE_5,ATTRIBUTE_DETERMINER_5,ATTRIBUTE_DATE_5,ATTRIBUTE_6,ATTRIBUTE_VALUE_6,ATTRIBUTE_DETERMINER_6,ATTRIBUTE_DATE_6,SPECIMEN_EVENT_REMARK,SPECIMEN_EVENT_TYPE
1318,ekrimmel,11592,,,,[CHAS:Mamm]1877.20,"unidentifiable {Sherd, ceramic}",legacy,unknown,,Ceramic sherd.,"[no date recorded, date range based on accession year]",1800,1878-12-31,"North America, United States, Florida, Levy County",Cedar Keys,"Cedar Keys, Fla [Florida]",Dawn R. Roberts,2018-01-12,unverified,William Wirt Calkins,collector,CHAS:EH,DATA HISTORY: Information transcribed from original catalogue book.,,,,,,,object,unchecked,4,missing,,,,,,,,,,,,description,"Anthropology: From original catalogue book: Fabris-marked pottery, In shell mound.",Dawn R. Roberts,2018,materials,ceramic,Dawn R. Roberts,2018,,,,,,,,,In shell mound.,place of use
1319,ekrimmel,11593,,,,[CHAS:Mamm]1877.20,"unidentifiable {Sherd, ceramic}",legacy,unknown,,Ceramic sherd.,"[no date recorded, date range based on accession year]",1800,1878-12-31,"North America, United States, Florida, Levy County",Cedar Keys,"Cedar Keys, Fla [Florida]",Dawn R. Roberts,2018-01-12,unverified,William Wirt Calkins,collector,CHAS:EH,DATA HISTORY: Information transcribed from original catalogue book.,,,,,,,object,unchecked,7,missing,,,,,,,,,,,,description,"Anthropology: From original catalogue book: Broken pottery , In shell mound.",Dawn R. Roberts,2018,materials,ceramic,Dawn R. Roberts,2018,,,,,,,,,In shell mound.,place of use
1320,ekrimmel,11594,,,,[CHAS:Mamm]1877.20,"unidentifiable {Sherd, ceramic}",legacy,unknown,,Ceramic sherd.,"[no date recorded, date range based on accession year]",1800,1878-12-31,"North America, United States, Florida, Levy County",Cedar Key,Cedar Key,Dawn R. Roberts,2018-01-12,unverified,William Wirt Calkins,collector,CHAS:EH,DATA HISTORY: Information transcribed from original catalogue book.,,,,,,,object,unchecked,7,missing,,,,,,,,,,,,description,"Anthropology: From original catalogue book: Broken pottery , In shell mound.",Dawn R. Roberts,2018,materials,ceramic,Dawn R. Roberts,2018,,,,,,,,,In shell mound.,place of use
1028,ekrimmel,1877.20.1,,,,[CHAS:Mamm]1877.20,"unidentifiable {Fragment, bone}",student,Sam Howes,2016-02-16,Bone fragment.,[transcribed directly into formatted date fields],1877-04-04,1877-04-04,"North America, United States, Florida, Levy County",Cedar Key,Cedar Keys,Dawn R. Roberts,2018-01-12,unverified,William Wirt Calkins,collector,CHAS:EH,DATA HISTORY: Inventory catalogued/verified by Britt McNamara (2008-2009 Inventory). Record last updated in Excel (prior to Arctos migration) by Britt McNamara (2010-02-22).,,,,,,,object,Good.,1,in collection,RVWD: 302: Anth Cab 01: B,,verbatim collector,W.W. Calkins,Erica Krimmel,2016-03-22,,,,,,description,Anthropology: bone fragments-species unknown; context unknown.,Sam Howes,2016,materials,"organic, bone",Sam Howes,2016,,,,,,,,,,place of use
1030,ekrimmel,1877.20.2,,,,[CHAS:Mamm]1877.20,"unidentifiable {Debitage, flake}",student,Sam Howes,2016-02-16,"Debitage, flake.",[transcribed directly into formatted date fields],1877-04-04,1877-04-04,"North America, United States, Florida, Levy County",Cedar Key,Cedar Keys,Dawn R. Roberts,2018-01-12,unverified,William Wirt Calkins,collector,CHAS:EH,DATA HISTORY: Inventory catalogued/verified by Britt McNamara (2008-2009 Inventory). Record last updated in Excel (prior to Arctos migration) by Britt McNamara (2010-02-22).,,,,,,,object,Good.,19,in collection,RVWD: 302: Anth Cab 01: B,,verbatim collector,W.W. Calkins,Erica Krimmel,2016-03-22,,,,,,description,"Anthropology: debitage-utilized flakes; scrapers and incomplete points largely made from a creamy tan chert.  It is white, gray, and red jasper.",Sam Howes,2016,materials,"stone, sedimentary, chert",Sam Howes,2016,,,,,,,,,,place of use
1302,ekrimmel,10972,,,,[CHAS:Mamm]1877.55,"unidentifiable {Debitage, flake}",legacy,unknown,,"Debitage, flake.","[no date recorded, date range based on accession year]",1800,1875-12-31,"Europe, Iceland",Ringsted,"Ringsted, Iceland",Dawn R. Roberts,2018-01-12,unverified,unknown,collector,CHAS:EH,DATA HISTORY: Information transcribed from original catalogue book.,,,,,,,object,unchecked,6,missing,,,,,,,,,,,,description,"Anthropology: From original catalogue book: Flint flake, in Mound.",Dawn R. Roberts,2018,materials,"stone, flint",Dawn R. Roberts,2018,,,,,,,,,,place of use
1305,ekrimmel,10992,,,,[CHAS:Mamm]1878.17,"unidentifiable {Projectile point, stone}",legacy,unknown,,Arrowhead.,"[no date recorded, date range based on accession year]",1800,1879-12-31,"North America, United States, Illinois, Will County",Lockport,"Lockport, Ill [Illinois]",Dawn R. Roberts,2018-01-12,unverified,unknown,collector,CHAS:EH,DATA HISTORY: Information transcribed from original catalogue book.,,,,,,,object,unchecked,2,missing,,,,,,,,,,,,description,Anthropology: From original catalogue book: Chipped Arrow Points.,Dawn R. Roberts,2018,,,,,,,,,,,,,,place of use
1182,ekrimmel,11005,,,,[CHAS:Mamm]1878.17,unidentifiable {Spear},student,Sam Howes,2016-02-16,Spear.,"[no date recorded, date range based on accession year]",1800,1879-12-31,"North America, United States, Illinois, Will County",Lockport,"Lockport, Ill [Illinois]",Dawn R. Roberts,2018-01-12,unverified,unknown,collector,CHAS:EH,DATA HISTORY: Information transcribed from original catalogue book. Inventory catalogued/verified by Britt McNamara (2008-2009 Inventory). Record last updated in Excel (prior to Arctos migration) by Dawn Roberts (2018-01-12). ,,,,,,,object,Fair; has two large gouges on head and handle starting to unravel.,1,in collection,RVWD: 302: Small Room: Anth Oversized,Dimensions: length 1272 mm; width 70 mm.,,,,,,,,,,description,"Anthropology: spear; long, carved wooden spear with a reed handle on the shaft.  Above the handle, the spear is carved into a rectangle and a diamond before going into a large, triangular head. From original catalogue book: Chipped Lance Head.",Sam Howes,2016,materials,"organic, wood",Sam Howes,2016,materials," organic, reed",Sam Howes,2016,,,,,,place of use
1308,ekrimmel,11049,,,,[CHAS:Mamm]1878.17,unidentifiable {Axe},legacy,unknown,,Axe.,"[no date recorded, date range based on accession year]",1800,1879-12-31,"North America, United States, Illinois, Will County",Lockport,"Lockport, Ill [Illinois]",Dawn R. Roberts,2018-01-12,unverified,unknown,collector,CHAS:EH,DATA HISTORY: Information transcribed from original catalogue book.,,,,,,,object,unchecked,1,missing,,,,,,,,,,,,description,Anthropology: From original catalogue book: Grooved Axe.,Dawn R. Roberts,2018,,,,,,,,,,,,,,place of use
1002,ekrimmel,11059,,,,[CHAS:Mamm]1878.17,"unidentifiable {Sherd, ceramic}",student,Sam Howes,2016-02-16,Ceramic sherd.,"[no date recorded, date range based on accession year]",1800,1879-12-31,"North America, Mexico",no specific locality recorded,Ancient Pecos N. Mexico,Dawn R. Roberts,2018-01-12,unverified,unknown,collector,CHAS:EH,DATA HISTORY: Inventory catalogued/verified by Britt McNamara (2008-2009 Inventory). Record last updated in Excel (prior to Arctos migration) by Sam Howes (2016-02-09). Information compared with catalogue records.,,,,,,,object,Fair; dirty.,1,in collection,RVWD: 302: Anth Cab 02: B,,,,,,,,,,,description,"Anthropology: ceramic-sherd; red slipped clay with black detailing (diagonal stripes) attached to an information card.  Appears to be missing a sherd. ""Painted pottery"".",Sam Howes,2016,materials,"ceramic, red slip",Sam Howes,2016,,,,,,,,,,place of use
1311,ekrimmel,11154,,,,[CHAS:Mamm]1878.17,"unidentifiable {Carving, figurine}",legacy,unknown,,Figurine.,"[no date recorded, date range based on accession year]",1800,1879-12-31,"North America, Mexico",Otumba,"Otumba, Mex [Mexico]",Dawn R. Roberts,2018-01-12,unverified,unknown,collector,CHAS:EH,DATA HISTORY: Information transcribed from original catalogue book.,,,,,,,object,unchecked,1,missing,,,,,,,,,,,,description,Anthropology: From original catalogue book: Clay Image.,Dawn R. Roberts,2018,,,,,,,,,,,,,,place of use
1312,ekrimmel,11163,,,,[CHAS:Mamm]1878.17,"unidentifiable {Basket, straw}",legacy,unknown,,Straw basket (Oregon Indians).,"[no date recorded, date range based on accession year]",1800,1879-12-31,no higher geography recorded,no specific locality recorded,[no locality recorded],Dawn R. Roberts,2018-01-12,unverified,unknown,collector,CHAS:EH,DATA HISTORY: Information transcribed from original catalogue book.,,,,,,,object,unchecked,1,missing,,,,,,,culture of origin,unknown,Original value prior to data migration into Arctos: Oregon Indians,Dawn R. Roberts,2018,description,"Anthropology: From original catalogue book: Basket (Straw), Oregon Indians.",Dawn R. Roberts,2018,,,,,,,,,,,,,,place of use
1313,ekrimmel,11164,,,,[CHAS:Mamm]1878.17,"unidentifiable {Ornament, necklace}",legacy,unknown,,"Necklace made of ""Job's Tears"" (Canadian Indians).","[no date recorded, date range based on accession year]",1800,1879-12-31,no higher geography recorded,no specific locality recorded,[no locality recorded],Dawn R. Roberts,2018-01-12,unverified,unknown,collector,CHAS:EH,DATA HISTORY: Information transcribed from original catalogue book.,,,,,,,object,unchecked,1,missing,,,,,,,culture of origin,unknown,Original value prior to data migration into Arctos: Canadian Indians,Dawn R. Roberts,2018,description,"Anthropology: From original catalogue book: Necklace (made of ""Jobs Tears""), Canadian Indians.",Dawn R. Roberts,2018,,,,,,,,,,,,,,place of use
1314,ekrimmel,11165,,,,[CHAS:Mamm]1878.17,"unidentifiable {Ornament, shell}",legacy,unknown,,String of Wampum (Dakota Indians).,"[no date recorded, date range based on accession year]",1800,1879-12-31,no higher geography recorded,no specific locality recorded,[no locality recorded],Dawn R. Roberts,2018-01-12,unverified,unknown,collector,CHAS:EH,DATA HISTORY: Information transcribed from original catalogue book.,,,,,,,object,unchecked,1,missing,,,,,,,culture of origin,unknown,Original value prior to data migration into Arctos: Dakota Indians,Dawn R. Roberts,2018,description,"Anthropology: From original catalogue book: string of Wampum [shells], Dakota Indians.",Dawn R. Roberts,2018,,,,,,,,,,,,,,place of use
1316,ekrimmel,11516,,,,[CHAS:Mamm]1878.17,unidentifiable {War club},legacy,unknown,,"War club of Keshena, Chief of Menominees.","[no date recorded, date range based on accession year]",1800,1879-12-31,no higher geography recorded,no specific locality recorded,[no locality recorded],Dawn R. Roberts,2018-01-12,unverified,unknown,collector,CHAS:EH,DATA HISTORY: Information transcribed from original catalogue book.,,,,,,,object,unchecked,1,missing,,,,,,,,,,,,description,"Anthropology: From original catalogue book: war club of Keshena, Chief of Menominees [at least from 1800s].",Dawn R. Roberts,2018,,,,,,,,,,,,,Wisconsin,place of use
1323,ekrimmel,12008,,,,[CHAS:Mamm]1878.17,"unidentifiable {Projectile point, stone}",legacy,unknown,,Arrowhead.,"[no date recorded, date range based on accession year]",1800,1879-12-31,"Oceania, Fiji",no specific locality recorded,Fiji Islands,Dawn R. Roberts,2018-01-12,unverified,unknown,collector,CHAS:EH,DATA HISTORY: Information transcribed from original catalogue book.,,,,,,,object,unchecked,1,missing,,,,,,,,,,,,description,Anthropology: From original catalogue book: Arrow Head.,Dawn R. Roberts,2018,,,,,,,,,,,,,,place of use
1324,ekrimmel,12011,,,,[CHAS:Mamm]1878.17,unidentifiable {Pouch},legacy,unknown,,Pouch.,"[no date recorded, date range based on accession year]",1800,1879-12-31,no higher geography recorded,no specific locality recorded,[no locality recorded],Dawn R. Roberts,2018-01-12,unverified,unknown,collector,CHAS:EH,DATA HISTORY: Information transcribed from original catalogue book.,,,,,,,object,unchecked,1,missing,,,,,,,,,,,,description,Anthropology: From original catalogue book: Pouch.,Dawn R. Roberts,2018,,,,,,,,,,,,,,place of use
1003,ekrimmel,1878.17.1,B.144,original identifier,self,[CHAS:Mamm]1878.17,"unidentifiable {Tile, ceramic}",student,Sam Howes,2016-02-16,Ceramic tile from Casa dei Capiletti Figurati (Roman).,"[no date recorded, date range based on accession year]",1800,1879-12-31,"Europe, Italy",Rome,Casa dei Capiletti Figurati,Dawn R. Roberts,2018-01-12,unverified,Elizabeth Emerson Atwater,collector,CHAS:EH,DATA HISTORY: Inventory catalogued/verified by Britt McNamara (2008-2009 Inventory). Record last updated in Excel (prior to Arctos migration) by Dawn R. Roberts (2014-05-23).,,,,,,,object,Good.,1,in collection,RVWD: 302: Anth Cab 01: B,Dimensions: length 68 mm; width 38 mm.,,,,,culture of origin,"Roman, ancient",Original value prior to data migration into Arctos: Roman,Sam Howes,2016,description,"Anthropology: ceramic-tile-fragment; brown/orange clay; can see finger marks where back was roughed up for ease of building. On label: ""Casa dei Capiletti Figurati B. 144 Rome From ???"".",Sam Howes,2016,materials,ceramic,Sam Howes,2016,,,,,,,,,,place of use
1012,ekrimmel,1878.17.10,B.223,original identifier,self,[CHAS:Mamm]1878.17,"unidentifiable {Fragment, stone}",student,Sam Howes,2016-02-16,Stone fragment from the Forum Romanum.,"[no date recorded, date range based on accession year]",1800,1879-12-31,"Europe, Italy",Rome,Forum Romanum,Dawn R. Roberts,2018-01-12,unverified,Elizabeth Emerson Atwater,collector,CHAS:EH,DATA HISTORY: Inventory catalogued/verified by Britt McNamara (2008-2009 Inventory). Record last updated in Excel (prior to Arctos migration) by Dawn R. Roberts (2014-05-23).,,,,,,,object,Good.,1,in collection,RVWD: 302: Anth Cab 01: B,Dimensions: length 46 mm; width 40 mm.,,,,,culture of origin,"Roman, ancient",Original value prior to data migration into Arctos: Roman,Sam Howes,2016,description,"Anthropology: stone fragment; white, sparkly stone with mortar on back; From the Forum Romanum.",Sam Howes,2016,materials,stone,Sam Howes,2016,,,,,,,,,,place of use
1013,ekrimmel,1878.17.11,B.235,original identifier,self,[CHAS:Mamm]1878.17,"unidentifiable {Fragment, stone}",student,Sam Howes,2016-02-16,Stone fragment from the Roman Coliseum.,"[no date recorded, date range based on accession year]",1800,1879-12-31,"Europe, Italy",Rome,Roman Coliseum,Dawn R. Roberts,2018-01-12,unverified,Elizabeth Emerson Atwater,collector,CHAS:EH,DATA HISTORY: Inventory catalogued/verified by Britt McNamara (2008-2009 Inventory). Record last updated in Excel (prior to Arctos migration) by Dawn R. Roberts (2014-05-23).,,,,,,,object,Good.,1,in collection,RVWD: 302: Anth Cab 01: B,Dimensions: length 32 mm; width 36 mm.,,,,,culture of origin,"Roman, ancient",Original value prior to data migration into Arctos: Roman,Sam Howes,2016,description,"Anthropology: stone fragment; peach colored stone, porous. From Roman Coliseum.",Sam Howes,2016,materials,stone,Sam Howes,2016,,,,,,,,,,place of use
1014,ekrimmel,1878.17.12,B.261,original identifier,self,[CHAS:Mamm]1878.17,"unidentifiable {Fragment, stone}",student,Sam Howes,2016-02-16,Stone fragment from the Columbaria.,"[no date recorded, date range based on accession year]",1800,1879-12-31,"Europe, Italy",Rome,Columbaria (singular = columbarium. A repository for funerary urns),Dawn R. Roberts,2018-01-12,unverified,Elizabeth Emerson Atwater,collector,CHAS:EH,DATA HISTORY: Inventory catalogued/verified by Britt McNamara (2008-2009 Inventory). Record last updated in Excel (prior to Arctos migration) by Dawn R. Roberts (2014-05-23).,,,,,,,object,Good.,1,in collection,RVWD: 302: Anth Cab 01: B,Dimensions: circumference 95 mm; diameter 29 mm.,,,,,,,,,,description,Anthropology: stone fragment; rounded piece of white stone.,Sam Howes,2016,materials,stone,Sam Howes,2016,,,,,,,,,Likely collected from a columbarium in Rome.,place of use
1015,ekrimmel,1878.17.13,B.261,original identifier,self,[CHAS:Mamm]1878.17,"unidentifiable {Fragment, stone}",student,Sam Howes,2016-02-16,Stone fragment from the Columbaria.,"[no date recorded, date range based on accession year]",1800,1879-12-31,"Europe, Italy",Rome,Columbaria (singular = columbarium. A repository for funerary urns),Dawn R. Roberts,2018-01-12,unverified,Elizabeth Emerson Atwater,collector,CHAS:EH,DATA HISTORY: Inventory catalogued/verified by Britt McNamara (2008-2009 Inventory). Record last updated in Excel (prior to Arctos migration) by Dawn R. Roberts (2014-05-23).,,,,,,,object,Good.,1,in collection,RVWD: 302: Anth Cab 01: B,Dimensions: length 62 mm; width 24 mm.,,,,,,,,,,description,Anthropology: stone fragment; pink-brown rectangular stone.,Sam Howes,2016,materials,stone,Sam Howes,2016,,,,,,,,,Likely collected from a columbarium in Rome.,place of use
1016,ekrimmel,1878.17.14,B.341,original identifier,self,[CHAS:Mamm]1878.17,"unidentifiable {Fragment, stone}",student,Sam Howes,2016-02-16,Stone fragment from the Catacombs of Saint Callistus.,"[no date recorded, date range based on accession year]",1800,1879-12-31,"Europe, Italy",Rome,Catacombs of St. Callistus,Dawn R. Roberts,2018-01-12,unverified,Elizabeth Emerson Atwater,collector,CHAS:EH,DATA HISTORY: Inventory catalogued/verified by Britt McNamara (2008-2009 Inventory). Record last updated in Excel (prior to Arctos migration) by Dawn R. Roberts (2014-05-23).,,,,,,,object,Good.,1,in collection,RVWD: 302: Anth Cab 01: B,Dimensions: length 70 mm; width 52 mm.,,,,,,,,,,description,"Anthropology: stone fragment, pink-tan stone; porous. From Catacombs of St. Callistus.",Sam Howes,2016,materials,stone,Sam Howes,2016,,,,,,,,,,place of use
