COLLECTION_OBJECT_ID,ENTEREDBY,CAT_NUM,OTHER_ID_NUM_1,OTHER_ID_NUM_TYPE_1,OTHER_ID_REFERENCES_1,ACCN,TAXON_NAME,NATURE_OF_ID,ID_MADE_BY_AGENT,MADE_DATE,IDENTIFICATION_REMARKS,VERBATIM_DATE,BEGAN_DATE,ENDED_DATE,HIGHER_GEOG,SPEC_LOCALITY,VERBATIM_LOCALITY,EVENT_ASSIGNED_BY_AGENT,EVENT_ASSIGNED_DATE,VERIFICATIONSTATUS,MINIMUM_ELEVATION,MAXIMUM_ELEVATION,ORIG_ELEV_UNITS,HABITAT,COLLECTOR_AGENT_1,COLLECTOR_ROLE_1,COLLECTOR_AGENT_2,COLLECTOR_ROLE_2,GUID_PREFIX,COLL_OBJECT_REMARKS,PART_NAME_1,PART_CONDITION_1,PART_LOT_COUNT_1,PART_DISPOSITION_1,PART_REMARK_1,PART_NAME_2,PART_CONDITION_2,PART_LOT_COUNT_2,PART_DISPOSITION_2,PART_REMARK_2,ATTRIBUTE_1,ATTRIBUTE_VALUE_1,ATTRIBUTE_DATE_1,ATTRIBUTE_DETERMINER_1,ATTRIBUTE_2,ATTRIBUTE_VALUE_2,ATTRIBUTE_DATE_2,ATTRIBUTE_DETERMINER_2,ATTRIBUTE_3,ATTRIBUTE_VALUE_3,ATTRIBUTE_DATE_3,ATTRIBUTE_DETERMINER_3,SPECIMEN_EVENT_REMARK,SPECIMEN_EVENT_TYPE
19,ekrimmel,1906.2241.1,,,,[CHAS:Mamm]2241,Parcoblatta pennsylvanica,legacy,unknown,,Cockroach.,[no date recorded],1800,2018-01-20,"North America, United States",no specific locality recorded,FROM SPECIMEN: Mason County,Michael Portala,2016-02-17,unverified,,,,,Riley O. Johnson,collector,,,CHAS:Ento,"INTERNAL NOTES: Matched to accession during Arctos migration process, 2018, based on collector/donor. Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.  DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-02-11). Record last updated in Excel (prior to Arctos migration) by Michael Portala (2016-02-17).",whole organism (pinned),unchecked,1,in collection,,,,,,,verbatim collector,R.O. Johnson,2018-01-19,Erica Krimmel,sex,not recorded,2018-01-19,Erica Krimmel,,,,,,accepted place of collection
20,ekrimmel,1895.503.35,,,,[CHAS:Mamm]503,Parcoblatta pennsylvanica,legacy,unknown,,Cockroach.,June,1800-06-01,2017-06-30,"North America, United States, Illinois, Cook County",no specific locality recorded,[transcribed directly into formatted locality fields],Michael Portala,2016-02-17,unverified,,,,,Oliver S. Westcott,collector,,,CHAS:Ento,"INTERNAL NOTES: Matched to accession during Arctos migration process, 2018, based on collector/donor. Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.  DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-02-11). Record last updated in Excel (prior to Arctos migration) by Michael Portala (2016-02-17).",whole organism (pinned),unchecked,1,in collection,,,,,,,verbatim collector,Westcott,2018-01-19,Erica Krimmel,sex,not recorded,2018-01-19,Erica Krimmel,,,,,,accepted place of collection
21,ekrimmel,2017.10.11534,,,,[CHAS:Mamm]2017.10,Parcoblatta pennsylvanica,legacy,unknown,,Cockroach.,June,1800-06-01,2017-06-30,"North America, United States, Illinois",northern Illinois,FROM SPECIMEN: Northern Illinois,Michael Portala,2016-02-17,unverified,,,,,unknown,collector,,,CHAS:Ento,"INTERNAL NOTES: Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.  DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-02-11). Record last updated in Excel (prior to Arctos migration) by Michael Portala (2016-02-17).",whole organism (pinned),unchecked,1,in collection,,,,,,,,,,,sex,not recorded,2018-01-19,Erica Krimmel,,,,,,accepted place of collection
22,ekrimmel,2017.10.11535,,,,[CHAS:Mamm]2017.10,Parcoblatta pennsylvanica,legacy,unknown,,Cockroach.,Sun Jun 05 1932,1932-06-05,1932-06-05,"North America, United States, Illinois, Kankakee County",Hopkins Park,FROM SPECIMEN: Hopkins Park,Michael Portala,2016-02-17,unverified,,,,,unknown,collector,,,CHAS:Ento,"INTERNAL NOTES: Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.  DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-09-08). Record last updated in Excel (prior to Arctos migration) by Michael Portala (2016-02-17).",whole organism (pinned),unchecked,1,in collection,,,,,,,,,,,sex,not recorded,2018-01-19,Erica Krimmel,,,,,,accepted place of collection
23,ekrimmel,2017.10.11536,,,,[CHAS:Mamm]2017.10,Parcoblatta pennsylvanica,legacy,unknown,,Cockroach.,Wed Jun 03 1936,1936-06-03,1936-06-03,"North America, United States, Illinois, Kankakee County",no specific locality recorded,[transcribed directly into formatted locality fields],Michael Portala,2016-02-17,unverified,,,,,unknown,collector,,,CHAS:Ento,"INTERNAL NOTES: Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.  DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-02-11). Record last updated in Excel (prior to Arctos migration) by Michael Portala (2016-02-17).",whole organism (pinned),unchecked,1,in collection,,,,,,,,,,,sex,male,,unknown,,,,,,accepted place of collection
24,ekrimmel,2017.10.11537,,,,[CHAS:Mamm]2017.10,Parcoblatta pennsylvanica,legacy,unknown,,Cockroach.,Sat Jun 19 1937,1937-06-19,1937-06-19,"North America, United States, Illinois, Kankakee County",no specific locality recorded,[transcribed directly into formatted locality fields],Michael Portala,2016-02-17,unverified,,,,,unknown,collector,,,CHAS:Ento,"INTERNAL NOTES: Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.  DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-02-11). Record last updated in Excel (prior to Arctos migration) by Michael Portala (2016-02-17).",whole organism (pinned),unchecked,1,in collection,,,,,,,,,,,sex,not recorded,2018-01-19,Erica Krimmel,,,,,,accepted place of collection
25,ekrimmel,2017.10.11538,,,,[CHAS:Mamm]2017.10,Parcoblatta pennsylvanica,legacy,unknown,,Cockroach.,Sat Jun 19 1937,1937-06-19,1937-06-19,"North America, United States, Illinois, Kankakee County",no specific locality recorded,[transcribed directly into formatted locality fields],Michael Portala,2016-02-17,unverified,,,,,unknown,collector,,,CHAS:Ento,"INTERNAL NOTES: Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.  DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-02-11). Record last updated in Excel (prior to Arctos migration) by Michael Portala (2016-02-17).",whole organism (pinned),unchecked,1,in collection,,,,,,,,,,,sex,not recorded,2018-01-19,Erica Krimmel,,,,,,accepted place of collection
26,ekrimmel,2017.10.11539,,,,[CHAS:Mamm]2017.10,Pseudomops cinctus,legacy,unknown,,Cockroach.,[no date recorded],1800,2018-01-20,"North America, United States, Texas",no specific locality recorded,[transcribed directly into formatted locality fields],Michael Portala,2016-02-17,unverified,,,,,unknown,collector,,,CHAS:Ento,"INTERNAL NOTES: Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.  DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-02-11). Record last updated in Excel (prior to Arctos migration) by Michael Portala (2016-02-17).",whole organism (pinned),unchecked,1,in collection,,,,,,,,,,,sex,not recorded,2018-01-19,Erica Krimmel,,,,,,accepted place of collection
27,ekrimmel,1904.2079.20,,,,[CHAS:Mamm]2079,Blattodea,legacy,unknown,,Cockroach.,Tue May 30 1905,1905-05-30,1905-05-30,"North America, United States, Illinois, Cook County",Glendon Park,"FROM SPECIMEN: Glendon P'[ar]k[ Possibly somewhere in River Grove- seems to be somewhere on the chicago, milwaukee and St. Paul Railway, elgin line. Where the tracks cross the river- May acutally be in franklin park.? Name seems to no longer be used]",Michael Portala,2016-02-17,unverified,,,,,A. B. Wolcott,collector,,,CHAS:Ento,"INTERNAL NOTES: Matched to accession during Arctos migration process, 2018, based on collector/donor. Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.  DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-02-11). Record last updated in Excel (prior to Arctos migration) by Michael Portala (2016-02-17).",whole organism (pinned),unchecked,1,in collection,,,,,,,verbatim collector,A.B. Wolcott,2018-01-19,Erica Krimmel,sex,not recorded,2018-01-19,Erica Krimmel,age class,juvenile,,A. B. Wolcott,,accepted place of collection
28,ekrimmel,1904.2079.21,,,,[CHAS:Mamm]2079,Blattodea,legacy,unknown,,Cockroach.,Tue May 30 1905,1905-05-30,1905-05-30,"North America, United States, Illinois, Cook County",Glendon Park,"FROM SPECIMEN: Glendon P'[ar]k[ Possibly somewhere in River Grove- seems to be somewhere on the chicago, milwaukee and St. Paul Railway, elgin line. Where the tracks cross the river- May acutally be in franklin park.? Name seems to no longer be used]",Michael Portala,2016-02-17,unverified,,,,,A. B. Wolcott,collector,,,CHAS:Ento,"INTERNAL NOTES: Matched to accession during Arctos migration process, 2018, based on collector/donor. Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.  DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-02-11). Record last updated in Excel (prior to Arctos migration) by Michael Portala (2016-02-17).",whole organism (pinned),unchecked,1,in collection,,,,,,,verbatim collector,A.B. Wolcott,2018-01-19,Erica Krimmel,sex,not recorded,2018-01-19,Erica Krimmel,age class,juvenile,,A. B. Wolcott,,accepted place of collection
29,ekrimmel,1987.5.67,George Hulse-BT12,collector number,self,[CHAS:Mamm]1987.5,Blattodea,legacy,unknown,,Cockroach.,Thu Jul 30 1987,1987-07-30,1987-07-30,"North America, United States, Illinois, Cook County","Chicago, 1808 N Washtenaw Ave",FROM SPECIMEN: 1808 N. Washtenaw,Michael Portala,2016-02-17,unverified,,,,,George Hulse,collector,,,CHAS:Ento,"INTERNAL NOTES: Matched to accession during Arctos migration process, 2018, based on collector/donor. Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.  DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-08-23). Record last updated in Excel (prior to Arctos migration) by Michael Portala (2016-02-17).",whole organism (pinned),unchecked,1,in collection,,,,,,,,,,,sex,not recorded,2018-01-19,Erica Krimmel,,,,,,accepted place of collection
30,ekrimmel,2017.10.11540,,,,[CHAS:Mamm]2017.10,Blattodea,legacy,unknown,,Cockroach.,[no date recorded],1800,2018-01-20,"North America, United States, Illinois",northern Illinois,FROM SPECIMEN: Northern Illinois,Michael Portala,2016-02-17,unverified,,,,,unknown,collector,,,CHAS:Ento,"INTERNAL NOTES: Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.  DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-02-11). Record last updated in Excel (prior to Arctos migration) by Michael Portala (2016-02-17).",whole organism (pinned),unchecked,1,in collection,,,,,,,,,,,sex,not recorded,2018-01-19,Erica Krimmel,,,,,,accepted place of collection
31,ekrimmel,2017.10.11541,,,,[CHAS:Mamm]2017.10,Blattodea,legacy,unknown,,Cockroach.,[no date recorded],1800,2018-01-20,"North America, United States, Texas",no specific locality recorded,[transcribed directly into formatted locality fields],Michael Portala,2016-02-17,unverified,,,,,unknown,collector,,,CHAS:Ento,"INTERNAL NOTES: Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.  DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-02-11). Record last updated in Excel (prior to Arctos migration) by Michael Portala (2016-02-17).",whole organism (pinned),unchecked,1,in collection,,,,,,,,,,,sex,not recorded,2018-01-19,Erica Krimmel,,,,,,accepted place of collection
