COLLECTION_OBJECT_ID,ENTEREDBY,CAT_NUM,OTHER_ID_NUM_1,OTHER_ID_NUM_TYPE_1,OTHER_ID_REFERENCES_1,ACCN,TAXON_NAME,NATURE_OF_ID,ID_MADE_BY_AGENT,MADE_DATE,VERBATIM_DATE,BEGAN_DATE,ENDED_DATE,HIGHER_GEOG,SPEC_LOCALITY,VERBATIM_LOCALITY,EVENT_ASSIGNED_BY_AGENT,EVENT_ASSIGNED_DATE,VERIFICATIONSTATUS,COLLECTOR_AGENT_1,COLLECTOR_ROLE_1,GUID_PREFIX,COLL_OBJECT_REMARKS,PART_NAME_1,PART_CONDITION_1,PART_LOT_COUNT_1,PART_DISPOSITION_1,PART_REMARK_1,ATTRIBUTE_1,ATTRIBUTE_VALUE_1,ATTRIBUTE_DETERMINER_1,ATTRIBUTE_DATE_1,ATTRIBUTE_2,ATTRIBUTE_VALUE_2,ATTRIBUTE_DETERMINER_2,ATTRIBUTE_DATE_2,ATTRIBUTE_3,ATTRIBUTE_VALUE_3,ATTRIBUTE_DETERMINER_3,ATTRIBUTE_DATE_3,ATTRIBUTE_4,ATTRIBUTE_VALUE_4,ATTRIBUTE_UNITS_4,ATTRIBUTE_REMARKS_4,ATTRIBUTE_DETERMINER_4,ATTRIBUTE_DATE_4,SPECIMEN_EVENT_TYPE
11,ekrimmel,1983.8.5,HIS-105,original identifier,self,[CHAS:Mamm]1983.8,unidentifiable {needle},legacy,Erica Krimmel,2017-02-18,[no date recorded],1800,2017-02-18,no higher geography recorded,no specific locality recorded,[no locality recorded],Erica Krimmel,2015-03-03,unverified,unknown,maker,CHAS:EH,"INTERNAL NOTES: Originally from the Scientific History Collection. Part of Leon Urbain's ""junk box"" (wooden box that largely contains cutting tools). EXHIBIT AND LOAN HISTORY: L2015.3, Kennicott display, 3/3/2015 to present. L2014.4, Nature's Struggle exhibit, 3/2014 to 10/2014. DATA HISTORY: Inventory catalogued/verified by B. McNamara (2010-04-05). Record last updated in Excel (prior to Arctos migration) by Erica Krimmel (2015-03-03).",object,"Fair. Corroded, especially on eyelet end.",1,on exhibit,Number of Pieces: 1. Dimensions: length = 120 mm.,,,,,description,SCIENTIFIC HISTORY. needle; large metal needle with a brown cord through its eye,Erica Krimmel,2017-02-20,historical,yes,Erica Krimmel,2017-02-20,,,US dollar,,,,place of manufacture
12,ekrimmel,1983.8.6,HIS-108,original identifier,self,[CHAS:Mamm]1983.8,unidentifiable {probe-section lifter},legacy,Erica Krimmel,2017-02-18,[no date recorded],1800,2017-02-18,no higher geography recorded,no specific locality recorded,[no locality recorded],Erica Krimmel,2015-03-03,unverified,unknown,maker,CHAS:EH,"INTERNAL NOTES: Originally from the Scientific History Collection. Part of Leon Urbain's ""junk box"" (wooden box that largely contains cutting tools). EXHIBIT AND LOAN HISTORY: L2015.3, Kennicott display, 3/3/2015 to present. L2014.4, Nature's Struggle exhibit, 3/2014 to 10/2014. DATA HISTORY: Inventory catalogued/verified by B. McNamara (2010-04-05). Record last updated in Excel (prior to Arctos migration) by Erica Krimmel (2015-03-03).",object,"Good. Signs of use - back of handle near blade and the first pin is chipped, minor corrosion on blade.",1,on exhibit,Number of Pieces: 1. Dimensions: length = 145 mm; height = 16 mm.,,,,,description,"SCIENTIFIC HISTORY. probe-section lifter; wide, flat metal piece with a rounded end and a black plastic handle.",Erica Krimmel,2017-02-20,historical,yes,Erica Krimmel,2017-02-20,,,US dollar,,,,place of manufacture
13,ekrimmel,2017.3.6,HIS-149,original identifier,self,[CHAS:Mamm]2017.3,unidentifiable {microscope-compound},legacy,Erica Krimmel,2017-02-18,1883-1896,1883,1896,no higher geography recorded,no specific locality recorded,[no locality recorded],Erica Krimmel,2015-03-03,unverified,Bausch and Lomb,maker,CHAS:EH,"INTERNAL NOTES: Originally from the Scientific History Collection. Our microscope matches the pictures and description of the Bausch and Lomb ""Model"" microscope made from 1883-1896. For reference see http://www.arsmachina.com/bl_model1407.htm. EXHIBIT AND LOAN HISTORY: L2015.3, Kennicott display, 3/3/2015 to present. L2014.4, Nature's Struggle exhibit, 3/2014 to 10/2014. DATA HISTORY: Inventory catalogued/verified by B. McNamara (2010-04-12). Record last updated in Excel (prior to Arctos migration) by Erica Krimmel (2015-03-03).",object,Good.,1,on exhibit,Number of Pieces: 3. Dimensions: height = 275 mm.,verbatim collector,Bausch & Lomb Co.,Erica Krimmel,2017-02-20,description,SCIENTIFIC HISTORY. microscope-compound; brass monocular compound microscope with a round stage and y-shaped base.  Bausch and Lomb Optical Co. engraved on stage.  Base and body painted with black enamel.  Body is supported on two pillars.  Light source is a mirror.  In a medium-colored wood case with a brass handle. Lens.,Erica Krimmel,2017-02-20,historical,yes,Erica Krimmel,2017-02-20,,,US dollar,,,,place of manufacture
14,ekrimmel,2017.3.7,HIS-336,original identifier,self,[CHAS:Mamm]2017.3,unidentifiable {camera-focusing frame},legacy,Erica Krimmel,2017-02-18,[no date recorded],1800,2017-02-18,no higher geography recorded,no specific locality recorded,[no locality recorded],Erica Krimmel,2015-03-03,unverified,unknown,maker,CHAS:EH,"INTERNAL NOTES: Originally from the Scientific History Collection. Likely goes with camera HIS-361 Kodak View No. 1. How it is used: the front of the camera with the lens moves up and down this frame on the rails to focus the shot. This kind of camera is known as a front focusing camera. For reference see http://www.antiquewoodcameras.com. EXHIBIT AND LOAN HISTORY: L2015.3, Kennicott display, 3/3/2015 to present. L2014.4, Nature's Struggle exhibit, 3/2014 to 10/2014. DATA HISTORY: Inventory catalogued/verified by B. McNamara (2010-05-24). Record last updated in Excel (prior to Arctos migration) by Erica Krimmel (2015-03-03).",object,Good. Some nicks in wood.,1,on exhibit,Number of Pieces: 1. Dimensions: length = 155 mm; height = 250 mm; depth = 20 mm.,,,,,description,"SCIENTIFIC HISTORY. camera-focusing frame; rectangular wooden frame with metal teeth along both of its long sides.  There is a knob and two bolts on one short end.  ""83"" has been etched into bottom and two decorative lines are on each side. ",Erica Krimmel,2017-02-20,historical,yes,Erica Krimmel,2017-02-20,,,US dollar,,,,place of manufacture
15,ekrimmel,2017.3.8,HIS-344,original identifier,self,[CHAS:Mamm]2017.3,unidentifiable {camera-lens},legacy,Erica Krimmel,2017-02-18,ca. 1914-1918,1914,1918,no higher geography recorded,no specific locality recorded,[no locality recorded],Erica Krimmel,2015-03-03,unverified,Hobson Limited,maker,CHAS:EH,"INTERNAL NOTES: Originally from the Scientific History Collection. For reference see http://motamedi.info/serial.htm. EXHIBIT AND LOAN HISTORY: L2015.3, Kennicott display, 3/3/2015 to present. L2014.4, Nature's Struggle exhibit, 3/2014 to 10/2014. DATA HISTORY: Inventory catalogued/verified by B. McNamara (2010-05-24). Record last updated in Excel (prior to Arctos migration) by Erica Krimmel (2015-03-03).",object,Good. Dusty and some of the metal is scratched.,1,on exhibit,Number of Pieces: 3. Dimensions: diameter = 76 mm and 67 mm; depth = 62 mm.,verbatim collector,"Taylor, Taylor, and Hobson LTD",Erica Krimmel,2017-02-20,description,"SCIENTIFIC HISTORY. camera-lens; large brass lens with two square pieces of wood around its middle. ""Cooke Anastigmat  Lens 61/2 x 81/2 inches No. 56715 f/4.5 101/2 inch Series II "", ""Taylor Taylor & Hobson Ltd. Leicester, London & New York",Erica Krimmel,2017-02-20,historical,yes,Erica Krimmel,2017-02-20,,,US dollar,,,,place of manufacture
16,ekrimmel,2017.3.9,HIS-361,original identifier,self,[CHAS:Mamm]2017.3,unidentifiable {camera-still},legacy,Erica Krimmel,2017-02-18,1914,1914,1914,"North America, United States, New York, Monroe County",Rochester,"Rochester, NY",Erica Krimmel,2015-03-03,unverified,Eastman Kodak Company,maker,CHAS:EH,"INTERNAL NOTES: Originally from the Scientific History Collection. Focusing frame HIS-336 likely belongs with this camera and has been reassociated; date found from website of original catalog: http://piercevaubel.com/cam/ekc/1.htm. EXHIBIT AND LOAN HISTORY: L2015.3, Kennicott display, 3/3/2015 to present. L2014.4, Nature's Struggle exhibit, 3/2014 to 10/2014. DATA HISTORY: Inventory catalogued/verified by B. McNamara (2010-05-25). Record last updated in Excel (prior to Arctos migration) by Erica Krimmel (2015-03-03).",object,Good. Missing a couple pieces.,1,on exhibit,Number of Pieces: 1. Dimensions: length = 220 mm; height = 275 mm.,verbatim collector,Eastman Kodak Co.,Erica Krimmel,2017-02-20,description,SCIENTIFIC HISTORY. camera-still-wood-Eastman View No. 1; rich red wood body and focusing frame with brass hardware.  Missing lens and back extension (HIS-336?).  Camera folds out from carrying position.,Erica Krimmel,2017-02-20,historical,yes,Erica Krimmel,2017-02-20,,,US dollar,,,,place of manufacture
17,ekrimmel,2017.3.10,HIS-515,original identifier,self,[CHAS:Mamm]2017.3,unidentifiable {loupe},legacy,Erica Krimmel,2017-02-18,[no date recorded],1800,2017-02-18,no higher geography recorded,no specific locality recorded,[no locality recorded],Erica Krimmel,2015-03-03,unverified,unknown,maker,CHAS:EH,"INTERNAL NOTES: Originally from the Scientific History Collection. Tripod base is connected to a ring that moves up and down, changing the depth of focus for the lens. EXHIBIT AND LOAN HISTORY: L2015.3, Kennicott display, 3/3/2015 to present. L2014.4, Nature's Struggle exhibit, 3/2014 to 10/2014. Beecher Lab display, October 2001 to 8/31/2012. DATA HISTORY: Inventory catalogued/verified by Amber King (2012-08-31). Record last updated in Excel (prior to Arctos migration) by Erica Krimmel (2015-03-03).",object,Box - Good (ater stains and abrasions along edges and faded); Loupe - Good (some discoloration of brass and scratches on underside of adjustable lens piece on the brass).,1,on exhibit,Number of Pieces: 4. Dimensions: Base height = 3.4 cm; Base diameter 4.3 cm; Lens height = 2.6 cm; Lens diameter 4.3 cm; Box height 5.4 cm; Box diameter = 5.7 cm.,,,,,description,SCIENTIFIC HISTORY. Brass tripod loupe with paper box container with lid.  Lens in loupe is adjustable since it is threaded like a screw into the support base.  Three turned legs screw into edges of support base.,Erica Krimmel,2017-02-20,historical,yes,Erica Krimmel,2017-02-20,,,US dollar,,,,place of manufacture
18,ekrimmel,2017.3.11,HIS-199,original identifier,self,[CHAS:Mamm]2017.3,"unidentifiable {microscope, microscope-case, accessories}",legacy,Erica Krimmel,2017-02-18,1880,1880,1880,"Europe, United Kingdom, England, British Isles, Britain",London,London,Amber King,2012-09-04,unverified,R. J. Beck,maker,CHAS:EH,"INTERNAL NOTES: Originally from the Scientific History Collection. Is this an Urbain microscope? on tag: ""James W. Queen & Co., London. Made between 1860 and 1893."" on scope: ""R & J Beck, London and Philadelphia, 11162"". DATA HISTORY: Inventory catalogued/verified by B. McNamara (2010-04-13). Record last updated in Excel (prior to Arctos migration) by Amber King (2012-09-04).",object,Case - Good (no longer stays closed); Microscope - Good (minor rusting present on exterior).,1,on exhibit,Number of Pieces: 10.,verbatim collector,R.J. Beck,Erica Krimmel,2017-02-20,description,"SCIENTIFIC HISTORY. microscope-case, accessories; dark wood case with an alternate stage, 2 protective cases (brass), 4 stage clips, 1 light adjuster (brass), and one ? That has a circular base, a pole and a rotating top.  Microscope: Brass microscope with three rotating lenses and three footed base with adujustable mirror for light source.  Marked on base, rear ""R & J BECK | LONDON & PHILADELPHIA"".",Erica Krimmel,2017-02-20,historical,yes,Erica Krimmel,2017-02-20,,,US dollar,,,,place of manufacture
19,ekrimmel,2017.3.12,HIS-513,original identifier,self,[CHAS:Mamm]2017.3,unidentifiable {microscope},legacy,Erica Krimmel,2017-02-18,[no date recorded],1800,2017-02-18,no higher geography recorded,no specific locality recorded,[no locality recorded],Amber King,2012-08-31,unverified,unknown,maker,CHAS:EH,"INTERNAL NOTES: Originally from the Scientific History Collection. Reproduction. Detached mirrors housed inside carrying case in base. EXHIBIT AND LOAN HISTORY: Beecher Lab display, October 2001 to 8/31/2012. DATA HISTORY: Inventory catalogued/verified by Dawn R. Roberts (2012-04-03). Record last updated in Excel (prior to Arctos migration) by Amber King (2012-08-31).",object,"Good. Brass has been aged, circular mirrors attached to mirror holder have become detached and are separated from each other, these have also been aged.",1,in collection,Number of Pieces: 7. Dimensions: height = 32.2 cm; length = 16 cm; depth = 23.2 cm.,,,,,description,"SCIENTIFIC HISTORY. Brass microscope that screws into wood base that also functions as carrying case, has flip top lid with pin closure that allows dismantled pieces of microscope to fit inside for transport.  Brass plate screwed into side of base, ""C.Darwin/ Shrewsbury 1831"".  Sticker on bottom of base: ""SMITHSONIAN/ MUSEUM SHOPS/ C6 31/ C644682/ $225.00"".  Chain attaching pin closure to base has imprinted tag attached, ""MADE IN ITALY"".",Erica Krimmel,2017-02-20,historical,yes,Erica Krimmel,2017-02-20,,,US dollar,,,,place of manufacture
20,ekrimmel,2017.3.13,HIS-516,original identifier,self,[CHAS:Mamm]2017.3,unidentifiable {container},legacy,Erica Krimmel,2017-02-18,[no date recorded],1800,2017-02-18,no higher geography recorded,no specific locality recorded,[no locality recorded],unknown,2017-02-17,unverified,unknown,maker,CHAS:EH,"INTERNAL NOTES: Originally from the Scientific History Collection. EXHIBIT AND LOAN HISTORY: Beecher Lab display, October 2001 to 8/31/2012. DATA HISTORY: Inventory catalogued/verified by Amber King (2012-08-31).",object,"Container - Good (scratches and abrasion across surface inside and out); Contents - Good (alligator clip has white residue on surface, pin slightly faded).",1,in collection,Number of Pieces: 6. Dimensions: Box height = 4.2 cm; Box diameter = 4.2 cm.,,,,,description,"SCIENTIFIC HISTORY. Cylindrical brass container with slip-on lid.  Top edge of lid is grooved.  Container may have been part of microscope set.  Contents of container are one black plastic button, one pin marked, ""HELP SAVE THE WILD FLOWERS/ W.F.P.S.[Wild Flower Preservation Society]"", an alligator clip attached to a metal mount, and a teardrop-shaped, metal counterweight.",Erica Krimmel,2017-02-20,historical,yes,Erica Krimmel,2017-02-20,,,US dollar,,,,place of manufacture
