COLLECTION_OBJECT_ID,ENTEREDBY,CAT_NUM,ACCN,TAXON_NAME,NATURE_OF_ID,ID_MADE_BY_AGENT,MADE_DATE,IDENTIFICATION_REMARKS,VERBATIM_DATE,BEGAN_DATE,ENDED_DATE,HIGHER_GEOG,SPEC_LOCALITY,VERBATIM_LOCALITY,EVENT_ASSIGNED_BY_AGENT,EVENT_ASSIGNED_DATE,VERIFICATIONSTATUS,COLLECTOR_AGENT_1,COLLECTOR_ROLE_1,COLLECTOR_AGENT_2,COLLECTOR_ROLE_2,GUID_PREFIX,COLL_OBJECT_REMARKS,OTHER_ID_NUM_1,OTHER_ID_NUM_TYPE_1,OTHER_ID_REFERENCES_1,OTHER_ID_NUM_2,OTHER_ID_NUM_TYPE_2,OTHER_ID_REFERENCES_2,OTHER_ID_NUM_3,OTHER_ID_NUM_TYPE_3,OTHER_ID_REFERENCES_3,PART_NAME_1,PART_CONDITION_1,PART_LOT_COUNT_1,PART_DISPOSITION_1,PART_REMARK_1,PART_NAME_2,PART_CONDITION_2,PART_LOT_COUNT_2,PART_DISPOSITION_2,PART_REMARK_2,ATTRIBUTE_1,ATTRIBUTE_VALUE_1,ATTRIBUTE_DATE_1,ATTRIBUTE_DETERMINER_1,ATTRIBUTE_2,ATTRIBUTE_VALUE_2,ATTRIBUTE_DATE_2,ATTRIBUTE_DETERMINER_2,ATTRIBUTE_3,ATTRIBUTE_VALUE_3,ATTRIBUTE_DATE_3,ATTRIBUTE_DETERMINER_3,ATTRIBUTE_4,ATTRIBUTE_VALUE_4,ATTRIBUTE_DATE_4,ATTRIBUTE_DETERMINER_4,SPECIMEN_EVENT_TYPE
20,ekrimmel,E2017G.1,[CHAS:Mamm]E2017G,Apis mellifera,legacy,unknown,,Honey Bee (queen).,2017-08,2017-08-01,2018-08-31,"North America, United States, Illinois, Cook County","Peggy Notebaert Nature Museum, 2430 North Cannon Drive, Chicago, Illinois 60614","Chicago Academy of Sciences/Peggy Notebaert Nature Museum, bee hives on roof.",Dawn R. Roberts,2017-10-07,unverified,Allen Lawrance,collector,Dawn R. Roberts,preparator,CHAS:Teach,"INTERNAL NOTES: Salvage specimen collected by Chicago Academy of Sciences. EXHIBIT AND LOAN HISTORY: L2017.18, PNNM, Education Dept for programs (SOG). DATA HISTORY: Inventory catalogued/verified by Dawn R. Roberts (2016). Record last updated in Excel (prior to Arctos migration) by Ashley Kleckner (2016-08-06). Record last updated in Excel by Dawn R. Roberts on 2017-10-07.",,,,,,,,,,whole organism (70% ethanol),Good.,10,on loan,"Specimen prepared in 2017-08. Individual queen bee specimens, each preserved in a small vial of 70% ethyl alcohol.",,,,,,verbatim collector,Allen Lawrence,2017-12-06,Erica Krimmel,,,,,age class,adult,2017-12-06,unknown,,,,,accepted place of collection
1017,ekrimmel,E2017C.923,[CHAS:Mamm]E2017C,Apis sp.,legacy,unknown,,Life Cycle of Honeybee.,[no date recorded],1800,2017-12-06,no higher geography recorded,no specific locality recorded,[no locality recorded],Dawn R. Roberts,2017-11-04,unverified,unknown,collector,,,CHAS:Teach,"INTERNAL NOTES: Specimen purchased from Nature-Watch. Found in collection (FIC). Incorporated into Teaching Collection, 2017. DATA HISTORY: Dawn R. Roberts (2017-11-04). Record last updated in Excel by Dawn R. Roberts on 2017-11-04.",,,,,,,,,,whole organism (dry),Good. 2017-11-04.,1,in collection,"Specimen prepared in 2011-09. ""Life Cycle of Honeybee"" in acrylic. Portrayed are: eggs, larvae, pupa, worker bee, drone, queen bee, comb foundation, worker foundation, queen cell, beeswax, and honey.",,,,,,,,,,,,,,,,,,,,,,accepted place of collection
26,ekrimmel,E2017C.924,[CHAS:Mamm]E2017C,Ischnura posita,legacy,Michael Portala,2017,Fragile Forktail.,[no date recorded],1800,2017-12-06,"North America, United States, Illinois",no specific locality recorded,IL,Dawn R. Roberts,2017-10-14,unverified,unknown,collector,,,CHAS:Teach,"INTERNAL NOTES: Found in collection (FIC). Incorporated into Teaching Collection, 2017. DATA HISTORY: Catalogued by Dawn R. Roberts (2017-08-30). Record last updated in Excel by Dawn R. Roberts on 2017-10-14.",,,,,,,,,,whole organism (pinned),Good. 2017-10-14.,1,in collection,,,,,,,,,,,,,,,age class,adult,2017-12-06,unknown,,,,,accepted place of collection
27,ekrimmel,E2017C.925,[CHAS:Mamm]E2017C,Ischnura ramburii,legacy,Michael Portala,2017,Rambur's Forktail.,[no date recorded],1800,2017-12-06,no higher geography recorded,no specific locality recorded,[no locality recorded],Dawn R. Roberts,2017-10-14,unverified,unknown,collector,,,CHAS:Teach,"INTERNAL NOTES: Found in collection (FIC). Incorporated into Teaching Collection, 2017. DATA HISTORY: Catalogued by Dawn R. Roberts (2017-08-30). Record last updated in Excel by Dawn R. Roberts on 2017-10-14.",,,,,,,,,,whole organism (pinned),Good. 2017-10-14.,1,in collection,Exoskelton shed.,,,,,,,,,,,,,,age class,nymph,2017-12-06,unknown,,,,,accepted place of collection
28,ekrimmel,E2017C.926,[CHAS:Mamm]E2017C,Ischnura ramburii,legacy,Michael Portala,2017,Rambur's Forktail.,[no date recorded],1800,2017-12-06,"North America, United States, Illinois, Cook County","Elgin, Bluff Spring Fen",IL: Cook Co: Bluff Spring Fen,Dawn R. Roberts,2017-10-14,unverified,unknown,collector,,,CHAS:Teach,"INTERNAL NOTES: Found in collection (FIC). Incorporated into Teaching Collection, 2017. DATA HISTORY: Catalogued by Dawn R. Roberts (2017-08-30). Record last updated in Excel by Dawn R. Roberts on 2017-10-14.",,,,,,,,,,whole organism (pinned),Good. 2017-10-14.,1,in collection,Larger larva positioned on artificial reed with other insect.,,,,,,,,,,,,,,age class,nymph,2017-12-06,unknown,,,,,accepted place of collection
29,ekrimmel,E2017C.927,[CHAS:Mamm]E2017C,Ischnura ramburii,legacy,Michael Portala,2017,Rambur's Forktail.,[no date recorded],1800,2017-12-06,"North America, United States, Illinois, Cook County","Elgin, Bluff Spring Fen",IL: Cook Co: Bluff Spring Fen,Dawn R. Roberts,2017-10-14,unverified,unknown,collector,,,CHAS:Teach,"INTERNAL NOTES: Found in collection (FIC). Incorporated into Teaching Collection, 2017. DATA HISTORY: Catalogued by Dawn R. Roberts (2017-08-30). Record last updated in Excel by Dawn R. Roberts on 2017-10-14.",,,,,,,,,,whole organism (pinned),Good. 2017-10-14.,1,in collection,Exoskelton shed.,,,,,,,,,,,,,,age class,nymph,2017-12-06,unknown,,,,,accepted place of collection
30,ekrimmel,E2017C.928,[CHAS:Mamm]E2017C,Ischnura ramburii,legacy,Michael Portala,2017,Rambur's Forktail.,[no date recorded],1800,2017-12-06,"North America, United States, Illinois, Cook County","Elgin, Bluff Spring Fen",IL: Cook Co: Bluff Spring Fen,Dawn R. Roberts,2017-10-14,unverified,unknown,collector,,,CHAS:Teach,"INTERNAL NOTES: Found in collection (FIC). Incorporated into Teaching Collection, 2017. DATA HISTORY: Catalogued by Dawn R. Roberts (2017-08-30). Record last updated in Excel by Dawn R. Roberts on 2017-10-14.",,,,,,,,,,whole organism (pinned),Good. 2017-10-14.,1,in collection,,,,,,,,,,,,,,,age class,nymph,2017-12-06,unknown,,,,,accepted place of collection
31,ekrimmel,E2017C.929,[CHAS:Mamm]E2017C,Ischnura ramburii,legacy,Michael Portala,2017,Rambur's Forktail.,[no date recorded],1800,2017-12-06,no higher geography recorded,no specific locality recorded,[no locality recorded],Dawn R. Roberts,2017-10-14,unverified,unknown,collector,,,CHAS:Teach,"INTERNAL NOTES: Found in collection (FIC). Incorporated into Teaching Collection, 2017. DATA HISTORY: Catalogued by Dawn R. Roberts (2017-08-30). Record last updated in Excel by Dawn R. Roberts on 2017-10-14.",,,,,,,,,,whole organism (pinned),Good. 2017-10-14.,1,in collection,Exoskelton shed.,,,,,,,,,,,,,,age class,nymph,2017-12-06,unknown,,,,,accepted place of collection
1020,ekrimmel,E2017C.930,[CHAS:Mamm]E2017C,Dryas iulia,legacy,Alvin So,2016-10-08,Julia Longwing.,[no date recorded],1800,2017-12-06,no higher geography recorded,no specific locality recorded,[no locality recorded],Dawn R. Roberts,2017-11-21,unverified,unknown,collector,,,CHAS:Teach,"INTERNAL NOTES: Found in collection (FIC). Incorporated into Teaching Collection, 2017. DATA HISTORY: Inventory catalogued/verified by Alvin So (2016-10-08). Record last updated in Excel (prior to Arctos migration) by Dawn R. Roberts (2015-08-25). Record last updated in Excel by Dawn R. Roberts on 2017-11-21.",,,,,,,,,,whole organism (pinned),Good.,1,in collection,"Riker box containing two Julia Longwing butterflies, one showing the dorsal side, one showing the ventral side.",,,,,,,,,,,,,,,,,,,,,,accepted place of collection
67,ekrimmel,E2017C.931,[CHAS:Mamm]E2017C,Papilio cresphontes,legacy,Dawn R. Roberts,2017-10-07,Giant Swallowtail Butterfly.,[no date recorded],1800,2017-12-06,no higher geography recorded,no specific locality recorded,[no locality recorded],Dawn R. Roberts,2017-10-07,unverified,unknown,collector,,,CHAS:Teach,"INTERNAL NOTES: Found in PNNM Volunteer Office cabinet. Incorporated into Teaching Collection, 2017. DATA HISTORY: Inventory catalogued/verified by Dawn R. Roberts (2017-10-07). Record last updated in Excel by Dawn R. Roberts on 2017-10-07.",,,,,,,,,,whole organism (pinned),Good.,1,in collection,Riker box with dorsal side up.,,,,,,,,,,,,,,age class,adult,2017-12-06,unknown,,,,,accepted place of collection
76,ekrimmel,E2017A.9,[CHAS:Mamm]E2017A,Zophobas morio,legacy,Michael Portala,2017,Darkling Beetle.,[received date: 2017-08],2017-08-01,2017-08-31,no higher geography recorded,no specific locality recorded,[no locality recorded],Dawn R. Roberts,2017-10-14,unverified,Michael Portala,collector,Michael Portala,preparator,CHAS:Teach,"INTERNAL NOTES: Found in collection (FIC). Incorporated into Teaching Collection, 2017. DATA HISTORY: Catalogued by Dawn R. Roberts (2017-08-30). Record last updated in Excel by Dawn R. Roberts on 2017-10-14.",,,,,,,,,,whole organism (pinned),Good. 2017-10-14.,1,in collection,Specimen prepared in 2017-08.,,,,,,verbatim collector,Michael Portala,2017-12-06,Erica Krimmel,,,,,age class,nymph,2017-12-06,unknown,,,,,accepted place of collection
77,ekrimmel,E2017A.10,[CHAS:Mamm]E2017A,Zophobas morio,legacy,Michael Portala,2017,Darkling Beetle.,[received date: 2017-08],2017-08-01,2017-08-31,no higher geography recorded,no specific locality recorded,[no locality recorded],Dawn R. Roberts,2017-10-14,unverified,Michael Portala,collector,Michael Portala,preparator,CHAS:Teach,"INTERNAL NOTES: Found in collection (FIC). Incorporated into Teaching Collection, 2017. DATA HISTORY: Catalogued by Dawn R. Roberts (2017-08-30). Record last updated in Excel by Dawn R. Roberts on 2017-10-14.",,,,,,,,,,whole organism (pinned),Good. 2017-10-14.,1,in collection,Specimen prepared in 2017-08.,,,,,,verbatim collector,Michael Portala,2017-12-06,Erica Krimmel,,,,,age class,nymph,2017-12-06,unknown,,,,,accepted place of collection
78,ekrimmel,E2017A.11,[CHAS:Mamm]E2017A,Zophobas morio,legacy,Michael Portala,2017,Darkling Beetle.,[received date: 2017-08],2017-08-01,2017-08-31,no higher geography recorded,no specific locality recorded,[no locality recorded],Dawn R. Roberts,2017-10-14,unverified,Michael Portala,collector,Michael Portala,preparator,CHAS:Teach,"INTERNAL NOTES: Found in collection (FIC). Incorporated into Teaching Collection, 2017. DATA HISTORY: Catalogued by Dawn R. Roberts (2017-08-30). Record last updated in Excel by Dawn R. Roberts on 2017-10-14.",,,,,,,,,,whole organism (pinned),Good. 2017-10-14.,1,in collection,Specimen prepared in 2017-08.,,,,,,verbatim collector,Michael Portala,2017-12-06,Erica Krimmel,,,,,age class,pupa,2017-12-06,unknown,,,,,accepted place of collection
79,ekrimmel,E2017A.12,[CHAS:Mamm]E2017A,Zophobas morio,legacy,Michael Portala,2017,Darkling Beetle.,[received date: 2017-08],2017-08-01,2017-08-31,no higher geography recorded,no specific locality recorded,[no locality recorded],Dawn R. Roberts,2017-10-14,unverified,Michael Portala,collector,Michael Portala,preparator,CHAS:Teach,"INTERNAL NOTES: Found in collection (FIC). Incorporated into Teaching Collection, 2017. DATA HISTORY: Catalogued by Dawn R. Roberts (2017-08-30). Record last updated in Excel by Dawn R. Roberts on 2017-10-14.",,,,,,,,,,whole organism (pinned),Good. 2017-10-14.,1,in collection,Specimen prepared in 2017-08.,,,,,,verbatim collector,Michael Portala,2017-12-06,Erica Krimmel,,,,,age class,adult,2017-12-06,unknown,,,,,accepted place of collection
96,ekrimmel,E2017C.932,[CHAS:Mamm]E2017C,Actias luna,legacy,unknown,,Luna Moth.,[no date recorded],1800,2017-12-06,no higher geography recorded,no specific locality recorded,[no locality recorded],Dawn R. Roberts,2017-11-04,unverified,unknown,collector,,,CHAS:Teach,"INTERNAL NOTES: Found in collection (FIC). Incorporated into Teaching Collection, 2017. DATA HISTORY: Catalogued by Dawn R. Roberts (2017-08-30). Record last updated in Excel by Dawn R. Roberts on 2017-11-04.",,,,,,,,,,whole organism (pinned),Excellent.,4,in collection,Illustrates the process of complete and incomplete (simple) insect metamorphosis.,,,,,,age class,nymph,2017-12-06,unknown,age class,pupa,2017-12-06,unknown,age class,adult,2017-12-06,unknown,age class,egg,2017-12-06,unknown,accepted place of collection
97,ekrimmel,E2017C.933,[CHAS:Mamm]E2017C,Callosamia sp.,legacy,unknown,,Silk Moth.,[no date recorded],1800,2017-12-06,no higher geography recorded,no specific locality recorded,[no locality recorded],Dawn R. Roberts,2017-11-04,unverified,unknown,collector,,,CHAS:Teach,"INTERNAL NOTES: Found in collection (FIC). Incorporated into Teaching Collection, 2017. DATA HISTORY: Catalogued by Dawn R. Roberts (2017-08-30). Record last updated in Excel by Dawn R. Roberts on 2017-11-04.",,,,,,,,,,whole organism (pinned),Excellent.,6,in collection,Illustrates the process of complete and incomplete (simple) insect metamorphosis.,,,,,,age class,nymph,2017-12-06,unknown,age class,pupa,2017-12-06,unknown,age class,adult,2017-12-06,unknown,age class,egg,2017-12-06,unknown,accepted place of collection
99,ekrimmel,E2017C.934,[CHAS:Mamm]E2017C,Pseudocreobotra wahlbergii,legacy,unknown,,Spiny Flower Mantis.,[no date recorded],1800,2017-12-06,no higher geography recorded,no specific locality recorded,[no locality recorded],Dawn R. Roberts,2017-11-04,unverified,unknown,collector,,,CHAS:Teach,"INTERNAL NOTES: Found in collection (FIC). Incorporated into Teaching Collection, 2017. DATA HISTORY: Catalogued by Dawn R. Roberts (2017-08-30). Record last updated in Excel by Dawn R. Roberts on 2017-11-04.",,,,,,,,,,whole organism (pinned),Excellent.,1,in collection,Specimen prepared by Michael Portala (2017-08). Illustrates the process of complete and incomplete (simple) insect metamorphosis.,,,,,,,,,,,,,,,,,,,,,,accepted place of collection
100,ekrimmel,E2017C.935,[CHAS:Mamm]E2017C,Sphodromantis lineola,legacy,unknown,,African Mantis.,[no date recorded],1800,2017-12-06,no higher geography recorded,no specific locality recorded,[no locality recorded],Dawn R. Roberts,2017-11-04,unverified,unknown,collector,,,CHAS:Teach,"INTERNAL NOTES: Found in collection (FIC). Incorporated into Teaching Collection, 2017. DATA HISTORY: Catalogued by Dawn R. Roberts (2017-08-30). Record last updated in Excel by Dawn R. Roberts on 2017-11-04.",,,,,,,,,,whole organism (pinned),Excellent.,1,in collection,Specimen prepared by Michael Portala (2017-08). Illustrates the process of complete and incomplete (simple) insect metamorphosis.,,,,,,,,,,,,,,age class,adult,2017-12-06,unknown,,,,,accepted place of collection
101,ekrimmel,E2017C.936,[CHAS:Mamm]E2017C,Tenodera sinensis,legacy,unknown,,Chinese Mantis.,[no date recorded],1800,2017-12-06,no higher geography recorded,no specific locality recorded,[no locality recorded],Dawn R. Roberts,2017-11-04,unverified,unknown,collector,,,CHAS:Teach,"INTERNAL NOTES: Found in collection (FIC). Incorporated into Teaching Collection, 2017. DATA HISTORY: Catalogued by Dawn R. Roberts (2017-08-30). Record last updated in Excel by Dawn R. Roberts on 2017-11-04.",,,,,,,,,,whole organism (pinned),Excellent.,1,in collection,Specimen prepared by Michael Portala (2017-08). Illustrates the process of complete and incomplete (simple) insect metamorphosis.,,,,,,,,,,,,,,,,,,,,,,accepted place of collection
277,ekrimmel,E2017C.937,[CHAS:Mamm]E2017C,Testudines,legacy,unknown,,Turtle eggs.,[no date recorded],1800,2017-12-06,no higher geography recorded,no specific locality recorded,[no locality recorded],Dawn R. Roberts,2017-11-09,unverified,unknown,collector,,,CHAS:Teach,"INTERNAL NOTES: Found in collection (FIC). Incorporated into Teaching Collection, 2017. EXHIBIT AND LOAN HISTORY: Loan, PNNM, exhibit, Beecher Lab, prior to January 2008 to April 2012. DATA HISTORY: Inventoried by Dawn R. Roberts (2012-04-03). Record last updated in Excel by Dawn R. Roberts on 2017-11-09.",,,,,,,,,,egg shell (dry),Fair. 2017: eggs broken.,5,in collection,,,,,,,,,,,,,,,,,,,,,,,accepted place of collection
293,ekrimmel,E2017C.938,[CHAS:Mamm]E2017C,Testudines,legacy,unknown,,Turtle eggs.,[no date recorded],1800,2017-12-06,no higher geography recorded,no specific locality recorded,[no locality recorded],Dawn R. Roberts,2017-11-09,unverified,unknown,collector,,,CHAS:Teach,"INTERNAL NOTES: Found in collection (FIC). Incorporated into Teaching Collection, 2017. EXHIBIT AND LOAN HISTORY: Loan, PNNM, exhibit, Beecher Lab, prior to January 2008 to April 2012. DATA HISTORY: Inventoried by Dawn R. Roberts (2012-04-03). Record last updated in Excel by Dawn R. Roberts on 2017-11-09.",,,,,,,,,,egg shell (dry),Fair. 2017: eggs broken.,4,in collection,,,,,,,,,,,,,,,,,,,,,,,accepted place of collection
