"ACCN_NUMBER","CRMK"
"75","Information from accession book. Verbatim received from agent: H. Vendreyes. Origin of material: Jamaica."
"81","Information from accession book.. Verbatim agency associated with: Smithsonian Institution. Origin of material: Various localities."
"82","Information from accession book.. Verbatim agency associated with: Smithsonian Institution. Collected/created by various people. Origin of material: Various localities."
"123","Information from accession book. Verbatim received from agent: unknown. Origin of material: Cleveland, Ohio."
"124","Information from accession book. Verbatim received from agent: G.F. Clingman. Collected/created by George F. Clingman. Origin of material: United States."
"125","Information from accession book. Verbatim received from agent: C.G. Newberry. Origin of material: Washington D.C."
"126","Information from accession book. Verbatim received from agent: C.G. Newberry. Origin of material: United States."
"200","Information from accession book. Verbatim received from agent: E.H. Ashmun. Correspondence found relating to a specimen exchange with Ashmun. Temporary accession number 1898.2 assigned in relation to exchange correspondence until it was determined that it was connected to this record in the accession book. (D.Roberts) . Collected/created by E.H. Ashmun. Origin of material: Albuquerque, New Mexico."
"250","Information from accession book. Verbatim received from agent: John L. Healy. Collected/created by John L. Healy. Origin of material: Illinois."
"251","Information from accession book, accession card. Verbatim received from agent: R.S. Hannon. Collected/created by R.S. Hannon. Origin of material: United States."
"253","Information from accession book, accession card. Verbatim received from agent: Edmund Norton. Origin of material: United States."
"255","Information from accession book. Verbatim received from agent: W.W. Borden. Origin of material: United States."
"256","Information from accession book. Verbatim received from agent: A.S. Tiffany. Origin of material: United States."
"257","Information from accession book. Verbatim received from agent: James Knapp. Origin of material: United States."
"258","Information from accession book, accession card. Verbatim received from agent: E.W. Nelson. Origin of material: United States."
"259","Origin of material: Bertram, Iowa. Associated with CHAS catalog numbers PAL-2535. Information from accession book. Verbatim received from agent: S.C. Comstock. Collected/created by S.C. Comstock."
"260","Origin of material: Custer County, Nebraska. Associated with CHAS catalog numbers PAL-2444. Information from accession book. Verbatim received from agent: Malcolm A. Cameron. Collected/created by Malcolm A. Cameron."
"261","Information from accession book. Verbatim received from agent: Arthur Peabody. Origin of material: United States."
"262","Information from accession book. Verbatim received from agent: W.W. Bayden. Associated catalogue numbers: PAL-1362. Origin of material: United States."
"263","Information from accession book. Verbatim received from agent: A.W. Vogdes. Origin of material: United States."
"264","Information from accession book. Verbatim received from agent: C.J. Roney. Origin of material: United States."
"266","Information from accession book. Verbatim received from agent: O. Everett. Origin of material: United States."
"267","Information from accession book. Verbatim received from agent: Cyrus B. DeVry. Collected/created by Cyrus B. DeVry. Origin of material: Lincoln Park, Chicago."
"268","Information from accession book. Verbatim received from agent: Selim McArthur. Origin of material: California."
"269","Information from accession book. Verbatim received from agent: unknown. Collected/created by unknown. Origin of material: Magician Lake, Van Bureu Co. Michigan."
"270","Information from accession book. Verbatim received from agent: unknown. Collected/created by unknown. Origin of material: unknown."
"271","Information from accession book. Verbatim received from agent: Eliot Blackwelder. Collected/created by Eliot Blackwelder. Origin of material: Vicinity of Chicago."
"272","Information from accession book. Verbatim received from agent: J.G. Parker Jr. Collected/created by J.G. Parker Jr. Origin of material: United States."
"273","Information from accession book.. Verbatim agency associated with: U.S. Nat. National Museum. Collected/created by various collectors. Origin of material: United States."
"274","Information from accession book. Verbatim received from agent: unknown. Collected/created by unknown. Origin of material: Cleveland, Ohio."
"275","Date: '2-20-1873'. Information from accession book. Verbatim received from agent: C.E. Aiken. Collected/created by C.E. Aiken, 2/20/1873. Origin of material: El Paso County, Colorado."
"276","Date: '""1-2-1895""'. Information from accession book. Verbatim received from agent: E. Atkins. Date collected: 1/2/1895. Origin of material: Milton, Wisconsin."
"280","With embedded shell of Lymnaea. Origin of material: Wisconsin. Associated with CHAS catalog numbers Geology Catalog #: 390. Information from accession book. Verbatim received from agent: Alexander Goethel. Collected/created by Alexander Goethel."
"281","All Types. Information from accession book. Verbatim received from agent: George H. Laflin. Origin of material: Various localities."
"284","Information from accession book. Correspondence in Accession file and copies in Gifts-1882. Verbatim received from agent: J.S. Kingsley. Verbatim agency associated with: Boston Society of Natural History. Origin of material: Massachusetts [Salem and Annisquam, Mass., Hawaii, France, Philadelphia, PA,, Cincinnati, OH]."
"285","Information from accession book. Verbatim received from agent: A.O. Lentheuser. Origin of material: St. Joseph River, Indiana."
"298","Origin of material: Rhode Island. Associated with CHAS catalog numbers Geology Catalog # (Old Catalog #): 416(20877), 417, 418(20863), 419(20858), 420(16962), 421(10433), 422(20806), 423(20814), 424(828), 425(728), 426, 427(20893), (5008). Information from accession book. Incomplete list in Accession File; updated from information in Geology Inventory Record last updated in Accession spreadsheet by A. King on 2014-05-19. Verbatim received from agent: F.C. Baker. Collected/created by F.C. Baker."
"300","Origin of material: North Atlantic Ocean. Associated with CHAS catalog numbers Paleontology: 2361, 3165, 3167. Information from accession book. Verbatim received from agent: F.C. Baker. Collected/created by F.C. Baker."
"301","Information from accession book.. Verbatim agency associated with: Washington Commission, W.C.E. Origin of material: Washington."
"308","Information from accession book. Verbatim received from agent: Frank E. Flemming. Collected/created by Frank E. Flemming. Origin of material: South pond, Lincoln Park [Chicago]."
"309","Information from accession book. Card with information found loose in drawer during 2010-2012 IMLS inventory, not able to be reassociated with a particular specimen. Card in Accession File and copies in Catalog files and in Purchases-1893. [A. King 11/9/2011] Verbatim received from agent: unknown. Origin of material: Turkey."
"311","Information from accession book. Verbatim received from agent: W.S. Strode. Origin of material: Indiana and Illinois."
"312","Information from accession book. Verbatim received from agent: C.E. Doolittle. Collected/created by C.E. Doolittle. Origin of material: Lake Shore, Lincoln Park [Chicago]."
"316","Polished. Information from accession book. Verbatim received from agent: Frederick Stearns. Collected/created by Frederick Stearns. Origin of material: Italy."
"317","Information from accession book. Verbatim received from agent: Frederick Stearns. Collected/created by Frederick Stearns. Origin of material: Gulf of California."
"318","Information from accession book. Verbatim received from agent: Frederick Stearns. Collected/created by Frederick Stearns. Origin of material: Japan."
"330","Information from accession book. Verbatim received from agent: S.H. Peabody. Origin of material: Illinois."
"331","Information from accession book. Verbatim received from agent: Mr. Wilson. Origin of material: Panama."
"332","Information from accession book. Verbatim received from agent: P. Van Schaack. Origin of material: Florida."
"333","Information from accession book. Verbatim received from agent: R.S. Harmon. Origin of material: New Guinea."
"341","Information from accession book. Verbatim received from agent: Arthur Compton. Origin of material: Florida."
"358","Information from accession book.. Verbatim agency associated with: U.S. Fish Commission. Origin of material: New England Coast."
"359","Information from accession book.. Verbatim agency associated with: Buffalo Academy of Sciences. Origin of material: Red Sea."
"360","Information from accession book.. Verbatim agency associated with: U.S. Fish Commission. Origin of material: New England States."
"361","Probably dredged after the big Chicago fire and just before the death of Mr. Stimpson.  Sent to the Smithsonian Institution for naming. Information from accession book. Verbatim received from agent: William Stimpson. Collected/created by William Stimpson. Origin of material: Yucatan Channel."
"362","Information from accession book. Verbatim received from agent: William Stimpson. Collected/created by William Stimpson. Origin of material: West Indian region."
"363","Purchased. Information from accession book. Verbatim received from agent: unknown. Origin of material: Japan."
"366","Information from accession book. Verbatim received from agent: B.W. Goodsell. Origin of material: Yellowstone [National] Park."
"367","Information from accession book. Verbatim received from agent: Dr. James Stubbs. Origin of material: Yellowstone [National] Park."
"371","Information from accession book. Verbatim received from agent: M.W. Hawley. Origin of material: Bahamas, Florida."
"372","Information from accession book. Verbatim received from agent: F.C. Baker Frank C. Collected/created by F.C. Baker. Origin of material: Vera Cruz, Mexico, Punta Gorda Reef."
"373","Information from accession book. Verbatim received from agent: George H. Laflin. Origin of material: Various localities."
"374","Information from accession book. Verbatim received from agent: S.C. Clark. Origin of material: East Florida."
"375","Information from accession book. Verbatim received from agent: John S. Kendall. Origin of material: Florida."
"376","Information from accession book. Verbatim received from agent: H.C. Ford. Collected/created by H.C. Ford. Origin of material: California."
"377","Information from accession book. Verbatim received from agent: F.M. Woodruff Frank M. Collected/created by F.M. Woodruff. Origin of material: Meredosia, Illinois."
"378","Information from accession book. Verbatim received from agent: W.A. White. Origin of material: New Orleans, Louisiana."
"379","Information from accession book. Verbatim received from agent: Robert Kennicott. Origin of material: United States."
"380","Information from accession book. Verbatim received from agent: E.A. Turner. Origin of material: Winona Lake, Indiana."
"383","Origin of material: Fulton Co., Illinois. Associated with CHAS catalog numbers Geo Catalog # (Old Catalog #): 746(913), 747(902), 748(2903), 749(908), 750(909). Information from accession book. Incomplete list in Accession file. Record last updated in Accession spreadsheet by A. King on 2014-06-02. Verbatim received from agent: Robert McKeighan. Collected/created by Robert McKeighan."
"384","Information from accession book. Verbatim received from agent: Daniel Thompson. Origin of material: United States."
"385","Information from accession book. Verbatim received from agent: E.W. Nelson. Origin of material: United States."
"392","Information from accession book. Verbatim received from agent: George K. Clapp. Origin of material: near Scotsdale, Alleghany Co, Pennsylvania."
"393","Information from accession book.. Verbatim agency associated with: Washington Commission, W.C.E. Origin of material: Washington State."
"394","Cut for buttons. Information from accession book. Verbatim received from agent: John Dreuth. Origin of material: Indian Ocean."
"395","Information from accession book. Verbatim received from agent: Andrew Bolter. Origin of material: Florida."
"396","Information from accession book, accession card. Verbatim received from agent: unknown. Origin of material: Texas."
"397","Information from accession book. Verbatim received from agent: W.W. Cooper. Origin of material: United States."
"400","Information from accession book. Verbatim received from agent: Dr. V. Sterki Victor. Origin of material: United States."
"409","Information from accession book. Verbatim received from agent: Roger S.G. Boutell. Origin of material: Japan."
"410","Information from accession book. Verbatim received from agent: Frank C. Baker. Collected/created by Frank C. Baker. Origin of material: Chicago."
"411","Information from accession book. Verbatim received from agent: F.M. Woodruff. Collected/created by Frank M. Woodruff. Origin of material: Chicago."
"412","Information from accession book. Verbatim received from agent: F.M. Woodruff. Collected/created by Frank M. Woodruff. Origin of material: Chicago."
"413","Information from accession book. Verbatim received from agent: Master Steppan. Origin of material: Chicago."
"414","Information from accession book. Verbatim received from agent: Mr. Taylor. Origin of material: Chicago."
"419","Information from accession book. Verbatim received from agent: John Ferry. Origin of material: Chicago."
"425","Information from accession book.. Verbatim agency associated with: Lincoln Park Com. Commissioners. Collected/created by unknown. Origin of material: unknown."
"426","Information from accession book. Verbatim received from agent: George H. Clapp. Collected/created by George H. Clapp. Origin of material: Pittsburg, Penn."
"436","Information from accession book, accession card. Record last updated in Accession spreadsheet by D. Roberts on 2015-01-13. Verbatim received from agent: William C. Egan. Origin of material: [predominately Silurian fossils from the Bridgeport area]."
"446","Information from accession book. Verbatim received from agent: E.W. Engleholm. Origin of material: Fox River, Illinios and Mississippi River."
"457","Information from accession book. Verbatim received from agent: Mrs. Alvin J. Butz. Origin of material: Brazil."
"464","Information from accession book. Verbatim received from agent: W.C. Egan. Origin of material: Lake Michigan, Chicago."
"465","Information from accession book.. Verbatim agency associated with: Lincoln Park Com. Commissioners. Origin of material: Europe."
"471","Information from accession book. Verbatim received from agent: William Cowan. Origin of material: Whitby, England."
"480","Information from accession book. Verbatim received from agent: F.M. Woodruff. Collected/created by F.M. Woodruff. Origin of material: Chicago."
"481","Information from accession book. Verbatim received from agent: W.C. Egan. Collected/created by F.M. Woodruff. Origin of material: Chicago."
"482","Information from accession book. Verbatim received from agent: W.C. Egan. Collected/created by F.M. Woodruff."
"483","Information from accession book. Verbatim received from agent: Mr. Eliot Blackwelder. Collected/created by Mr. Eliot Blackwelder. Origin of material: Chicago."
"484","Information from accession book. Verbatim received from agent: Mr. Eliot Blackwelder. Collected/created by Mr. Eliot Blackwelder. Origin of material: Chicago."
"485","38 families; 95 genera. Information from accession book. Verbatim received from agent: Mr. Henry F. Munroe. Origin of material: Illinois."
"486","Information from accession book. Verbatim received from agent: F.M. Woodruff. Collected/created by F.M. Woodruff."
"491","Information from accession book. Verbatim received from agent: Thos. E & John E. Wilder. Origin of material: South America."
"492","Information from accession book. Verbatim received from agent: Walter Sawyer. Origin of material: Spokane, Washington."
"501","Information from accession book. Memo from 1949 citing inquiry from family members about original donation in Accession file and copy in Gifts-1893. [A. King] Verbatim received from agent: Andrew Bolter. Origin of material: United States."
"502","Information from accession book. Verbatim received from agent: A.J. Snyder, W.E. Longley. Origin of material: United States."
"503","Information from accession book. Verbatim received from agent: Prof. O.S. Westcott. Origin of material: United States."
"504","Information from accession book. Verbatim received from agent: Mrs. C.N. Holden, Jr. Origin of material: Florida."
"505","Information from accession book. Verbatim received from agent: F.M. Woodruff. Collected/created by F.M. Woodruff. Origin of material: Chicago, Illinois."
"507","Information from accession book. Verbatim received from agent: John S. Kendall. Origin of material: Florida."
"509","Information from accession book. Verbatim received from agent: F.M. Woodruff. Collected/created by F.M. Woodruff. Origin of material: Chicago."
"510","Information from accession book. Verbatim received from agent: J.G. Parker Jr. Collected/created by J.G. Parker Jr. Origin of material: Chicago."
"511","Information from accession book, accession card. Verbatim received from agent: C.F. Gunther. Origin of material: Green River, Wyoming."
"512","Information from accession book. Verbatim received from agent: Mrs. T.J. Staley. Origin of material: Green River, Wyoming."
"519","Information from accession book. Verbatim received from agent: C.F. Gunther. Origin of material: California."
"527","Information from accession book.. Verbatim agency associated with: Lincoln Park Com. Commissioners. Origin of material: South America."
"534","Information from accession book. Verbatim received from agent: F.M. Woodruff. Collected/created by F.M. Woodruff. Origin of material: Illinois."
"535","Information from accession book. Verbatim received from agent: F.M. Woodruff. Collected/created by F.M. Woodruff. Origin of material: Illinois."
"555","Information from accession book. Record last updated in Accession spreadsheet by D. Roberts on 2014-06-14.. Verbatim agency associated with: Santa Clara Co. Com. [County Commision]. Origin of material: California."
"562","Information from accession book. Verbatim received from agent: A. Booth Packing Co.. Verbatim agency associated with: A. Booth Packing Co. Origin of material: California."
"563","Information from accession book. Verbatim received from agent: Mr. Engleholm. Origin of material: Dundee, Illinois."
"578","Information from accession book. Verbatim received from agent: F.M. Woodruff. Collected/created by F.M. Woodruff."
"579","Information from accession book. Deed of Gift in Accession File. Specimens sent through a ""young Danish engineer, Medahl"", consisted of ""42 species of plants, 25 species of Victorian Birds eggs, Banksia grandis & B. coccinea cones from W. Australia, collection of Australian seeds, parcel of publications of Australian plants. Related to Accession #580. Verbatim received from agent: Baron Von Mueller. Origin of material: Australia."
"580","Information from accession book. Deed of Gift in Accession File. Specimens sent through a ""young Danish engineer, Medahl"", consisted of ""42 species of plants, 25 species of Victorian Birds eggs, Banksia grandis & B. coccinea cones from W. Australia, collection of Australian seeds, parcel of publications of Australian plants. Related to Accession #579. Verbatim received from agent: Baron Von Mueller. Origin of material: Australia."
"581","Information from accession book. Verbatim received from agent: Eliot Blackwelder. Origin of material: Chicago."
"586","Information from accession book. Verbatim received from agent: F.M. Woodruff. Collected/created by F.M. Woodruff. Origin of material: Chicago."
"593","Information from accession book. Letter in Accession file and copy in Purchases-1895 (from 1951) in which a visiting researcher sends a citation taken from The Nautilus. Vol IX, No. 5, 1895: p. 55, ""The Chicago Academy of Sciences has recently purchased of Mt. John Walton of Rochester his collection of Cypraeidae."" This reference is supported by a reference in the 38th Annual Report of the Chicago Academy of Sciences, p. 6 citing the monetary support of George H. Laflin to the Curator, Frank C. Baker for a collecting trip in the East in July where he brought back, "".a large number of finely mounted birds and mammals, besides shells, corals and minerals."". [A. King]. Verbatim received from agent: George H. Laflin. Collected/created by John Walton."
"602","Information from accession book. Verbatim received from agent: Albert Sibilisky. Origin of material: Chicago."
"603","Information from accession book. Verbatim received from agent: Max Kruger. Origin of material: Chicago."
"608","Information from accession book.. Verbatim agency associated with: Lincoln Park Com. Commissioners. Origin of material: Chicago."
"638","Information from accession book. Verbatim received from agent: J.G. Parker Jr. Collected/created by J. Grafton Parker Jr. Origin of material: Chicago."
"657","Information from accession book. Verbatim received from agent: Mand W. Morey. Origin of material: California."
"658","Information from accession book. Verbatim received from agent: Mand W. Morey. Origin of material: California."
"659","Information from accession book. Verbatim received from agent: Mand W. Morey. Origin of material: California."
"662","Information from accession book. Verbatim received from agent: C.N. Holden. Origin of material: Mostly from Chicago."
"668","Information from accession book. Verbatim received from agent: J.H. Sylvester. Origin of material: Chicago."
"676","Information from accession book. Verbatim received from agent: F.M. Woodruff. Origin of material: Pelican Rapids, Minn. [Minnesota]."
"682","Information from accession book. Verbatim received from agent: J.R. Putnam. Origin of material: Florida."
"683","Information from accession book. Verbatim received from agent: J.R. Putnam. Origin of material: Florida."
"694","Information from accession book. Verbatim received from agent: Charles H. Taylor. Origin of material: Alaska."
"706","Information from accession book. Verbatim received from agent: Mr. Cross. Origin of material: Florida."
"738","Information from accession book. Verbatim received from agent: Maude E. Hall. Origin of material: Rochester, N.Y. [New York]."
"739","Information from accession book. Verbatim received from agent: Harry S. Hall. Origin of material: Rochester, N.Y. [New York]."
"759","Information from accession book. Verbatim received from agent: E.J. Hill. Origin of material: Illinois."
"782","Information from accession book.. Verbatim agency associated with: Natural Hist. History Survey. Origin of material: Chicago."
"783","Information from accession book. Verbatim received from agent: William K. Higley. Origin of material: Chicago."
"797","Information from accession book. Verbatim received from agent: Carl Dilg. Origin of material: Mazon Creek."
"798","Information from accession book. Verbatim received from agent: Carl Dilg. Origin of material: Mazon Creek."
"799","Information from accession book.. Verbatim agency associated with: Natural Hist. History Survey. Origin of material: Chicago."
"801","Information from accession book. See correspondence in Accession file and copy in Gifts-1896. Verbatim received from agent: Virginius H. Chase. Origin of material: Illinois."
"802","Origin of material: Illinois. Associated with CHAS catalog numbers Oology: 802. Should have field notes according to oology dataset. Information from accession book. See correspondence in Accession file and copy in Gifts-1896. Verbatim received from agent: Virginius H. Chase. Collected/created by Virginius H. Chase."
"803","Information from accession book. Verbatim received from agent: Grace M. Hall. Origin of material: Rochester, N.Y. [New York]."
"809","Information from accession book.. Verbatim agency associated with: Nat. Natural History Survey. Origin of material: Chicago."
"810","Information from accession book. Verbatim received from agent: J.G. Parker Jr. Origin of material: Chicago."
"812","Information from accession book. Verbatim received from agent: Virginius H. Chase. Origin of material: Illinois."
"815","Information from accession book. Verbatim received from agent: C.F. Gunther. Origin of material: Indian Ocean."
"816","Information from accession book. See correspondence in Accession file and copy in Gifts-1896. Verbatim received from agent: C.F. Hathaway. Origin of material: Texas."
"817","Information from accession book. See correspondence in Accession file and copy in Gifts-1896. Verbatim received from agent: C.F. Hathaway. Origin of material: Texas."
"818","Information from accession book. Verbatim agency associated with: Nat. [Natural] History Survey. Origin of material: Chicago."
"828","Information from accession book. Verbatim received from agent: Eugene & Ralph Bliss. Origin of material: Chicago."
"832","Information from accession book. Verbatim received from agent: Miss Deda Versema. Origin of material: Lamont, Ills. [Illinois]."
"838","Information from accession book. Verbatim received from agent: T. Jensen. Origin of material: Chicago."
"840","Information from accession book.. Verbatim agency associated with: Nat. Natural History Survey. Origin of material: Chicago."
"842","Information from accession book. Verbatim received from agent: John Henry. Origin of material: Chicago."
"846","Information from accession book. Verbatim received from agent: F.M. Woodruff. Origin of material: Chicago."
"849","Information from accession book. Verbatim received from agent: B.T. Gault. Origin of material: Illinois."
"850","Information from accession book.. Verbatim agency associated with: Nat. Natural History Survey. Origin of material: Chicago."
"852","Information from accession book. Verbatim received from agent: Dr. Oliver Marcy. Origin of material: Evanston."
"856","Information from accession book.. Verbatim agency associated with: Nat. Natural History Survey. Origin of material: Cook County, Illinois."
"859","Information from accession book. Verbatim received from agent: Henry A. Pilsbry. Origin of material: Florida."
"865","Information from accession book. Verbatim received from agent: A.S. Bertolet. Origin of material: Mt. Orizaba, Mexico."
"866","Information from accession book. Verbatim received from agent: A.S. Bertolet. Origin of material: Mt. Orizaba, Mexico."
"868","Information from accession book. Correspondence in Accession file and copy in Gifts-1896 [A. King]. Verbatim received from agent: Mrs. Josie Carpenter. Origin of material: Fossiliferous rock: quarry near Blue Island Ave. and Lincoln St.; apatite crystals: northern part of Lake of the Woods, B.A.; meteor rock: meteor fallen near Tallmadge, Ohio."
"872","Found in poplar trees. Information from accession book. Verbatim received from agent: Dr. E.M. Hale. Origin of material: North Carolina."
"875","Information from accession book. Verbatim received from agent: F.M. Woodruff. Collected/created by F.M. Woodruff. Origin of material: Chicago and Indiana."
"876","Information from accession book. Verbatim received from agent: T. Jensen. Origin of material: Chicago."
"877","Information from accession book. Verbatim received from agent: T. Jensen. Origin of material: Chicago."
"878","Information from accession book. Verbatim received from agent: T. Jensen. Origin of material: Chicago."
"883","Information from accession book. Verbatim received from agent: T. Jensen. Origin of material: Chicago."
"884","Information from accession book. Verbatim received from agent: T. Jensen. Origin of material: Chicago."
"885","Information from accession book. Verbatim received from agent: T. Jensen. Origin of material: Chicago."
"886","Information from accession book. Verbatim received from agent: Herman Goldbach. Origin of material: Drainage canal, Chicago."
"887","Information from accession book. Verbatim received from agent: Mrs. F.E. Baker. Origin of material: Rhode Island."
"888","Male and female. Information from accession book. Verbatim received from agent: William Seggeling. Origin of material: Lincoln Park."
"894","Information from accession book. Correspondence in Accession File and copy in Gifts-1896. Verbatim received from agent: Dr. Tarleton H. Bean. Date collected: 1888. Origin of material: Cincinnati, Ohio, principally Walnut Hill and vicinity."
"895","Information from accession book. Verbatim received from agent: Katherine Gillig. Origin of material: Chicago."
"896","Information from accession book. Verbatim received from agent: Alexander Kwiatkouske. Origin of material: Chicago."
"897","Information from accession book. Verbatim received from agent: George Schick. Origin of material: Chicago."
"898","Information from accession book.. Verbatim agency associated with: Nat. Natural History Survey. Origin of material: Chicago."
"901","Information from accession book.. Verbatim agency associated with: Walter H. Lee & Co. Origin of material: Maryland."
"902","Information from accession book. Verbatim received from agent: E.F. Wagner. Origin of material: Fox River, near Lake Co."
"905","Information from accession book. Verbatim received from agent: W.E. Bliss. Origin of material: Chicago."
"906","Information from accession book. Verbatim received from agent: F.M. Woodruff. Collected/created by F.M. Woodruff. Origin of material: Chicago."
"908","Information from accession book. Verbatim received from agent: F.M. Woodruff. Collected/created by F.M. Woodruff. Origin of material: Chicago."
"909","Information from accession book. Verbatim received from agent: F.M. Woodruff. Collected/created by F.M. Woodruff. Origin of material: Chicago."
"919","Information from accession book. Verbatim received from agent: Mr. Fliniger. Origin of material: Diversey Boulvd. [Chicago]."
"920","Information from accession book. Verbatim received from agent: William Habich. Origin of material: Chicago."
"922","Information from accession book. Verbatim received from agent: J.F. Porter. Origin of material: Woods Holl [Hole], Massachusetts."
"923","Information from accession book. Verbatim received from agent: J.F. Porter. Origin of material: Mt. Stevens, Br. [British] Columbia."
"925","Information from accession book. Verbatim received from agent: Dr. Marie W. Hawley. Origin of material: Bahamas."
"927","Information from accession book. Verbatim received from agent: F.M. Woodruff. Collected/created by F.M. Woodruff. Origin of material: Chicago."
"928","Information from accession book. Verbatim received from agent: F.M. Woodruff. Collected/created by F.M. Woodruff. Origin of material: Chicago."
"931","Information from accession book. Verbatim received from agent: J.G. Parker Jr. Origin of material: Chicago."
"932","Information from accession book. Verbatim received from agent: J.G. Parker Jr. Origin of material: Chicago."
"933","Information from accession book. Verbatim received from agent: W.W. Fleming. Origin of material: Chicago."
"937","Information from accession book. Verbatim received from agent: W. Hammersley. Origin of material: Chicago."
"941","Information from accession book. Verbatim received from agent: Mrs. E.C. Wiswall. Origin of material: Wisconsin."
"945","Information from accession book. Verbatim received from agent: Dr. H.N. Lyon. Origin of material: Chicago."
"946","Information from accession book. Verbatim received from agent: A.J. Snyder. Origin of material: Ogden, Utah."
"947","Information from accession book. Verbatim received from agent: Edward E. Brown. Origin of material: Weyler Cave, Va. [Virginia]."
"948","Information from accession book. Verbatim received from agent: Master Blatchford. Origin of material: Oak Park, Ills. [Illinois]."
"949","Information from accession book. Verbatim received from agent: J.G. Parker Jr. Origin of material: Chicago."
"951","Information from accession book. Verbatim received from agent: T. Jensen. Origin of material: Chicago, California."
"952","Information from accession book. Verbatim received from agent: Dr. Albert G. Seiglitz. Origin of material: Illinois, Oregon."
"953","Information from accession book. Verbatim received from agent: Mrs. S.M. Bengten. Origin of material: Indiana."
"954","Information from accession book. Verbatim received from agent: T. Jensen. Origin of material: Illinois and general."
"955","Information from accession book. Verbatim received from agent: Frank Fleming. Origin of material: Chicago."
"956","Information from accession book. Verbatim received from agent: Dr. A.W. Hitt. Origin of material: India."
"957","Information from accession book. Verbatim received from agent: Alfred Lindstrom. Origin of material: Chicago, Europe."
