guid,ASSIGNED_BY_AGENT,ASSIGNED_DATE,SPECIMEN_EVENT_REMARK,SPECIMEN_EVENT_TYPE,COLLECTING_METHOD,COLLECTING_SOURCE,VERIFICATIONSTATUS,HABITAT,VERBATIM_DATE,VERBATIM_LOCALITY,COLL_EVENT_REMARKS,BEGAN_DATE,ENDED_DATE,LOCALITY_ID,SPEC_LOCALITY,GEOREFERENCE_PROTOCOL,GEOREFERENCE_SOURCE,HIGHER_GEOG,no_verbatim_coordinates,LOCALITY_REMARKS,MAX_DEPTH,MAX_ERROR_DISTANCE,MAX_ERROR_UNITS,MIN_DEPTH,ORIG_LAT_LONG_UNITS,DATUM,DEC_LAT,DEC_LONG,DEPTH_UNITS,MAXIMUM_ELEVATION,MINIMUM_ELEVATION,ORIG_ELEV_UNITS
CHAS:Inv:24359,Anna Chinn,2019-03-07,Stratum VII.,collection,,wild caught,unverified,fine sand,"[no date recorded, prior to 1909-10-03]","FROM SPECIMEN: 200 ft. S. Foster Ave, fine sand; FROM ORIGINAL CATALOG BOOK: 200 ft. S. Foster Ave., west side [Chicago, Illinois], Stratum VII, Station I","Post-glacial fossils. North Shore channel, from Bowmanville (Foster Ave) north to Evanston and Wilmette. Survey conducted during 1909-1910-1911.; Date constrained by date received per accession records [achinn 7 March 2019].",1800-01-01,1909-10-03,10885034,,,,,,,,,,,,,,,,,,
CHAS:Inv:25418,Anna Chinn,2019-03-07,Stratum VII.,collection,,wild caught,unverified,fine silt,"[no date recorded, prior to 1909-10-03]","FROM SPECIMEN: 885 ft. N. Foster Ave, fine silt",Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1909-10-03,10884967,,,,,,,,,,,,,,,,,,
CHAS:Inv:25413,Anna Chinn,2019-03-07,Stratum VII.,collection,,wild caught,unverified,"fine silt, peaty","[no date recorded, prior to 1909-10-03]","FROM SPECIMEN: 885 ft. N. Foster Ave, fine silt, peaty",Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1909-10-03,10884967,,,,,,,,,,,,,,,,,,
CHAS:Inv:25416,Anna Chinn,2019-03-07,Stratum VII.,collection,,wild caught,unverified,"fine silt, peaty","[no date recorded, prior to 1909-10-03]","FROM SPECIMEN: 885 ft. N. Foster Ave, fine silt, peaty",Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1909-10-03,10884967,,,,,,,,,,,,,,,,,,
CHAS:Inv:25419.2,Anna Chinn,2019-03-07,Stratum VII.,collection,,wild caught,unverified,"fine silt, peaty","[no date recorded, prior to 1909-10-03]","FROM SPECIMEN: 885 ft. N. Foster Ave, fine silt, peaty",Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1909-10-03,10884967,,,,,,,,,,,,,,,,,,
CHAS:Inv:24311,Anna Chinn,2019-03-07,Stratum III.,collection,,wild caught,unverified,gravel,"[no date recorded, prior to 1909-10-03]","FROM SPECIMEN: 200 ft. S. Foster Ave, gravel; FROM ORIGINAL CATALOG BOOK: 200 ft. S. Foster Ave., west side [Chicago, Illinois], Stratum III, Station I","Post-glacial fossils. North Shore channel, from Bowmanville (Foster Ave) north to Evanston and Wilmette. Survey conducted during 1909-1910-1911.; Date constrained by date received per accession records [achinn 7 March 2019].",1800-01-01,1909-10-03,10885034,,,,,,,,,,,,,,,,,,
CHAS:Inv:24314,Anna Chinn,2019-03-07,Stratum III.,collection,,wild caught,unverified,gravel,"[no date recorded, prior to 1909-10-03]","FROM SPECIMEN: 200 ft. S. Foster Ave, gravel; FROM ORIGINAL CATALOG BOOK: 200 ft. S. Foster Ave., west side [Chicago, Illinois], Stratum III, Station I","Post-glacial fossils. North Shore channel, from Bowmanville (Foster Ave) north to Evanston and Wilmette. Survey conducted during 1909-1910-1911.; Date constrained by date received per accession records [achinn 7 March 2019].",1800-01-01,1909-10-03,10885034,,,,,,,,,,,,,,,,,,
CHAS:Inv:25050,Anna Chinn,2019-03-07,Stratum VIII.,collection,,wild caught,unverified,gravel,"[no date recorded, prior to 1909-10-03]","FROM SPECIMEN: 1402 ft. N. Foster Ave, gravel; FROM ORIGINAL CATALOG BOOK: 1402 feet, N. Foster Ave. [Chicago, Illinois], Stratum VIII, Station IX","Post-glacial fossils. North Shore channel, from Bowmanville (Foster Ave) north to Evanston and Wilmette. Survey conducted during 1909-1910-1911.; Date constrained by date received per accession records [achinn 7 March 2019].",1800-01-01,1909-10-03,10884965,,,,,,,,,,,,,,,,,,
CHAS:Inv:25208,Anna Chinn,2019-03-07,Stratum VIII.,collection,,wild caught,unverified,gravel,"[no date recorded, prior to 1909-10-03]","FROM SPECIMEN: 1402 ft. N. Foster Ave, gravel; FROM ORIGINAL CATALOG BOOK: 1402 ft. N. Foster Ave. [Chicago, Illinois], Stratum VIII, Station IX","Post-glacial fossils. North Shore channel, from Bowmanville (Foster Ave) north to Evanston and Wilmette. Survey conducted during 1909-1910-1911.; Date constrained by date received per accession records [achinn 7 March 2019].",1800-01-01,1909-10-03,10884965,,,,,,,,,,,,,,,,,,
CHAS:Inv:25210,Anna Chinn,2019-03-07,Stratum VIII.,collection,,wild caught,unverified,gravel,"[no date recorded, prior to 1909-10-03]","FROM SPECIMEN: 1402 ft. N. Foster Ave, gravel; FROM ORIGINAL CATALOG BOOK: 1402 ft. N. Foster Ave. [Chicago, Illinois], Stratum VIII, Station IX","Post-glacial fossils. North Shore channel, from Bowmanville (Foster Ave) north to Evanston and Wilmette. Survey conducted during 1909-1910-1911.; Date constrained by date received per accession records [achinn 7 March 2019].",1800-01-01,1909-10-03,10884965,,,,,,,,,,,,,,,,,,
CHAS:Inv:25212,Anna Chinn,2019-03-07,Stratum VIII.,collection,,wild caught,unverified,gravel,"[no date recorded, prior to 1909-10-03]","FROM SPECIMEN: 1402 ft. N. Foster Ave, gravel; FROM ORIGINAL CATALOG BOOK: 1402 ft. N. Foster Ave. [Chicago, Illinois], Stratum VIII, Station IX","Post-glacial fossils. North Shore channel, from Bowmanville (Foster Ave) north to Evanston and Wilmette. Survey conducted during 1909-1910-1911.; Date constrained by date received per accession records [achinn 7 March 2019].",1800-01-01,1909-10-03,10884965,,,,,,,,,,,,,,,,,,
CHAS:Inv:25213,Anna Chinn,2019-03-07,Stratum VIII.,collection,,wild caught,unverified,gravel,"[no date recorded, prior to 1909-10-03]","FROM SPECIMEN: 1402 ft. N. Foster Ave, gravel; FROM ORIGINAL CATALOG BOOK: 1402 ft. N. Foster Ave. [Chicago, Illinois], Stratum VIII, Station IX","Post-glacial fossils. North Shore channel, from Bowmanville (Foster Ave) north to Evanston and Wilmette. Survey conducted during 1909-1910-1911.; Date constrained by date received per accession records [achinn 7 March 2019].",1800-01-01,1909-10-03,10884965,,,,,,,,,,,,,,,,,,
CHAS:Inv:25215,Anna Chinn,2019-03-07,Stratum VIII.,collection,,wild caught,unverified,gravel,"[no date recorded, prior to 1909-10-03]","FROM SPECIMEN: 1402 ft. N. Foster Ave, gravel; FROM ORIGINAL CATALOG BOOK: 1402 ft. N. Foster Ave. [Chicago, Illinois], Stratum VIII, Station IX","Post-glacial fossils. North Shore channel, from Bowmanville (Foster Ave) north to Evanston and Wilmette. Survey conducted during 1909-1910-1911.; Date constrained by date received per accession records [achinn 7 March 2019].",1800-01-01,1909-10-03,10884965,,,,,,,,,,,,,,,,,,
CHAS:Inv:25220,Anna Chinn,2019-03-07,Stratum VIII.,collection,,wild caught,unverified,gravel,"[no date recorded, prior to 1909-10-03]","FROM SPECIMEN: 1402 ft. N. Foster Ave, gravel; FROM ORIGINAL CATALOG BOOK: 1402 ft. N. Foster Ave. [Chicago, Illinois], Stratum VIII, Station IX","Post-glacial fossils. North Shore channel, from Bowmanville (Foster Ave) north to Evanston and Wilmette. Survey conducted during 1909-1910-1911.; Date constrained by date received per accession records [achinn 7 March 2019].",1800-01-01,1909-10-03,10884965,,,,,,,,,,,,,,,,,,
CHAS:Inv:25223,Anna Chinn,2019-03-07,Stratum VIII or Stratum VII.,collection,,wild caught,unverified,gravel,"[no date recorded, prior to 1909-10-03]","FROM SPECIMEN: 1402 ft. N. Foster Ave. Station 9. Stratum VIII. Gravel.; FROM ORIGINAL CATALOG BOOK: 1402 ft. N. Foster Ave. [Chicago, Illinois], Stratum VII, Station IX","Post-glacial fossils. North Shore channel, from Bowmanville (Foster Ave) north to Evanston and Wilmette. Survey conducted during 1909-1910-1911.; Date constrained by date received per accession records [achinn 7 March 2019].",1800-01-01,1909-10-03,10884965,,,,,,,,,,,,,,,,,,
CHAS:Inv:25395,Anna Chinn,2019-03-07,Stratum VIII.,collection,,wild caught,unverified,gravel and sand,"[no date recorded, prior to 1909-10-03]","FROM SPECIMEN: 1402 ft. N. Foster Ave, gravel & sand",Date constrained by date received per accession records [achinn 7 March 2019].,1800-01-01,1909-10-03,10884965,,,,,,,,,,,,,,,,,,
CHAS:Inv:25311,Anna Chinn,2019-03-07,Stratum III.,collection,,wild caught,unverified,gravel,"[no date recorded, prior to 1909-10-03]","FROM SPECIMEN: 2345 ft. N. Foster Ave Station 18; FROM ORIGINAL CATALOG BOOK: 2345 ft. N. Foster Ave. [Chicago, Illinois], Stratum III, Station XVIII","Post-glacial fossils. North Shore channel, from Bowmanville (Foster Ave) north to Evanston and Wilmette. Survey conducted during 1909-1910-1911.; Date constrained by date received per accession records [achinn 7 March 2019].",1800-01-01,1909-10-03,10885303,,,,,,,,,,,,,,,,,,
CHAS:Inv:25312,Anna Chinn,2019-03-07,Stratum III.,collection,,wild caught,unverified,gravel,"[no date recorded, prior to 1909-10-03]","FROM SPECIMEN: 2345 ft. N. Foster Ave, gravel; FROM ORIGINAL CATALOG BOOK: 2345 ft. N. Foster Ave. [Chicago, Illinois], Stratum III, Station XVIII","Post-glacial fossils. North Shore channel, from Bowmanville (Foster Ave) north to Evanston and Wilmette. Survey conducted during 1909-1910-1911.; Date constrained by date received per accession records [achinn 7 March 2019].",1800-01-01,1909-10-03,10885303,,,,,,,,,,,,,,,,,,
CHAS:Inv:25313,Anna Chinn,2019-03-07,Stratum III.,collection,,wild caught,unverified,gravel,"[no date recorded, prior to 1909-10-03]","FROM SPECIMEN: 2345 ft. N. Foster Ave, gravel; FROM ORIGINAL CATALOG BOOK: 2345 ft. N. Foster Ave. [Chicago, Illinois], Stratum III, Station XVIII","Post-glacial fossils. North Shore channel, from Bowmanville (Foster Ave) north to Evanston and Wilmette. Survey conducted during 1909-1910-1911.; Date constrained by date received per accession records [achinn 7 March 2019].",1800-01-01,1909-10-03,10885303,,,,,,,,,,,,,,,,,,
CHAS:Inv:25314,Anna Chinn,2019-03-07,Stratum III.,collection,,wild caught,unverified,gravel,"[no date recorded, prior to 1909-10-03]","FROM SPECIMEN: 2345 ft. N. Foster Ave; FROM ORIGINAL CATALOG BOOK: 2345 ft. N. Foster Ave. [Chicago, Illinois], Stratum III, Station XVIII","Post-glacial fossils. North Shore channel, from Bowmanville (Foster Ave) north to Evanston and Wilmette. Survey conducted during 1909-1910-1911.; Date constrained by date received per accession records [achinn 7 March 2019].",1800-01-01,1909-10-03,10885303,,,,,,,,,,,,,,,,,,
CHAS:Inv:25315,Anna Chinn,2019-03-07,Stratum III.,collection,,wild caught,unverified,gravel,"[no date recorded, prior to 1909-10-03]","FROM SPECIMEN: 2345 ft. N. Foster Ave; FROM ORIGINAL CATALOG BOOK: 2345 ft. N. Foster Ave. [Chicago, Illinois], Stratum III, Station XVIII","Post-glacial fossils. North Shore channel, from Bowmanville (Foster Ave) north to Evanston and Wilmette. Survey conducted during 1909-1910-1911.; Date constrained by date received per accession records [achinn 7 March 2019].",1800-01-01,1909-10-03,10885303,,,,,,,,,,,,,,,,,,
CHAS:Inv:25316,Anna Chinn,2019-03-07,Stratum III.,collection,,wild caught,unverified,gravel,"[no date recorded, prior to 1909-10-03]","FROM SPECIMEN: 2345 ft. N. Foster Ave; FROM ORIGINAL CATALOG BOOK: 2345 ft. N. Foster Ave. [Chicago, Illinois], Stratum III, Station XVIII","Post-glacial fossils. North Shore channel, from Bowmanville (Foster Ave) north to Evanston and Wilmette. Survey conducted during 1909-1910-1911.; Date constrained by date received per accession records [achinn 7 March 2019].",1800-01-01,1909-10-03,10885303,,,,,,,,,,,,,,,,,,
CHAS:Inv:25317,Anna Chinn,2019-03-07,Stratum III.,collection,,wild caught,unverified,gravel,"[no date recorded, prior to 1909-10-03]","FROM SPECIMEN: 2345 ft. N. Foster Ave; FROM ORIGINAL CATALOG BOOK: 2345 ft. N. Foster Ave. [Chicago, Illinois], Stratum III, Station XVIII","Post-glacial fossils. North Shore channel, from Bowmanville (Foster Ave) north to Evanston and Wilmette. Survey conducted during 1909-1910-1911.; Date constrained by date received per accession records [achinn 7 March 2019].",1800-01-01,1909-10-03,10885303,,,,,,,,,,,,,,,,,,
CHAS:Inv:25318,Anna Chinn,2019-03-07,Stratum III.,collection,,wild caught,unverified,gravel,"[no date recorded, prior to 1909-10-03]","FROM SPECIMEN: 2345 ft. N. Foster Ave; FROM ORIGINAL CATALOG BOOK: 2345 ft. N. Foster Ave. [Chicago, Illinois], Stratum III, Station XVIII","Post-glacial fossils. North Shore channel, from Bowmanville (Foster Ave) north to Evanston and Wilmette. Survey conducted during 1909-1910-1911.; Date constrained by date received per accession records [achinn 7 March 2019].",1800-01-01,1909-10-03,10885303,,,,,,,,,,,,,,,,,,
CHAS:Inv:25320.2,Anna Chinn,2019-03-07,Stratum III.,collection,,wild caught,unverified,gravel,"[no date recorded, prior to 1909-10-03]","FROM SPECIMEN: 2345 ft. N. Foster Ave; FROM ORIGINAL CATALOG BOOK: 2345 ft. N. Foster Ave. [Chicago, Illinois], Stratum III, Station XVIII","Post-glacial fossils. North Shore channel, from Bowmanville (Foster Ave) north to Evanston and Wilmette. Survey conducted during 1909-1910-1911.; Date constrained by date received per accession records [achinn 7 March 2019].",1800-01-01,1909-10-03,10885303,,,,,,,,,,,,,,,,,,
CHAS:Inv:25321,Anna Chinn,2019-03-07,Stratum III.,collection,,wild caught,unverified,gravel,"[no date recorded, prior to 1909-10-03]","FROM SPECIMEN: 2345 ft. N. Foster Ave, gravel; FROM ORIGINAL CATALOG BOOK: 2345 ft. N. Foster Ave. [Chicago, Illinois], Stratum III, Station XVIII","Post-glacial fossils. North Shore channel, from Bowmanville (Foster Ave) north to Evanston and Wilmette. Survey conducted during 1909-1910-1911.; Date constrained by date received per accession records [achinn 7 March 2019].",1800-01-01,1909-10-03,10885303,,,,,,,,,,,,,,,,,,
CHAS:Inv:25322,Anna Chinn,2019-03-07,Stratum III.,collection,,wild caught,unverified,gravel,"[no date recorded, prior to 1909-10-03]","FROM SPECIMEN: 2345 ft. N. Foster Ave; FROM ORIGINAL CATALOG BOOK: 2345 ft. N. Foster Ave. [Chicago, Illinois], Stratum III, Station XVIII","Post-glacial fossils. North Shore channel, from Bowmanville (Foster Ave) north to Evanston and Wilmette. Survey conducted during 1909-1910-1911.; Date constrained by date received per accession records [achinn 7 March 2019].",1800-01-01,1909-10-03,10885303,,,,,,,,,,,,,,,,,,
CHAS:Inv:25249,Anna Chinn,2019-03-07,Stratum IV.,collection,,wild caught,unverified,gravel,"[no date recorded, prior to 1909-10-03]","FROM SPECIMEN: 2200 ft. N. Foster Ave; FROM ORIGINAL CATALOG BOOK: 2200 ft. N. Foster Ave. [Chicago, Illinois], Stratum IV, Station XVI","Post-glacial fossils. North Shore channel, from Bowmanville (Foster Ave) north to Evanston and Wilmette. Survey conducted during 1909-1910-1911.; Date constrained by date received per accession records [achinn 7 March 2019].",1800-01-01,1909-10-03,10884966,,,,,,,,,,,,,,,,,,
CHAS:Inv:25250,Anna Chinn,2019-03-07,Stratum IV.,collection,,wild caught,unverified,gravel,"[no date recorded, prior to 1909-10-03]","FROM SPECIMEN: 2200 ft. N. Foster Ave; FROM ORIGINAL CATALOG BOOK: 2200 ft. N. Foster Ave. [Chicago, Illinois], Stratum IV, Station XVI","Post-glacial fossils. North Shore channel, from Bowmanville (Foster Ave) north to Evanston and Wilmette. Survey conducted during 1909-1910-1911.; Date constrained by date received per accession records [achinn 7 March 2019].",1800-01-01,1909-10-03,10884966,,,,,,,,,,,,,,,,,,
CHAS:Inv:25251,Anna Chinn,2019-03-07,Stratum IV.,collection,,wild caught,unverified,gravel,"[no date recorded, prior to 1909-10-03]","FROM SPECIMEN: 2200 ft. N. Foster Ave, gravel; FROM ORIGINAL CATALOG BOOK: 2200 ft. N. Foster Ave. [Chicago, Illinois], Stratum IV, Station XVI","Post-glacial fossils. North Shore channel, from Bowmanville (Foster Ave) north to Evanston and Wilmette. Survey conducted during 1909-1910-1911.; Date constrained by date received per accession records [achinn 7 March 2019].",1800-01-01,1909-10-03,10884966,,,,,,,,,,,,,,,,,,
CHAS:Inv:25252,Anna Chinn,2019-03-07,Stratum IV.,collection,,wild caught,unverified,gravel,"[no date recorded, prior to 1909-10-03]","FROM SPECIMEN: 2200 ft. N. Foster Ave, gravel; FROM ORIGINAL CATALOG BOOK: 2200 ft. N. Foster Ave. [Chicago, Illinois], Stratum IV, Station XVI","Post-glacial fossils. North Shore channel, from Bowmanville (Foster Ave) north to Evanston and Wilmette. Survey conducted during 1909-1910-1911.; Date constrained by date received per accession records [achinn 7 March 2019].",1800-01-01,1909-10-03,10884966,,,,,,,,,,,,,,,,,,
CHAS:Inv:25253,Anna Chinn,2019-03-07,Stratum III or Stratum IV.,collection,,wild caught,unverified,gravel,"[no date recorded, prior to 1909-10-03]","FROM SPECIMEN: 2200 ft. N. Foster Ave; FROM ORIGINAL CATALOG BOOK: 2200 ft. N. Foster Ave. [Chicago, Illinois], Stratum IV, Station XVI","Post-glacial fossils. North Shore channel, from Bowmanville (Foster Ave) north to Evanston and Wilmette. Survey conducted during 1909-1910-1911.; Date constrained by date received per accession records [achinn 7 March 2019].",1800-01-01,1909-10-03,10884966,,,,,,,,,,,,,,,,,,
CHAS:Inv:25256,Anna Chinn,2019-03-07,Stratum IV.,collection,,wild caught,unverified,gravel,"[no date recorded, prior to 1909-10-03]","FROM SPECIMEN: 2200 ft. N. Foster Ave, gravel; FROM ORIGINAL CATALOG BOOK: 2200 ft. N. Foster Ave. [Chicago, Illinois], Stratum IV, Station XVI","Post-glacial fossils. North Shore channel, from Bowmanville (Foster Ave) north to Evanston and Wilmette. Survey conducted during 1909-1910-1911.; Date constrained by date received per accession records [achinn 7 March 2019].",1800-01-01,1909-10-03,10884966,,,,,,,,,,,,,,,,,,
CHAS:Inv:25257,Anna Chinn,2019-03-07,Stratum IV.,collection,,wild caught,unverified,gravel,"[no date recorded, prior to 1909-10-03]","FROM SPECIMEN: 2200 ft. N. Foster Ave; FROM ORIGINAL CATALOG BOOK: 2200 ft. N. Foster Ave. [Chicago, Illinois], Stratum IV, Station XVI","Post-glacial fossils. North Shore channel, from Bowmanville (Foster Ave) north to Evanston and Wilmette. Survey conducted during 1909-1910-1911.; Date constrained by date received per accession records [achinn 7 March 2019].",1800-01-01,1909-10-03,10884966,,,,,,,,,,,,,,,,,,
CHAS:Inv:25258,Anna Chinn,2019-03-07,Stratum IV.,collection,,wild caught,unverified,gravel,"[no date recorded, prior to 1909-10-03]","FROM SPECIMEN: 2200 ft. N. Foster Ave, gravel; FROM ORIGINAL CATALOG BOOK: 2200 ft. N. Foster Ave. [Chicago, Illinois], Stratum IV, Station XVI","Post-glacial fossils. North Shore channel, from Bowmanville (Foster Ave) north to Evanston and Wilmette. Survey conducted during 1909-1910-1911.; Date constrained by date received per accession records [achinn 7 March 2019].",1800-01-01,1909-10-03,10884966,,,,,,,,,,,,,,,,,,
CHAS:Inv:25323,Anna Chinn,2019-03-07,Stratum IV.,collection,,wild caught,unverified,gravel,"[no date recorded, prior to 1909-10-03]","FROM SPECIMEN: 2690 ft. N. Foster Ave; FROM ORIGINAL CATALOG BOOK: 2690 ft. N. Foster Ave. [Chicago, Illinois], Stratum IV, Station XXII","Post-glacial fossils. North Shore channel, from Bowmanville (Foster Ave) north to Evanston and Wilmette. Survey conducted during 1909-1910-1911.; Date constrained by date received per accession records [achinn 7 March 2019].",1800-01-01,1909-10-03,10885027,,,,,,,,,,,,,,,,,,
CHAS:Inv:25325,Anna Chinn,2019-03-07,Stratum IV.,collection,,wild caught,unverified,gravel,"[no date recorded, prior to 1909-10-03]","FROM SPECIMEN: 2690 ft. N. Foster Ave, gravel; FROM ORIGINAL CATALOG BOOK: 2690 ft. N. Foster Ave. [Chicago, Illinois], Stratum IV, Station XXII","Post-glacial fossils. North Shore channel, from Bowmanville (Foster Ave) north to Evanston and Wilmette. Survey conducted during 1909-1910-1911.; Date constrained by date received per accession records [achinn 7 March 2019].",1800-01-01,1909-10-03,10885027,,,,,,,,,,,,,,,,,,
CHAS:Inv:25326,Anna Chinn,2019-03-07,Stratum IV.,collection,,wild caught,unverified,gravel,"[no date recorded, prior to 1909-10-03]","FROM SPECIMEN: 2690 ft. N. Foster Ave; FROM ORIGINAL CATALOG BOOK: 2690 ft. N. Foster Ave. [Chicago, Illinois], Stratum IV, Station XXII","Post-glacial fossils. North Shore channel, from Bowmanville (Foster Ave) north to Evanston and Wilmette. Survey conducted during 1909-1910-1911.; Date constrained by date received per accession records [achinn 7 March 2019].",1800-01-01,1909-10-03,10885027,,,,,,,,,,,,,,,,,,
CHAS:Inv:25327,Anna Chinn,2019-03-07,Stratum IV.,collection,,wild caught,unverified,gravel,"[no date recorded, prior to 1909-10-03]","FROM SPECIMEN: 2690 ft. N. Foster Ave; FROM ORIGINAL CATALOG BOOK: 2690 ft. N. Foster Ave. [Chicago, Illinois], Stratum IV, Station XXII","Post-glacial fossils. North Shore channel, from Bowmanville (Foster Ave) north to Evanston and Wilmette. Survey conducted during 1909-1910-1911.; Date constrained by date received per accession records [achinn 7 March 2019].",1800-01-01,1909-10-03,10885027,,,,,,,,,,,,,,,,,,
