guid,ATTRIBUTE_VALUE,REMARKS,ATTRIBUTE,ATTRIBUTE_DATE,DETERMINER
CHAS:Teach:E2019A.10,no molt observed,,molt condition,2018-05-17,Julianna Crisanti
CHAS:Teach:E2019A.11,no molt observed,,molt condition,2018-01-16,Charles Ruedebusch
CHAS:Bird:1992.3.18,none: Totally absent.,,fat deposition,2019-01-10,Kristian Williams
CHAS:Bird:1992.3.19,trace: Just a trace behind abdomen.,,fat deposition,2019-01-22,Janelle Iaccino
CHAS:Bird:2019.1.10,trace,,fat deposition,2018-09-26,Citlally Fabela
CHAS:Bird:2019.1.11,"moderate: Furcular fat, along feather tracts in pits. Very fatty rump and throat.",,fat deposition,2018-11-01,Erin Dunbar
CHAS:Bird:2019.1.12,none: None.,,fat deposition,2019-02-12,Anastasia DeMaio
CHAS:Bird:2019.1.13,"moderate: Furcular, skull, belly.",,fat deposition,2019-01-22,Brittany Sowacke
CHAS:Bird:2019.1.14,"light: Pinkish-tan sub-q fat, bright yellow viceral abdominal fat.",,fat deposition,2019-01-18,Annamarie Fadorsen
CHAS:Bird:2019.1.15,moderate,,fat deposition,2019-10-11,Jensen Wong
CHAS:Bird:2019.1.16,light,,fat deposition,2018-12-06,Julianna Crisanti
CHAS:Bird:2019.1.17,"heavy: Heavy fat in tracts, bottom of sternum and rump, furcula full.",,fat deposition,2018-09-27,Anna Chinn
CHAS:Bird:2019.1.18,"trace: No fat around organs, fat around feather tracts, only trace.",,fat deposition,2018-10-18,Julianna Crisanti
CHAS:Bird:2019.1.19,"moderate: Furcula, rear feather tracks, some visceral.",,fat deposition,2018-09-25,Annamarie Fadorsen
CHAS:Bird:2019.1.20,light,,fat deposition,2018-10-17,Annamarie Fadorsen
CHAS:Bird:2019.1.21,"extreme: Thick sheets of fat near neck, abdomen, and throughout. Heavy near top and bottom of bird. Heaviest near incision, heavy around organs.",,fat deposition,2018-09-27,Julianna Crisanti
CHAS:Bird:2019.1.22,trace: Trace of fat around furcula.,,fat deposition,2018-10-01,Janelle Iaccino
CHAS:Bird:2019.1.23,"heavy: Extensive fat around head, neck, hips. internal fat.",,fat deposition,2018-10-19,Annamarie Fadorsen
CHAS:Bird:2019.1.24,"heavy: Lots and lots of vibrantly yellow fat, located in the furcula, around the neck, in thick pads beneath the feather tracts, along spine, over hips, around thighs, in knee joints, around preen gland. White visceral fat around digestive organs.",,fat deposition,2019-01-02,Kristian Williams
CHAS:Bird:2019.1.26,moderate,,fat deposition,2019-01-11,Annamarie Fadorsen
CHAS:Bird:2019.1.27,extreme: Sheets of fat enveloping muscle and body cavity.,,fat deposition,2018-12-04,Brittany Sowacke
CHAS:Bird:2019.1.28,moderate,,fat deposition,2018-10-24,Kristian Williams
CHAS:Bird:2019.1.29,"moderate: Around neck, hips.",,fat deposition,2018-12-12,Brittany Sowacke
CHAS:Bird:2019.1.31,moderate: Deposits around neck and dorsal furcula fat.,,fat deposition,2018-10-25,Julianna Crisanti
CHAS:Bird:2019.1.32,moderate: Freezer burned fat around furcula and shoulders.,,fat deposition,2018-10-15,Janelle Iaccino
CHAS:Bird:2019.1.33,"extreme: Heavy throughout, especially feather tracts and neck.",,fat deposition,2018-11-15,Julianna Crisanti
CHAS:Bird:2019.1.34,trace,,fat deposition,2018-11-08,Anastasia DeMaio
CHAS:Bird:2019.1.35,"extreme: Fat around neck, on legs, around wings, on back.",,fat deposition,2018-11-29,Janelle Iaccino
CHAS:Bird:2019.1.36,"moderate: Heaviest by tail, back of neck, wing pits. Fat very clay-like and firm. Heavy fat around intestines.",,fat deposition,2018-12-14,Jensen Wong
CHAS:Bird:2019.1.37,moderate,,fat deposition,2018-10-26,Jensen Wong
CHAS:Bird:2019.1.38,"light: Very dark saffron yellow, very soft.",,fat deposition,2018-11-09,Jensen Wong
CHAS:Bird:2019.1.39,heavy,,fat deposition,2018-07-19,Julianna Crisanti
CHAS:Bird:2019.1.40,none,,fat deposition,2018-08-09,Chanel Gallo
CHAS:Bird:2019.1.6,light: Small amounts along feather tracts.,,fat deposition,2019-01-09,Citlally Fabela
CHAS:Bird:2019.1.7,extreme,,fat deposition,2018-11-21,Kristian Williams
CHAS:Bird:2019.1.8,trace,,fat deposition,2018-12-12,Citlally Fabela
CHAS:Bird:2019.1.9,trace,,fat deposition,2018-10-18,Citlally Fabela
CHAS:Teach:E2019A.10,obese; fat near legs,,fat deposition,2018-05-17,Julianna Crisanti
CHAS:Teach:E2019A.11,moderate,,fat deposition,2018-01-16,Charles Ruedebusch
CHAS:Teach:E2019A.9,trace,,fat deposition,2018-09-06,Chanel Gallo
CHAS:Bird:1992.3.18,0%,,skull ossification,2019-01-10,Kristian Williams
CHAS:Bird:1992.3.19,25%,,skull ossification,2019-01-22,Janelle Iaccino
CHAS:Bird:2019.1.10,100%,,skull ossification,2018-09-26,Citlally Fabela
CHAS:Bird:2019.1.11,100%,,skull ossification,2018-11-01,Erin Dunbar
CHAS:Bird:2019.1.12,50%,,skull ossification,2019-02-12,Anastasia DeMaio
CHAS:Bird:2019.1.13,50%,,skull ossification,2019-01-22,Brittany Sowacke
CHAS:Bird:2019.1.14,50%,,skull ossification,2019-01-18,Annamarie Fadorsen
CHAS:Bird:2019.1.17,75%,,skull ossification,2018-09-27,Anna Chinn
CHAS:Bird:2019.1.18,0%,,skull ossification,2018-10-18,Julianna Crisanti
CHAS:Bird:2019.1.19,25%,,skull ossification,2018-09-25,Annamarie Fadorsen
CHAS:Bird:2019.1.20,100%,,skull ossification,2018-10-17,Annamarie Fadorsen
CHAS:Bird:2019.1.22,25%,,skull ossification,2018-10-01,Janelle Iaccino
CHAS:Bird:2019.1.23,100%,,skull ossification,2018-10-19,Annamarie Fadorsen
CHAS:Bird:2019.1.24,0%,,skull ossification,2019-01-02,Kristian Williams
CHAS:Bird:2019.1.26,25%,,skull ossification,2019-01-11,Annamarie Fadorsen
CHAS:Bird:2019.1.27,0%,,skull ossification,2018-12-04,Brittany Sowacke
CHAS:Bird:2019.1.29,75%,,skull ossification,2018-12-12,Brittany Sowacke
CHAS:Bird:2019.1.31,100%,,skull ossification,2018-10-25,Julianna Crisanti
CHAS:Bird:2019.1.32,100%,,skull ossification,2018-10-15,Janelle Iaccino
CHAS:Bird:2019.1.33,100%,,skull ossification,2018-11-15,Julianna Crisanti
CHAS:Bird:2019.1.34,0%,,skull ossification,2018-11-08,Anastasia DeMaio
CHAS:Bird:2019.1.35,25%,,skull ossification,2018-11-29,Janelle Iaccino
CHAS:Bird:2019.1.38,0%,,skull ossification,2018-11-09,Jensen Wong
CHAS:Bird:2019.1.40,100%,,skull ossification,2018-08-09,Chanel Gallo
CHAS:Bird:2019.1.6,0%,,skull ossification,2019-01-09,Citlally Fabela
CHAS:Bird:2019.1.7,50%,,skull ossification,2018-11-21,Kristian Williams
CHAS:Bird:2019.1.8,0%,,skull ossification,2018-12-12,Citlally Fabela
CHAS:Bird:2019.1.9,100%,,skull ossification,2018-10-18,Citlally Fabela
CHAS:Bird:1992.3.18,male,,sex,2019-01-10,Kristian Williams
CHAS:Bird:1992.3.19,recorded as unknown,,sex,2019-01-22,Janelle Iaccino
CHAS:Bird:2019.1.10,female ?,"probably female because only 1 gonad detected, as opposed to a pair",sex,2018-09-26,Citlally Fabela
CHAS:Bird:2019.1.11,not recorded,,sex,2018-11-01,Erin Dunbar
CHAS:Bird:2019.1.12,recorded as unknown,no gonads found,sex,2019-02-12,Anastasia DeMaio
CHAS:Bird:2019.1.13,male ?,"unsure, gonads may be adrenal glands",sex,2019-01-22,Brittany Sowacke
CHAS:Bird:2019.1.14,female,,sex,2019-01-18,Annamarie Fadorsen
CHAS:Bird:2019.1.15,male,,sex,2019-10-11,Jensen Wong
CHAS:Bird:2019.1.16,recorded as unknown,no gonads found,sex,2018-12-06,Julianna Crisanti
CHAS:Bird:2019.1.17,female,,sex,2018-09-27,Anna Chinn
CHAS:Bird:2019.1.18,recorded as unknown,"no gonads found, specimen dessicated",sex,2018-10-18,Julianna Crisanti
CHAS:Bird:2019.1.19,male,,sex,2018-09-25,Annamarie Fadorsen
CHAS:Bird:2019.1.20,female ?,,sex,2018-10-17,Annamarie Fadorsen
CHAS:Bird:2019.1.21,male,,sex,2018-09-27,Julianna Crisanti
CHAS:Bird:2019.1.22,not recorded,gonads not checked during preparation,sex,2018-10-01,Janelle Iaccino
CHAS:Bird:2019.1.23,male,,sex,2018-10-19,Annamarie Fadorsen
CHAS:Bird:2019.1.24,recorded as unknown,no gonads found,sex,2019-01-02,Kristian Williams
CHAS:Bird:2019.1.25,not recorded,,sex,2019-01-10,Julianna Crisanti
CHAS:Bird:2019.1.26,female ?,"uncertain of sexing, adrenal glands distinguished from structure assumed to be ovary",sex,2019-01-11,Annamarie Fadorsen
CHAS:Bird:2019.1.27,male,,sex,2018-12-04,Brittany Sowacke
CHAS:Bird:2019.1.28,recorded as unknown,sexing uncertain,sex,2018-10-24,Kristian Williams
CHAS:Bird:2019.1.29,male,,sex,2018-12-12,Brittany Sowacke
CHAS:Bird:2019.1.30,not recorded,gonads not checked during preparation,sex,2018-10-01,Janelle Iaccino
CHAS:Bird:2019.1.31,recorded as unknown,"no gonads found, small specimen, preparator inexperienced in determining sex",sex,2018-10-25,Julianna Crisanti
CHAS:Bird:2019.1.32,not recorded,gonads not checked during preparation,sex,2018-10-15,Janelle Iaccino
CHAS:Bird:2019.1.33,male,,sex,2018-11-15,Julianna Crisanti
CHAS:Bird:2019.1.34,recorded as unknown,no gonads found,sex,2018-11-08,Anastasia DeMaio
CHAS:Bird:2019.1.35,not recorded,gonads not checked during preparation,sex,2018-11-29,Janelle Iaccino
CHAS:Bird:2019.1.36,female,,sex,2018-12-14,Jensen Wong
CHAS:Bird:2019.1.37,male,,sex,2018-10-26,Jensen Wong
CHAS:Bird:2019.1.38,male,,sex,2018-11-09,Jensen Wong
CHAS:Bird:2019.1.39,not recorded,,sex,2018-07-19,Julianna Crisanti
CHAS:Bird:2019.1.40,not recorded,,sex,2018-08-09,Chanel Gallo
CHAS:Bird:2019.1.6,recorded as unknown,sexing uncertain,sex,2019-01-09,Citlally Fabela
CHAS:Bird:2019.1.7,recorded as unknown,no gonads found,sex,2018-11-21,Kristian Williams
CHAS:Bird:2019.1.8,male,,sex,2018-12-12,Citlally Fabela
CHAS:Bird:2019.1.9,male,,sex,2018-10-18,Citlally Fabela
CHAS:Teach:E2017C.1497,not recorded,,sex,2018-11-15,Annalise Nordgren
CHAS:Teach:E2019A.10,not recorded,,sex,2018-05-17,Julianna Crisanti
CHAS:Teach:E2019A.11,not recorded,,sex,2018-01-16,Charles Ruedebusch
CHAS:Teach:E2019A.9,not recorded,,sex,2018-09-06,Chanel Gallo
CHAS:Bird:1992.3.18,"testes (mm): L = 2 x 1, R = 1.5 x 1; testes slightly dried/shriveled",,reproductive data,2019-01-10,Kristian Williams
CHAS:Bird:2019.1.10,ovary: 1.89mm x 1.19mm; largest ovum: not recorded,,reproductive data,2018-09-26,Citlally Fabela
CHAS:Bird:2019.1.13,"testes (mm): L = 0.4 x 0.4, R = 0.35 x 0.35",,reproductive data,2019-01-22,Brittany Sowacke
CHAS:Bird:2019.1.14,ovary: 9.7mm x 6.2mm; largest ovum: 3.1mm,,reproductive data,2019-01-18,Annamarie Fadorsen
CHAS:Bird:2019.1.15,"testes (mm): L = 2.1 x 1.1, R = 2.4 x 1.3; recorded as juvenile, but uncertain how preparator determined this (ossification not recorded)",,reproductive data,2019-10-11,Jensen Wong
CHAS:Bird:2019.1.17,ovary: 6.46mm x 4.03mm; largest ovum: 1.4mm,,reproductive data,2018-09-27,Anna Chinn
CHAS:Bird:2019.1.19,"testes (mm): L = 2.02 x 1.05, R = 1.36 x 0.9",,reproductive data,2018-09-25,Annamarie Fadorsen
CHAS:Bird:2019.1.20,ovary: 5mm x 3.9mm; largest ovum: 0.8mm; ovary very soft and amorphus,,reproductive data,2018-10-17,Annamarie Fadorsen
CHAS:Bird:2019.1.21,"testes (mm): L = 4.9 x 2, R = 1 x 1",,reproductive data,2018-09-27,Julianna Crisanti
CHAS:Bird:2019.1.23,"testes (mm): L = 10 x 6, R = 9.5 x 5.5; Testicles were different colors. Right dark brown, smooth. Left, lighter and slightly textured.",,reproductive data,2018-10-19,Annamarie Fadorsen
CHAS:Bird:2019.1.26,ovary: 6.5mm x 2mm; largest ovum: Tiny,,reproductive data,2019-01-11,Annamarie Fadorsen
CHAS:Bird:2019.1.27,"testes (mm): L = 2.8 x 2.8, R = 1.8 x 1.8; testes spherical, dark, smooth",,reproductive data,2018-12-04,Brittany Sowacke
CHAS:Bird:2019.1.28,"very odd structure, may not be ovary or malformed, measuring 8mm x 2mm",,reproductive data,2018-10-24,Kristian Williams
CHAS:Bird:2019.1.29,"testes (mm): L = 0.67 x 0.67, R = 0.67 x 0.67",,reproductive data,2018-12-12,Brittany Sowacke
CHAS:Bird:2019.1.33,"testes (mm): L = 1 x 4, R = 3 x 8",,reproductive data,2018-11-15,Julianna Crisanti
CHAS:Bird:2019.1.36,ovary: 12mm x 5mm; largest ovum: 1mm; all ova same size,,reproductive data,2018-12-14,Jensen Wong
CHAS:Bird:2019.1.37,"testes distinct, but minute",,reproductive data,2018-10-26,Jensen Wong
CHAS:Bird:2019.1.38,"testes (mm): L = 7.3 x 4.7, R = 8.1 x 4.9; right larger than left",,reproductive data,2018-11-09,Jensen Wong
CHAS:Bird:2019.1.8,"testes (mm): L = 2.61 x 4.11, R = 2.08 x 3.7",,reproductive data,2018-12-12,Citlally Fabela
CHAS:Bird:2019.1.9,"testes (mm): L = 6.35 x 3.37, R = 5.87 x 4.69",,reproductive data,2018-10-18,Citlally Fabela
CHAS:Bird:1992.3.18,gizzard: A single seed,,stomach contents,2019-01-10,Kristian Williams
CHAS:Bird:1992.3.19,"gizzard: seed fragments, including millet",,stomach contents,2019-01-22,Janelle Iaccino
CHAS:Bird:2019.1.10,crop and gizzard: seeds (millet),,stomach contents,2018-09-26,Citlally Fabela
CHAS:Bird:2019.1.12,"gizzard: grit, black perhaps seeds?",,stomach contents,2019-02-12,Anastasia DeMaio
CHAS:Bird:2019.1.13,gizzard: grit,,stomach contents,2019-01-22,Brittany Sowacke
CHAS:Bird:2019.1.14,"gizzard: whole large black ants, beetle elytra, black and grey grit",,stomach contents,2019-01-18,Annamarie Fadorsen
CHAS:Bird:2019.1.15,gizzard: greenish brown gritty matter with hard shiny black flat flecks and several long fibrous strings,,stomach contents,2019-10-11,Jensen Wong
CHAS:Bird:2019.1.16,"gizzard: black, red grit",,stomach contents,2018-12-06,Julianna Crisanti
CHAS:Bird:2019.1.17,empty,,stomach contents,2018-09-27,Anna Chinn
CHAS:Bird:2019.1.18,"gizzard: small yellow seeds, partially digested matter",,stomach contents,2018-10-18,Julianna Crisanti
CHAS:Bird:2019.1.19,"gizzard: arthropods, grit",,stomach contents,2018-09-25,Annamarie Fadorsen
CHAS:Bird:2019.1.20,gizzard: black grit,,stomach contents,2018-10-17,Annamarie Fadorsen
CHAS:Bird:2019.1.21,"gizzard: fishbones, digestive matter",,stomach contents,2018-09-27,Julianna Crisanti
CHAS:Bird:2019.1.22,gizzard: black grit,,stomach contents,2018-10-01,Janelle Iaccino
CHAS:Bird:2019.1.23,"gizzard: black paste, white rocks?",,stomach contents,2018-10-19,Annamarie Fadorsen
CHAS:Bird:2019.1.24,"gizzard: Insect parts (elytra, pronota, legs), likely from buprestid and/or elaterid beetles; large section that appears to be from either some sort of millipede or terrestrial isopod",,stomach contents,2019-01-02,Kristian Williams
CHAS:Bird:2019.1.26,"gizzard: Millet, Small green seeds, small white stones, black grit.",,stomach contents,2019-01-11,Annamarie Fadorsen
CHAS:Bird:2019.1.27,empty,,stomach contents,2018-12-04,Brittany Sowacke
CHAS:Bird:2019.1.28,"crop: plant matter, seeds, 9mm long plant fibers",,stomach contents,2018-10-24,Kristian Williams
CHAS:Bird:2019.1.29,gizzard: black grit,,stomach contents,2018-12-12,Brittany Sowacke
CHAS:Bird:2019.1.31,not checked,,stomach contents,2018-10-25,Julianna Crisanti
CHAS:Bird:2019.1.33,"gizzard: black and brown grit, yellow and red seed matter",,stomach contents,2018-11-15,Julianna Crisanti
CHAS:Bird:2019.1.34,crop: seeds,,stomach contents,2018-11-08,Anastasia DeMaio
CHAS:Bird:2019.1.36,crop and stomach empty excluding small amount of brown liquid,,stomach contents,2018-12-14,Jensen Wong
CHAS:Bird:2019.1.37,not checked,,stomach contents,2018-10-26,Jensen Wong
CHAS:Bird:2019.1.38,"large volume: several insects in pieces incl. at least 4 heads (appears to be 1 green beetle, 1 unknown brown, 1 ant, 1 larger true bug). Lots of legs, several loose beetle mouthparts, several small black/brown oblong egg cases, 7-8 wings",,stomach contents,2018-11-09,Jensen Wong
CHAS:Bird:2019.1.39,Seeds and partially digested corn in crop,,stomach contents,2018-07-19,Julianna Crisanti
CHAS:Bird:2019.1.6,"gizzard: Plant matter, ants - Tetramorium sp. (det. by Kevin Weiner) and Camponotus sp. (det. by Kristian Williams) - all life stages",,stomach contents,2019-01-09,Citlally Fabela
CHAS:Bird:2019.1.7,"gizzard: vegetative matter, seeds, insect parts",,stomach contents,2018-11-21,Kristian Williams
CHAS:Bird:2019.1.8,gizzard: empty,,stomach contents,2018-12-12,Citlally Fabela
CHAS:Bird:2019.1.9,gizzard: black grit,,stomach contents,2018-10-18,Citlally Fabela
CHAS:Bird:2019.1.19,yes,,ectoparasite examination,2018-09-25,Annamarie Fadorsen
CHAS:Bird:2019.1.26,yes,,ectoparasite examination,2019-01-11,Annamarie Fadorsen
CHAS:Teach:E2019A.10,yes,,ectoparasite examination,2018-05-17,Julianna Crisanti
CHAS:Bird:2019.1.19,yes,tiny ticks,ectoparasites detected,2018-09-25,Annamarie Fadorsen
CHAS:Bird:2019.1.26,yes,ticks,ectoparasites detected,2019-01-11,Annamarie Fadorsen
CHAS:Teach:E2019A.10,yes,found 2 flies embedded in feathers probably parasitic,ectoparasites detected,2018-05-17,Julianna Crisanti
CHAS:Bird:2019.1.36,Eyes showed strong red coloration even after thawing for preparation,,soft part color,2018-12-14,Jensen Wong
