"ACCN","ASSOCIATED_SPECIES","ATTRIBUTE_1","ATTRIBUTE_10","ATTRIBUTE_2","ATTRIBUTE_3","ATTRIBUTE_4","ATTRIBUTE_5","ATTRIBUTE_6","ATTRIBUTE_7","ATTRIBUTE_8","ATTRIBUTE_9","ATTRIBUTE_DATE_1","ATTRIBUTE_DATE_10","ATTRIBUTE_DATE_2","ATTRIBUTE_DATE_3","ATTRIBUTE_DATE_4","ATTRIBUTE_DATE_5","ATTRIBUTE_DATE_6","ATTRIBUTE_DATE_7","ATTRIBUTE_DATE_8","ATTRIBUTE_DATE_9","ATTRIBUTE_DETERMINER_1","ATTRIBUTE_DETERMINER_10","ATTRIBUTE_DETERMINER_2","ATTRIBUTE_DETERMINER_3","ATTRIBUTE_DETERMINER_4","ATTRIBUTE_DETERMINER_5","ATTRIBUTE_DETERMINER_6","ATTRIBUTE_DETERMINER_7","ATTRIBUTE_DETERMINER_8","ATTRIBUTE_DETERMINER_9","ATTRIBUTE_DET_METH_1","ATTRIBUTE_DET_METH_10","ATTRIBUTE_DET_METH_2","ATTRIBUTE_DET_METH_3","ATTRIBUTE_DET_METH_4","ATTRIBUTE_DET_METH_5","ATTRIBUTE_DET_METH_6","ATTRIBUTE_DET_METH_7","ATTRIBUTE_DET_METH_8","ATTRIBUTE_DET_METH_9","ATTRIBUTE_REMARKS_1","ATTRIBUTE_REMARKS_10","ATTRIBUTE_REMARKS_2","ATTRIBUTE_REMARKS_3","ATTRIBUTE_REMARKS_4","ATTRIBUTE_REMARKS_5","ATTRIBUTE_REMARKS_6","ATTRIBUTE_REMARKS_7","ATTRIBUTE_REMARKS_8","ATTRIBUTE_REMARKS_9","ATTRIBUTE_UNITS_1","ATTRIBUTE_UNITS_10","ATTRIBUTE_UNITS_2","ATTRIBUTE_UNITS_3","ATTRIBUTE_UNITS_4","ATTRIBUTE_UNITS_5","ATTRIBUTE_UNITS_6","ATTRIBUTE_UNITS_7","ATTRIBUTE_UNITS_8","ATTRIBUTE_UNITS_9","ATTRIBUTE_VALUE_1","ATTRIBUTE_VALUE_10","ATTRIBUTE_VALUE_2","ATTRIBUTE_VALUE_3","ATTRIBUTE_VALUE_4","ATTRIBUTE_VALUE_5","ATTRIBUTE_VALUE_6","ATTRIBUTE_VALUE_7","ATTRIBUTE_VALUE_8","ATTRIBUTE_VALUE_9","BEGAN_DATE","C$LAT","C$LONG","CAT_NUM","COLLECTING_EVENT_ID","COLLECTING_EVENT_NAME","COLLECTING_METHOD","COLLECTING_SOURCE","COLLECTION_ID","COLLECTION_OBJECT_ID","COLLECTOR_AGENT_1","COLLECTOR_AGENT_2","COLLECTOR_AGENT_3","COLLECTOR_AGENT_4","COLLECTOR_AGENT_5","COLLECTOR_AGENT_6","COLLECTOR_AGENT_7","COLLECTOR_AGENT_8","COLLECTOR_ROLE_1","COLLECTOR_ROLE_2","COLLECTOR_ROLE_3","COLLECTOR_ROLE_4","COLLECTOR_ROLE_5","COLLECTOR_ROLE_6","COLLECTOR_ROLE_7","COLLECTOR_ROLE_8","COLL_EVENT_REMARKS","COLL_OBJECT_REMARKS","DATUM","DEC_LAT","DEC_LAT_MIN","DEC_LONG","DEC_LONG_MIN","DEPTH_UNITS","ENDED_DATE","ENTEREDBY","ENTEREDTOBULKDATE","ENTERED_AGENT_ID","EVENT_ASSIGNED_BY_AGENT","EVENT_ASSIGNED_DATE","FLAGS","GEOLOGY_ATTRIBUTE_1","GEOLOGY_ATTRIBUTE_2","GEOLOGY_ATTRIBUTE_3","GEOLOGY_ATTRIBUTE_4","GEOLOGY_ATTRIBUTE_5","GEOLOGY_ATTRIBUTE_6","GEOREFERENCE_PROTOCOL","GEOREFERENCE_SOURCE","GEO_ATT_DETERMINED_DATE_1","GEO_ATT_DETERMINED_DATE_2","GEO_ATT_DETERMINED_DATE_3","GEO_ATT_DETERMINED_DATE_4","GEO_ATT_DETERMINED_DATE_5","GEO_ATT_DETERMINED_DATE_6","GEO_ATT_DETERMINED_METHOD_1","GEO_ATT_DETERMINED_METHOD_2","GEO_ATT_DETERMINED_METHOD_3","GEO_ATT_DETERMINED_METHOD_4","GEO_ATT_DETERMINED_METHOD_5","GEO_ATT_DETERMINED_METHOD_6","GEO_ATT_DETERMINER_1","GEO_ATT_DETERMINER_2","GEO_ATT_DETERMINER_3","GEO_ATT_DETERMINER_4","GEO_ATT_DETERMINER_5","GEO_ATT_DETERMINER_6","GEO_ATT_REMARK_1","GEO_ATT_REMARK_2","GEO_ATT_REMARK_3","GEO_ATT_REMARK_4","GEO_ATT_REMARK_5","GEO_ATT_REMARK_6","GEO_ATT_VALUE_1","GEO_ATT_VALUE_2","GEO_ATT_VALUE_3","GEO_ATT_VALUE_4","GEO_ATT_VALUE_5","GEO_ATT_VALUE_6","GUID_PREFIX","HABITAT","HIGHER_GEOG","IDENTIFICATION_REMARKS","ID_MADE_BY_AGENT","LATDEG","LATDIR","LATMIN","LATSEC","LOADED","LOCALITY_ID","LOCALITY_NAME","LOCALITY_REMARKS","LONGDEG","LONGDIR","LONGMIN","LONGSEC","MADE_DATE","MAXIMUM_ELEVATION","MAX_DEPTH","MAX_ERROR_DISTANCE","MAX_ERROR_UNITS","MINIMUM_ELEVATION","MIN_DEPTH","NATURE_OF_ID","ORIG_ELEV_UNITS","ORIG_LAT_LONG_UNITS","OTHER_ID_NUM_1","OTHER_ID_NUM_2","OTHER_ID_NUM_3","OTHER_ID_NUM_4","OTHER_ID_NUM_5","OTHER_ID_NUM_TYPE_1","OTHER_ID_NUM_TYPE_2","OTHER_ID_NUM_TYPE_3","OTHER_ID_NUM_TYPE_4","OTHER_ID_NUM_TYPE_5","OTHER_ID_REFERENCES_1","OTHER_ID_REFERENCES_2","OTHER_ID_REFERENCES_3","OTHER_ID_REFERENCES_4","OTHER_ID_REFERENCES_5","PART_BARCODE_1","PART_BARCODE_10","PART_BARCODE_11","PART_BARCODE_12","PART_BARCODE_2","PART_BARCODE_3","PART_BARCODE_4","PART_BARCODE_5","PART_BARCODE_6","PART_BARCODE_7","PART_BARCODE_8","PART_BARCODE_9","PART_CONDITION_1","PART_CONDITION_10","PART_CONDITION_11","PART_CONDITION_12","PART_CONDITION_2","PART_CONDITION_3","PART_CONDITION_4","PART_CONDITION_5","PART_CONDITION_6","PART_CONDITION_7","PART_CONDITION_8","PART_CONDITION_9","PART_CONTAINER_LABEL_1","PART_CONTAINER_LABEL_10","PART_CONTAINER_LABEL_11","PART_CONTAINER_LABEL_12","PART_CONTAINER_LABEL_2","PART_CONTAINER_LABEL_3","PART_CONTAINER_LABEL_4","PART_CONTAINER_LABEL_5","PART_CONTAINER_LABEL_6","PART_CONTAINER_LABEL_7","PART_CONTAINER_LABEL_8","PART_CONTAINER_LABEL_9","PART_DISPOSITION_1","PART_DISPOSITION_10","PART_DISPOSITION_11","PART_DISPOSITION_12","PART_DISPOSITION_2","PART_DISPOSITION_3","PART_DISPOSITION_4","PART_DISPOSITION_5","PART_DISPOSITION_6","PART_DISPOSITION_7","PART_DISPOSITION_8","PART_DISPOSITION_9","PART_LOT_COUNT_1","PART_LOT_COUNT_10","PART_LOT_COUNT_11","PART_LOT_COUNT_12","PART_LOT_COUNT_2","PART_LOT_COUNT_3","PART_LOT_COUNT_4","PART_LOT_COUNT_5","PART_LOT_COUNT_6","PART_LOT_COUNT_7","PART_LOT_COUNT_8","PART_LOT_COUNT_9","PART_NAME_1","PART_NAME_10","PART_NAME_11","PART_NAME_12","PART_NAME_2","PART_NAME_3","PART_NAME_4","PART_NAME_5","PART_NAME_6","PART_NAME_7","PART_NAME_8","PART_NAME_9","PART_REMARK_1","PART_REMARK_10","PART_REMARK_11","PART_REMARK_12","PART_REMARK_2","PART_REMARK_3","PART_REMARK_4","PART_REMARK_5","PART_REMARK_6","PART_REMARK_7","PART_REMARK_8","PART_REMARK_9","SPECIMEN_EVENT_REMARK","SPECIMEN_EVENT_TYPE","SPEC_LOCALITY","TAXON_NAME","UTM_EW","UTM_NS","UTM_ZONE","VERBATIM_DATE","VERBATIM_LOCALITY","VERIFICATIONSTATUS","WKT_POLYGON"
"[CHAS:Mamm]2018.1","","weight","","total length","tail length","wing chord","","fat deposition","molt condition","skull ossification","","2017-08-09","","2017-08-09","2017-08-09","2017-08-09","","2017-08-09","2017-08-09","2017-08-09","","Julianna Crisanti","","Julianna Crisanti","Julianna Crisanti","Julianna Crisanti","","Julianna Crisanti","Julianna Crisanti","Julianna Crisanti","","","","","","","","","","","","","","","","","","","","","","g","","mm","mm","mm","","","","","","18","","130","71","61","","moderate","none","100%","","2005-04-14","","","2018.1.23","","","","wild caught","114","96441952","Julianna Crisanti","Celeste Troon","","","","","","","preparator","collector","","","","","","","Time found: 7:55 am","Fresh, dead, relaxed.","","","","","","","2005-04-14","achinn","2018-09-05 15:16:40.848548","21302104","Celeste Troon","2005-04-14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CHAS:Bird","","North America, United States, Illinois, Cook County","Song Sparrow.","Celeste Troon","","","","","BULKLOADED RECORD","","","","","","","","2005-04-14","","","","","","","expert","","","JC-02","","","","","preparator number","","","","","","","","","","","","","","","","","","","","","","Excellent.","","","","","","","","","","","","","","","","","","","","","","","","in collection","","","","","","","","","","","","1","","","","","","","","","","","","skin, study","","","","","","","","","","","","date prepared: 2017-08-09","","","","","","","","","","","","","collection","in extreme corner of the windows facing out into the ravine, Peggy Notebaert Nature Museum, 2430 North Cannon Drive, Chicago","Melospiza melodia","","","","14th April 2005","PNNM, found in extreme corner of the windows facing out into the ravine","unverified",""
"[CHAS:Mamm]2018.1","","fat deposition","","molt condition","skull ossification","","","","","","","2017-08-08","","2017-08-08","2017-08-08","","","","","","","Annamarie Fadorsen","","Annamarie Fadorsen","Annamarie Fadorsen","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","light","","body, tail","80%","","","","","","","2005-08-08","","","2018.1.24","","","window strike","wild caught","114","96441953","Annamarie Fadorsen","Steve Sullivan","","","","","","","preparator","collector","","","","","","","Time found: 9:00","Time hit window at 9:00 AM, relaxed.","","","","","","","2005-08-08","achinn","2018-09-05 15:16:40.854967","21302104","Steve Sullivan","2005-08-08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CHAS:Bird","","North America, United States, Illinois, Cook County","Mourning Dove.","Steve Sullivan","","","","","BULKLOADED RECORD","","","","","","","","2005-08-08","","","","","","","expert","","","AF-22","","","","","preparator number","","","","","","","","","","","","","","","","","","","","","","Excellent.","","","","","","","","","","","","","","","","","","","","","","","","in collection","","","","","","","","","","","","1","","","","","","","","","","","","skin, study","","","","","","","","","","","","date prepared: 2017-08-08","","","","","","","","","","","","","collection","site ""1"", Peggy Notebaert Nature Museum, 2430 North Cannon Drive, Chicago","Zenaida macroura","","","","8 Aug 05","PNNM, site ""1""","unverified",""
"[CHAS:Mamm]2018.1","","weight","","total length","tarsus length","tail length","wing chord","fat deposition","molt condition","skull ossification","","2017-04-03","","2017-04-03","2017-04-03","2017-04-03","2017-04-03","2017-04-03","2017-04-03","2017-04-03","","Nina D'Angier","","Nina D'Angier","Nina D'Angier","Nina D'Angier","Nina D'Angier","Nina D'Angier","Nina D'Angier","Nina D'Angier","","","","","","","","","","","","","","","","","","","","","","g","","mm","mm","mm","mm","","","","","18","","135.54","25.68","64.61","68.02","light","none","10%","","2014-08-31","","","2018.1.25","","","window strike","wild caught","114","96441954","Nina D'Angier","Lalainya Goldsberry","","","","","","","preparator","collector","","","","","","","Weather: clear, 72 F; Estimated time of death: 7:30 am; Time found: 7:50 am","","","","","","","","2014-08-31","achinn","2018-09-05 15:16:40.86128","21302104","Lalainya Goldsberry","2014-08-31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CHAS:Bird","","North America, United States, Illinois, Cook County","Song Sparrow.","Annamarie Fadorsen","","","","","BULKLOADED RECORD","","","","","","","","2017-04-03","","","","","","","student","","","ND-01","","","","","preparator number","","","","","","","","","","","","","","","","","","","","","","Excellent.","","","","","","","","","","","","","","","","","","","","","","","","in collection","","","","","","","","","","","","1","","","","","","","","","","","","skin, study","","","","","","","","","","","","date prepared: 2017-04-03","","","","","","","","","","","","","collection","site ""2"", Peggy Notebaert Nature Museum, 2430 North Cannon Drive, Chicago","Melospiza melodia","","","","31-8-2014","PNNM, site ""2""","unverified",""
"[CHAS:Mamm]2018.1","","weight","","total length","tarsus length","tail length","wing chord","fat deposition","molt condition","skull ossification","","2017-04-09","","2017-04-09","2017-04-09","2017-04-09","2017-04-09","2017-04-09","2017-04-09","2017-04-09","","Michelle Slater","","Michelle Slater","Michelle Slater","Michelle Slater","Michelle Slater","Michelle Slater","Michelle Slater","Michelle Slater","","","","","","","","","","","","","","","","","","","","","","g","","mm","mm","mm","mm","","","","","28.5","","160","24.88","55.16","95","heavy","none","50%","","2015-09-08","","","2018.1.26","","","window strike","wild caught","114","96441955","Michelle Slater","Lalainya Goldsberry","","","","","","","preparator","collector","","","","","","","Weather: cloudy, rained 1hr ago, 73 F; Time found: 6:48 am","","","","","","","","2015-09-08","achinn","2018-09-05 15:16:40.867616","21302104","Lalainya Goldsberry","2015-09-08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CHAS:Bird","","North America, United States, Illinois, Cook County","Veery.","Michelle Slater","","","","","BULKLOADED RECORD","","","","","","","","2017-04-09","","","","","","","student","","","MS-05","","","","","preparator number","","","","","","","","","","","","","","","","","","","","","","Good.","","","","","","","","","","","","","","","","","","","","","","","","in collection","","","","","","","","","","","","1","","","","","","","","","","","","skin, study","","","","","","","","","","","","date prepared: 2017-04-09","","","","","","","","","","","","","collection","site ""1"" and ""2"", in front of west doors by lobby, Peggy Notebaert Nature Museum, 2430 North Cannon Drive, Chicago","Catharus fuscescens","","","","8 9 2015","PNNM, site ""1"" and ""2"", in front of west doors by lobby","unverified",""
"[CHAS:Mamm]2018.1","","weight","","total length","tarsus length","tail length","wing chord","","","","","2017-03-20","","2017-03-20","2017-03-20","2017-03-20","2017-03-20","","","","","Endora Roberts","","Endora Roberts","Endora Roberts","Endora Roberts","Endora Roberts","","","","","","","","","","","","","","","","","","","","","","","","","g","","mm","mm","mm","mm","","","","","25.5","","156.08","26.17","52.26","97.3","","","","","2016-09-26","","","2018.1.27","","","window strike","wild caught","114","96441956","Endora Roberts","Annamarie Fadorsen","","","","","","","preparator","collector","","","","","","","Weather: sunny, 60 F; Estimated time of death: 6:00 am; Time found: 8:45 am","","","","","","","","2016-09-26","achinn","2018-09-05 15:16:40.873977","21302104","Annamarie Fadorsen","2016-09-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CHAS:Bird","","North America, United States, Illinois, Cook County","Hermit Thrush.","Annamarie Fadorsen","","","","","BULKLOADED RECORD","","","","","","","","2017-03-20","","","","","","","student","","","ER-02","","","","","preparator number","","","","","","","","","","","","","","","","","","","","","","Excellent.","","","","","","","","","","","","","","","","","","","","","","","","in collection","","","","","","","","","","","","1","","","","","","","","","","","","skin, study","","","","","","","","","","","","date prepared: 2017-03-20","","","","","","","","","","","","","collection","site ""1-12"", Peggy Notebaert Nature Museum, 2430 North Cannon Drive, Chicago","Catharus guttatus","","","","26-9-16","PNNM, site ""1-12""","unverified",""
"[CHAS:Mamm]2018.1","","weight","","total length","tarsus length","tail length","wing chord","fat deposition","molt condition","skull ossification","","2017-04-26","","2017-04-26","2017-04-26","2017-04-26","2017-04-26","2017-04-26","2017-04-26","2017-04-26","","Annamarie Fadorsen","","Annamarie Fadorsen","Annamarie Fadorsen","Annamarie Fadorsen","Annamarie Fadorsen","Annamarie Fadorsen","Annamarie Fadorsen","Annamarie Fadorsen","","","","","","","","","","","","","","","","","","","","","","g","","mm","mm","mm","mm","","","","","10","","111.65","21.08","49.12","56.75","heavy","body","55%","","2015-09-09","","","2018.1.28","","","window strike","wild caught","114","96441957","Annamarie Fadorsen","Lalainya Goldsberry","","","","","","","preparator","collector","","","","","","","Weather: cloudy, 68 F; Estimated time of death: 5:00 am - 6:15 am; Time found: 6:30 am","","","","","","","","2015-09-09","achinn","2018-09-05 15:16:40.880297","21302104","Lalainya Goldsberry","2015-09-09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CHAS:Bird","","North America, United States, Illinois, Cook County","Common Yellowthroat.","Annamarie Fadorsen","","","","","BULKLOADED RECORD","","","","","","","","2017-04-26","","","","","","","student","","","AF-17","","","","","preparator number","","","","","","","","","","","","","","","","","","","","","","Good.","","","","","","","","","","","","","","","","","","","","","","","","in collection","","","","","","","","","","","","1","","","","","","","","","","","","skin, study","","","","","","","","","","","","date prepared: 2017-04-26","","","","","","","","","","","","","collection","in front of west doors behind lobby, Peggy Notebaert Nature Museum, 2430 North Cannon Drive, Chicago","Geothlypis trichas","","","","9-9-2015","PNNM, in front of west doors behind lobby","unverified",""
"[CHAS:Mamm]2018.1","","weight","","total length","tarsus length","tail length","wing chord","fat deposition","molt condition","verbatim collector","","2017-05-14","","2017-05-14","2017-05-14","2017-05-14","2017-05-14","2017-05-14","2017-05-14","2017-05-14","","Brittany Sowacke","","Brittany Sowacke","Brittany Sowacke","Brittany Sowacke","Brittany Sowacke","Brittany Sowacke","Brittany Sowacke","Brittany Sowacke","","","","","","","","","","","","","","","","","","","","","","g","","mm","mm","mm","mm","","","","","10","","107","22","51","70","heavy","none","Elena","","2016-05-17","","","2018.1.29","","","","wild caught","114","96441958","Brittany Sowacke","Chicago Academy of Sciences","","","","","","","preparator","collector","","","","","","","Weather: cloudy; Estimated time of death: 11:00 am; Time found: 11:36 am","","","","","","","","2016-05-17","achinn","2018-09-05 15:16:40.886808","21302104","Chicago Academy of Sciences","2016-05-17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CHAS:Bird","","North America, United States, Illinois, Cook County","Common Yellowthroat.","Brittany Sowacke","","","","","BULKLOADED RECORD","","","","","","","","2017-05-14","","","","","","","student","","","BS-18","","","","","preparator number","","","","","","","","","","","","","","","","","","","","","","Excellent.","","","","","","","","","","","","","","","","","","","","","","","","in collection","","","","","","","","","","","","1","","","","","","","","","","","","skin, study","","","","","","","","","","","","date prepared: 2017-05-14","","","","","","","","","","","","","collection","Ravine, Peggy Notebaert Nature Museum, 2430 North Cannon Drive, Chicago","Geothlypis trichas","","","","5/17/2016","PNNM, Ravine","unverified",""
"[CHAS:Mamm]2018.1","","molt condition","","","","","","","","","","2017-08-02","","","","","","","","","","Zahri Vafaee","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","none","","","","","","","","","","2015-10-17","","","2018.1.3","","","window strike","wild caught","114","96441959","Zahri Vafaee","Chicago Academy of Sciences","","","","","","","preparator","collector","","","","","","","Weather: cool, sunny; Estimated time of death: 8:30 am; Time found: 8:45 am","","","","","","","","2015-10-17","achinn","2018-09-05 15:16:40.893154","21302104","Chicago Academy of Sciences","2015-10-17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CHAS:Bird","","North America, United States, Illinois, Cook County","White-throated Sparrow.","Zahri Vafaee","","","","","BULKLOADED RECORD","","","","","","","","2017-08-02","","","","","","","student","","","ZV-01","","","","","preparator number","","","","","","","","","","","","","","","","","","","","","","Excellent.","","","","","","","","","","","","","","","","","","","","","","","","in collection","","","","","","","","","","","","1","","","","","","","","","","","","skin, study","","","","","","","","","","","","date prepared: 2017-08-02","","","","","","","","","","","","","collection","left door in lobby entrance, Peggy Notebaert Nature Museum, 2430 North Cannon Drive, Chicago","Zonotrichia albicollis","","","","17-10-15","PNNM, left door in lobby entrance","unverified",""
"[CHAS:Mamm]2018.1","","weight","","total length","tarsus length","tail length","wing chord","fat deposition","molt condition","skull ossification","","2017-04-09","","2017-04-09","2017-04-09","2017-04-09","2017-04-09","2017-04-09","2017-04-09","2017-04-09","","Samantha Chapin","","Samantha Chapin","Samantha Chapin","Samantha Chapin","Samantha Chapin","Samantha Chapin","Samantha Chapin","Samantha Chapin","","","","","","","","","","","","","","","","","","","","","","g","","mm","mm","mm","mm","","","","","9","","123","19","48","53","heavy","none","50%","","2015-05-20","","","2018.1.30","","","window strike","wild caught","114","96441960","Samantha Chapin","Jamie Forberg","","","","","","","preparator","collector","","","","","","","Weather: sunny, 50 degrees; Estimated time of death: 6:00; Time found: 6:30","Saved it from a Raven.","","","","","","","2015-05-20","achinn","2018-09-05 15:16:40.899451","21302104","Jamie Forberg","2015-05-20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CHAS:Bird","","North America, United States, Illinois, Cook County","Common Yellowthroat.","Samantha Chapin","","","","","BULKLOADED RECORD","","","","","","","","2017-04-09","","","","","","","student","","","SC-12","","","","","preparator number","","","","","","","","","","","","","","","","","","","","","","Good.","","","","","","","","","","","","","","","","","","","","","","","","in collection","","","","","","","","","","","","1","","","","","","","","","","","","skin, study","","","","","","","","","","","","date prepared: 2017-04-09","","","","","","","","","","","","","collection","site ""1"", Peggy Notebaert Nature Museum, 2430 North Cannon Drive, Chicago","Geothlypis trichas","","","","20/5/2016","PNNM, site ""1""","unverified",""
"[CHAS:Mamm]2018.1","","weight","","total length","tarsus length","tail length","wing chord","skull ossification","","","","2017-03-05","","2017-03-05","2017-03-05","2017-03-05","2017-03-05","2017-03-05","","","","Kristi Overgaard","","Kristi Overgaard","Kristi Overgaard","Kristi Overgaard","Kristi Overgaard","Kristi Overgaard","","","","","","","","","","","","","","","","","","","","","","","","g","","mm","mm","mm","mm","","","","","47","","146.8","33.8","77","103","100%","","","","2005-05-12","","","2018.1.31","","","window strike","wild caught","114","96441961","Kristi Overgaard","Celeste Troon","","","","","","","preparator","collector","","","","","","","","Recent; dead; relaxed; found still warm on a cold day.","","","","","","","2005-05-12","achinn","2018-09-05 15:16:40.905795","21302104","Celeste Troon","2005-05-12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CHAS:Bird","","North America, United States, Illinois, Cook County","Wood Thrush.","Kristi Overgaard","","","","","BULKLOADED RECORD","","","","","","","","2017-03-05","","","","","","","student","","","KO-13","","","","","preparator number","","","","","","","","","","","","","","","","","","","","","","Excellent.","","","","","","","","","","","","","","","","","","","","","","","","in collection","","","","","","","","","","","","1","","","","","","","","","","","","skin, study","","","","","","","","","","","","date prepared: 2017-03-05","","","","","","","","","","","","","collection","site ""1"", Peggy Notebaert Nature Museum, 2430 North Cannon Drive, Chicago","Hylocichla mustelina","","","","12 05 2005","PNNM, site ""1""","unverified",""
"[CHAS:Mamm]2018.1","","weight","","total length","tarsus length","tail length","wing chord","fat deposition","molt condition","","","2017-05-24","","2017-05-24","2017-05-24","2017-05-24","2017-05-24","2017-05-24","2017-05-24","","","Nina D'Angier","","Nina D'Angier","Nina D'Angier","Nina D'Angier","Nina D'Angier","Nina D'Angier","Nina D'Angier","","","","","","","","","","","","","","","","","","","","","","","g","","mm","mm","mm","mm","","","","","16","","125.41","14.94","57.17","69.26","heavy","none","","","2011-10-07","","","2018.1.32","","","","wild caught","114","96441962","Nina D'Angier","Andrew Winschel","","","","","","","preparator","collector","","","","","","","Weather: sunny,75 F; Time found: 12:30","","","","","","","","2011-10-07","achinn","2018-09-05 15:16:40.912099","21302104","Andrew Winschel","2011-10-07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CHAS:Bird","","North America, United States, Illinois, Cook County","Dark-eyed Junco.","Nina D'Angier","","","","","BULKLOADED RECORD","","","","","","","","2017-05-24","","","","","","","student","","","ND-03","","","","","preparator number","","","","","","","","","","","","","","","","","","","","","","Excellent.","","","","","","","","","","","","","","","","","","","","","","","","in collection","","","","","","","","","","","","1","","","","","","","","","","","","skin, study","","","","","","","","","","","","date prepared: 2017-05-24","","","","","","","","","","","","","collection","loading dock at main door, Peggy Notebaert Nature Museum, 2430 North Cannon Drive, Chicago","Junco hyemalis","","","","07 10 2011","PNNM, loading dock at main door","unverified",""
"[CHAS:Mamm]2018.1","","weight","","total length","tarsus length","tail length","wing chord","fat deposition","molt condition","skull ossification","verbatim collector","2017-05-03","","2017-05-03","2017-05-03","2017-05-03","2017-05-03","2017-05-03","2017-05-03","2017-05-03","2018-08-31","Nina D'Angier","","Nina D'Angier","Nina D'Angier","Nina D'Angier","Nina D'Angier","Nina D'Angier","Nina D'Angier","Nina D'Angier","Nina D'Angier","","","","","","","","","","","","","","","","","","","","","g","","mm","mm","mm","mm","","","","","14","","122.96","21.08","62.1","60.52","light","none","90%","Sarah, Janelle","2016-10-19","","","2018.1.33","","","","wild caught","114","96441963","Nina D'Angier","Janelle Vreeland","","","","","","","preparator","collector","","","","","","","Weather: overcast, 70s F; Estimated time of death: 12:00 pm; Time found: 12:45 pm","","","","","","","","2016-10-19","achinn","2018-09-05 15:16:40.918447","21302104","Janelle Vreeland","2016-10-19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CHAS:Bird","","North America, United States, Illinois, Cook County","Swamp Sparrow.","Nina D'Angier","","","","","BULKLOADED RECORD","","","","","","","","2017-05-03","","","","","","","student","","","ND-02","","","","","preparator number","","","","","","","","","","","","","","","","","","","","","","Excellent.","","","","","","","","","","","","","","","","","","","","","","","","in collection","","","","","","","","","","","","1","","","","","","","","","","","","skin, study","","","","","","","","","","","","date prepared: 2017-05-03","","","","","","","","","","","","","collection","212 W Van Buren, Chicago","Melospiza georgiana","","","","19 10 2016","found out to lunch at Benivenuda 212 W Van Buren, Chicago, IL","unverified",""
"[CHAS:Mamm]2018.1","","weight","","total length","tarsus length","tail length","wing chord","fat deposition","molt condition","skull ossification","verbatim collector","2017-06-08","","2017-06-08","2017-06-08","2017-06-08","2017-06-08","2017-06-08","2017-06-08","2017-06-08","2017-06-08","Janelle Laccino","","Janelle Laccino","Janelle Laccino","Janelle Laccino","Janelle Laccino","Janelle Laccino","Janelle Laccino","Janelle Laccino","Janelle Laccino","","","","","","","","","","","","","","","","","","","","","g","","mm","mm","mm","mm","","","","","15","","122.75","20.21","51.6","56.17","moderate","none","5%","Renee, security","2015-10-13","","","2018.1.34","","","window strike","wild caught","114","96441964","Janelle Laccino","Chicago Academy of Sciences","","","","","","","preparator","collector","","","","","","","Weather: cool, windy; Estimated time of death: 7:35 am; Time found: 7:40 am","","","","","","","","2015-10-13","achinn","2018-09-05 15:16:40.92483","21302104","Chicago Academy of Sciences","2015-10-13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CHAS:Bird","","North America, United States, Illinois, Cook County","Swamp Sparrow.","unknown","","","","","BULKLOADED RECORD","","","","","","","","2017-06-08","","","","","","","legacy","","","JI-02","","","","","preparator number","","","","","","","","","","","","","","","","","","","","","","unchecked","","","","","","","","","","","","","","","","","","","","","","","","in collection","","","","","","","","","","","","1","","","","","","","","","","","","skin, study","","","","","","","","","","","","date prepared: 2017-06-08","","","","","","","","","","","","","collection","Ravine, site ""2"", Peggy Notebaert Nature Museum, 2430 North Cannon Drive, Chicago","Melospiza georgiana","","","","13 10 15","PNNM, Ravine, site ""2""","unverified",""
