MEDIA_LABEL_1,MEDIA_LABEL_2,MEDIA_LABEL_3,MEDIA_LABEL_VALUE_1,MEDIA_LABEL_VALUE_2,MEDIA_LABEL_VALUE_3,MEDIA_LICENSE,MEDIA_URI,MEDIA_TYPE,MIME_TYPE,PREVIEW_URI
made date,subject,description,2014-03-03,mammal,"View of cranium, ventral.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_119-3.dng,image,image/dng,
made date,subject,description,2014-03-03,mammal,View of mandible.,CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_119-4.dng,image,image/dng,
made date,subject,description,2014-03-03,mammal,"View of cranium, lateral.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_119-5.dng,image,image/dng,
made date,subject,description,2014-03-29,mammal,"View of specimen, entire.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_120-1.dng,image,image/dng,
made date,subject,description,2014-03-29,mammal,"View of study skin, dorsal.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_120-2.dng,image,image/dng,
made date,subject,description,2014-03-29,mammal,"View of study skin, ventral.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_120-3.dng,image,image/dng,
made date,subject,description,2014-03-29,mammal,"View of study skin, lateral.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_120-4.dng,image,image/dng,
made date,subject,description,2014-03-29,mammal,"View of cranium, dorsal.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_120-5.dng,image,image/dng,
made date,subject,description,2014-03-29,mammal,"View of cranium, ventral.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_120-6.dng,image,image/dng,
made date,subject,description,2014-03-29,mammal,View of mandible.,CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_120-7.dng,image,image/dng,
made date,subject,description,2014-03-29,mammal,"View of cranium, lateral.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_120-8.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of specimen, entire.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_122-1.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of cranium, dorsal.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_122-2.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of cranium, ventral.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_122-3.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,View of mandible.,CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_122-4.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of specimen, entire.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_123-1.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of study skin, dorsal.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_123-2.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of study skin, ventral.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_123-3.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of study skin, lateral.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_123-4.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of specimen, entire.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_125-1.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of study skin, dorsal.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_125-2.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of study skin, ventral.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_125-3.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of study skin, lateral.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_125-4.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of specimen, entire.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_126-1.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of cranium, dorsal.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_126-2.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of cranium, ventral.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_126-3.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,View of mandible.,CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_126-4.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of cranium, lateral.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_126-5.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of specimen, entire.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_127-1.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of study skin, dorsal.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_127-2.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of study skin, ventral.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_127-3.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of study skin, lateral.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_127-4.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of cranium, dorsal.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_127-5.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of cranium, ventral.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_127-6.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,View of mandible.,CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_127-7.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of cranium, lateral.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_127-8.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of specimen, entire.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_128-1.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of study skin, ventral.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_128-2.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of study skin, lateral.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_128-3.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of specimen, entire.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_133-1.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of cranium, dorsal.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_133-2.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of cranium, ventral.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_133-3.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,View of mandible.,CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_133-4.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of cranium, lateral.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_133-5.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of specimen, entire.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_134-1.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of study skin, dorsal.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_134-2.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of study skin, ventral.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_134-3.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of study skin, lateral.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_134-4.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of cranium, dorsal.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_134-5.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of cranium, ventral.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_134-6.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,View of mandible.,CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_134-7.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of cranium, lateral.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_134-8.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of specimen, entire.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_154-1.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of cranium, dorsal.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_154-2.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of cranium, ventral.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_154-3.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,View of mandible.,CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_154-4.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of cranium, lateral.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_154-5.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of specimen, entire.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_155-1.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of cranium, dorsal.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_155-2.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of cranium, ventral.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_155-3.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,View of mandible.,CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_155-4.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of cranium, lateral.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_155-5.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of specimen, entire.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_156-1.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of cranium, dorsal.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_156-2.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of cranium, ventral.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_156-3.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,View of mandible.,CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_156-4.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of cranium, lateral.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_156-5.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of specimen, entire.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_157-1.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of cranium, dorsal.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_157-2.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of cranium, ventral.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_157-3.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,View of mandible.,CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_157-4.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of cranium, lateral.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_157-5.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of specimen, entire.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_158-1.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of cranium, dorsal.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_158-2.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of cranium, ventral.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_158-3.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,View of mandible.,CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_158-4.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of cranium, lateral.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_158-5.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of specimen, entire.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_159-1.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of cranium, dorsal.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_159-2.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of cranium, ventral.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_159-3.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,View of mandible.,CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_159-4.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of cranium, lateral.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_159-5.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of specimen, entire.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_160-1.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of cranium, dorsal.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_160-2.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of cranium, ventral.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_160-3.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,View of mandible.,CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_160-4.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of cranium, lateral.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_160-5.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of specimen, entire.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_161-1.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of cranium, dorsal.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_161-2.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of cranium, ventral.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_161-3.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,View of mandible.,CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_161-4.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of cranium, lateral.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_161-5.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of specimen, entire.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_162-1.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of cranium, dorsal.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_162-2.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of cranium, ventral.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_162-3.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,View of mandible.,CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_162-4.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of cranium, lateral.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_162-5.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of specimen, entire.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_163-1.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of cranium, ventral.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_163-2.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,View of mandible.,CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_163-3.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of cranium, lateral.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_163-4.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of specimen, entire.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_165-1.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of cranium, dorsal.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_165-2.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of cranium, ventral.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_165-3.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,View of mandible.,CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_165-4.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of cranium, lateral.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_165-5.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of specimen, entire.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_166-1.dng,image,image/dng,
made date,subject,description,2014-01-16,mammal,"View of cranium, dorsal.",CC BY-NC-SA,http://web.corral.tacc.utexas.edu/CAS/20161121/chas_mamm_166-2.dng,image,image/dng,
